Earnings Date,EPS Estimate,Reported EPS,Surprise(%),Date,Time,BefAft
2022-07-28 06:00:00,1.78,2.04,0.1448,2022-07-28,06:00:00,bef
2022-05-03 05:00:00,1.47,1.62,0.09910000000000001,2022-05-03,05:00:00,bef
2022-02-08 06:00:00,0.87,1.08,0.24710000000000001,2022-02-08,06:00:00,bef
2021-11-02 06:00:00,1.09,1.34,0.2339,2021-11-02,06:00:00,bef
2021-07-28 06:00:00,0.97,1.07,0.102,2021-07-28,06:00:00,bef
2021-05-04 06:00:00,0.77,0.93,0.2031,2021-05-04,06:00:00,bef
2021-02-02 06:00:00,0.48,0.42,-0.1304,2021-02-02,06:00:00,bef
2020-10-27 06:00:00,0.71,0.72,0.0084,2020-10-27,06:00:00,bef
2020-07-28 06:00:00,0.66,0.78,0.1765,2020-07-28,06:00:00,bef
2020-04-28 06:00:00,0.73,0.8,0.08990000000000001,2020-04-28,06:00:00,bef
2020-01-28 06:00:00,0.57,0.55,-0.0435,2020-01-28,06:00:00,bef
2019-10-29 06:00:00,0.62,0.75,0.2136,2019-10-29,06:00:00,bef
2019-07-29 06:00:00,0.75,0.8,0.062400000000000004,2019-07-29,06:00:00,bef
2019-04-30 06:00:00,0.75,0.85,0.1318,2019-04-30,06:00:00,bef
2019-01-29 06:00:00,0.63,0.64,0.012700000000000001,2019-01-29,06:00:00,bef
2018-10-30 06:00:00,0.75,0.78,0.045599999999999995,2018-10-30,06:00:00,bef
2018-07-31 06:00:00,0.74,0.81,0.08869999999999999,2018-07-31,06:00:00,bef
2018-05-01 06:00:00,0.75,0.77,0.0336,2018-05-01,06:00:00,bef
2018-01-30 06:00:00,0.56,0.62,0.1032,2018-01-30,06:00:00,bef
2017-10-31 06:00:00,0.65,0.67,0.0388,2017-10-31,06:00:00,bef
2017-08-01 06:00:00,0.66,0.67,0.0182,2017-08-01,06:00:00,bef
2017-05-02 06:00:00,0.67,0.69,0.0268,2017-05-02,06:00:00,bef
