Earnings Date,EPS Estimate,Reported EPS,Surprise(%),Date,Time,BefAft
2022-08-04 07:00:00,4.67,5.16,0.10400000000000001,2022-08-04,07:00:00,bef
2022-05-05 07:00:00,4.65,4.83,0.038900000000000004,2022-05-05,07:00:00,bef
2022-02-03 07:00:00,3.91,4.46,0.1401,2022-02-03,07:00:00,bef
2021-11-04 07:00:00,3.68,4.26,0.1564,2021-11-04,07:00:00,bef
2021-08-05 07:00:00,4.33,4.38,0.0122,2021-08-05,07:00:00,bef
2021-04-29 08:00:00,3.78,4.11,0.0862,2021-04-29,08:00:00,bef
2021-02-04 07:00:00,2.6,3.44,0.3236,2021-02-04,07:00:00,bef
2020-11-05 07:00:00,2.34,3.07,0.3125,2020-11-05,07:00:00,bef
2020-08-06 07:00:00,1.51,2.55,0.6931999999999999,2020-08-06,07:00:00,bef
2020-04-30 07:00:00,2.27,2.92,0.2886,2020-04-30,07:00:00,bef
2020-01-30 07:00:00,2.27,2.54,0.11750000000000001,2020-01-30,07:00:00,bef
2019-10-31 07:00:00,2.66,2.76,0.0395,2019-10-31,07:00:00,bef
2019-08-01 07:00:00,3.11,3.31,0.0636,2019-08-01,07:00:00,bef
2019-05-02 07:00:00,3.02,3.17,0.0514,2019-05-02,07:00:00,bef
2019-01-31 07:00:00,2.42,2.51,0.0363,2019-01-31,07:00:00,bef
2018-11-01 07:00:00,2.53,2.84,0.12390000000000001,2018-11-01,07:00:00,bef
2018-08-02 07:00:00,2.91,3.22,0.1061,2018-08-02,07:00:00,bef
2018-04-26 07:00:00,2.62,2.8,0.0687,2018-04-26,07:00:00,bef
2018-02-01 10:00:00,2.07,2.15,0.039700000000000006,2018-02-01,10:00:00,bef
2017-11-02 07:00:00,2.04,2.24,0.10070000000000001,2017-11-02,07:00:00,bef
2017-08-03 07:00:00,2.31,2.45,0.061500000000000006,2017-08-03,07:00:00,bef
2017-04-27 07:00:00,1.86,2.11,0.1362,2017-04-27,07:00:00,bef
2017-02-02 07:00:00,1.39,1.91,0.3741,2017-02-02,07:00:00,bef
2016-10-21 07:00:00,1.57,1.61,0.0281,2016-10-21,07:00:00,bef
2016-08-04 07:00:00,1.77,1.9,0.0765,2016-08-04,07:00:00,bef
2016-04-26 07:00:00,1.44,1.51,0.045700000000000005,2016-04-26,07:00:00,bef
2016-01-26 07:00:00,1.18,1.52,0.2903,2016-01-26,07:00:00,bef
2015-10-22 07:00:00,1.46,1.52,0.039,2015-10-22,07:00:00,bef
2015-08-04 07:00:00,1.86,1.43,-0.2328,2015-08-04,07:00:00,bef
2015-04-28 07:00:00,1.99,2.06,0.0352,2015-04-28,07:00:00,bef
2015-01-27 07:00:00,1.55,1.84,0.1886,2015-01-27,07:00:00,bef
2014-10-28 07:00:00,1.67,1.89,0.1345,2014-10-28,07:00:00,bef
2014-08-06 04:00:00,2.07,1.98,-0.0449,2014-08-06,04:00:00,bef
2014-04-29 04:00:00,1.62,1.6,-0.013000000000000001,2014-04-29,04:00:00,bef
2014-01-22 05:00:00,1.23,1.24,0.0088,2014-01-22,05:00:00,bef
2013-10-18 04:00:00,1.47,1.61,0.0917,2013-10-18,04:00:00,bef
2013-08-06 04:00:00,1.97,1.78,-0.09550000000000002,2013-08-06,04:00:00,bef
2013-04-25 04:00:00,1.67,1.68,0.005600000000000001,2013-04-25,04:00:00,bef
