Earnings Date,EPS Estimate,Reported EPS,Surprise(%),Date,Time,BefAft
2022-08-01 06:00:00,2.02,2.32,0.1491,2022-08-01,06:00:00,bef
2022-05-03 16:00:00,2.08,2.41,0.1564,2022-05-03,16:00:00,aft
2022-02-01 16:00:00,2.19,2.56,0.1674,2022-02-01,16:00:00,aft
2021-11-02 16:00:00,1.74,2.31,0.33140000000000003,2021-11-02,16:00:00,aft
2021-07-26 06:00:00,2.41,2.83,0.1748,2021-07-26,06:00:00,bef
2021-05-04 16:00:00,3.07,3.72,0.2101,2021-05-04,16:00:00,aft
2021-02-02 16:00:00,3.0,3.96,0.3204,2021-02-02,16:00:00,aft
2020-10-28 16:00:00,1.5,2.09,0.39520000000000005,2020-10-28,16:00:00,aft
2020-07-28 16:00:00,0.88,1.57,0.7841,2020-07-28,16:00:00,aft
2020-05-05 16:00:00,0.54,0.67,0.2316,2020-05-05,16:00:00,aft
2020-01-27 16:00:00,1.33,1.35,0.0181,2020-01-27,16:00:00,aft
2019-10-30 16:00:00,1.01,1.06,0.050499999999999996,2019-10-30,16:00:00,aft
2019-07-29 16:00:00,1.0,1.0,-0.004,2019-07-29,16:00:00,aft
2019-04-25 16:00:00,0.66,0.69,0.043899999999999995,2019-04-25,16:00:00,aft
2019-01-31 16:00:00,1.16,1.18,0.015500000000000002,2019-01-31,16:00:00,aft
2018-10-31 16:00:00,0.92,0.9,-0.026000000000000002,2018-10-31,16:00:00,aft
2018-08-01 16:00:00,0.86,0.91,0.055700000000000006,2018-08-01,16:00:00,aft
2018-04-30 17:00:00,0.61,0.63,0.0311,2018-04-30,17:00:00,aft
2018-01-25 16:00:00,0.94,0.97,0.0308,2018-01-25,16:00:00,aft
2017-11-02 16:00:00,0.72,0.73,0.0111,2017-11-02,16:00:00,aft
2017-08-03 16:00:00,0.67,0.67,0.0015,2017-08-03,16:00:00,aft
2017-05-04 16:00:00,0.54,0.55,0.026099999999999998,2017-05-04,16:00:00,aft
2017-02-02 16:00:00,0.86,0.83,-0.0304,2017-02-02,16:00:00,aft
2016-11-07 16:00:00,0.66,0.68,0.0334,2016-11-07,16:00:00,aft
2016-08-04 16:00:00,0.66,0.67,0.0182,2016-08-04,16:00:00,aft
2016-05-05 16:00:00,0.51,0.56,0.1024,2016-05-05,16:00:00,aft
2016-02-04 17:00:00,0.87,0.86,-0.016,2016-02-04,17:00:00,aft
2015-11-05 16:00:00,0.6,0.6,0.005,2015-11-05,16:00:00,aft
2015-07-30 16:00:00,0.59,0.6,0.0169,2015-07-30,16:00:00,aft
2015-04-30 16:00:00,0.46,0.5,0.08230000000000001,2015-04-30,16:00:00,aft
2015-01-29 16:00:00,0.78,0.85,0.0925,2015-01-29,16:00:00,aft
2014-10-30 16:00:00,0.57,0.57,0.0070999999999999995,2014-10-30,16:00:00,aft
2014-07-31 04:00:00,0.59,0.59,0.0003,2014-07-31,04:00:00,bef
2014-04-24 04:00:00,0.44,0.46,0.0514,2014-04-24,04:00:00,bef
2014-01-30 05:00:00,0.7,0.73,0.04360000000000001,2014-01-30,05:00:00,bef
2013-10-30 04:00:00,0.48,0.49,0.018000000000000002,2013-10-30,04:00:00,bef
2013-08-01 04:00:00,0.48,0.51,0.0732,2013-08-01,04:00:00,bef
2013-04-25 04:00:00,0.48,0.36,-0.24280000000000002,2013-04-25,04:00:00,bef
2013-01-31 05:00:00,0.65,0.65,-0.0033000000000000004,2013-01-31,05:00:00,bef
2012-10-25 04:00:00,0.44,0.45,0.0181,2012-10-25,04:00:00,bef
2012-08-02 04:00:00,0.49,0.53,0.0885,2012-08-02,04:00:00,bef
2012-04-26 04:00:00,0.41,0.43,0.0479,2012-04-26,04:00:00,bef
2012-02-02 05:00:00,0.51,0.62,0.2147,2012-02-02,05:00:00,bef
