Earnings Date,EPS Estimate,Reported EPS,Surprise(%),Date,Time,BefAft
2022-07-18 08:00:00,0.62,0.82,0.31829999999999997,2022-07-18,08:00:00,bef
2022-04-19 08:00:00,0.55,1.54,1.8,2022-04-19,08:00:00,bef
2022-01-19 08:00:00,0.61,1.67,1.7603,2022-01-19,08:00:00,bef
2021-10-15 08:00:00,0.52,0.97,0.8582,2021-10-15,08:00:00,bef
2021-07-19 08:00:00,0.44,0.81,0.8409000000000001,2021-07-19,08:00:00,bef
2021-04-19 08:00:00,0.41,0.49,0.19510000000000002,2021-04-19,08:00:00,bef
2021-01-26 08:00:00,0.36,0.38,0.0468,2021-01-26,08:00:00,bef
2020-10-20 08:00:00,0.31,0.4,0.3029,2020-10-20,08:00:00,bef
2020-07-21 07:00:00,0.46,0.54,0.179,2020-07-21,07:00:00,bef
2020-04-21 08:00:00,0.3,0.7,1.349,2020-04-21,08:00:00,bef
2020-01-22 08:00:00,0.39,0.59,0.5325,2020-01-22,08:00:00,bef
2019-10-15 08:00:00,0.48,0.69,0.4375,2019-10-15,08:00:00,bef
2019-07-15 19:00:00,0.36,0.59,0.648,2019-07-15,19:00:00,aft
2019-04-16 08:00:00,0.33,0.53,0.6061,2019-04-16,08:00:00,bef
2019-01-22 08:00:00,0.42,0.94,1.2381,2019-01-22,08:00:00,bef
2018-10-16 08:00:00,0.35,0.6,0.7391,2018-10-16,08:00:00,bef
2018-07-17 08:00:00,0.38,0.62,0.6359,2018-07-17,08:00:00,bef
2018-04-17 08:00:00,0.37,0.68,0.8181999999999999,2018-04-17,08:00:00,bef
2018-01-23 09:00:00,0.34,0.55,0.632,2018-01-23,09:00:00,bef
2017-10-17 08:00:00,0.37,1.63,3.4536000000000002,2017-10-17,08:00:00,bef
2017-07-18 08:00:00,0.45,0.5,0.10619999999999999,2017-07-18,08:00:00,bef
2017-04-18 08:00:00,0.24,0.38,0.5966,2017-04-18,08:00:00,bef
2017-01-24 08:00:00,0.26,0.82,2.1061,2017-01-24,08:00:00,bef
2016-10-20 08:00:00,0.31,0.52,0.6993,2016-10-20,08:00:00,bef
2016-07-19 08:00:00,0.15,0.52,2.4899,2016-07-19,08:00:00,bef
2016-04-19 08:00:00,0.1,0.39,2.9796,2016-04-19,08:00:00,bef
