Earnings Date,EPS Estimate,Reported EPS,Surprise(%),Date,Time,BefAft
2022-07-21 06:00:00,1.26,1.48,0.1746,2022-07-21,06:00:00,bef
2022-04-21 06:00:00,1.49,1.56,0.045599999999999995,2022-04-21,06:00:00,bef
2022-02-10 06:00:00,1.33,1.35,0.0173,2022-02-10,06:00:00,bef
2021-10-19 06:00:00,1.55,1.58,0.022000000000000002,2021-10-19,06:00:00,bef
2021-07-20 06:00:00,1.55,1.57,0.0123,2021-07-20,06:00:00,bef
2021-04-20 06:00:00,1.4,1.57,0.12300000000000001,2021-04-20,06:00:00,bef
2021-02-04 09:00:00,1.21,1.26,0.038700000000000005,2021-02-04,09:00:00,bef
2020-10-20 06:00:00,1.36,1.42,0.041100000000000005,2020-10-20,06:00:00,bef
2020-07-21 06:00:00,1.1,1.29,0.17379999999999998,2020-07-21,06:00:00,bef
2020-04-21 07:00:00,1.13,1.21,0.0708,2020-04-21,07:00:00,bef
2020-02-06 06:00:00,1.21,1.22,0.0083,2020-02-06,06:00:00,bef
2019-10-17 06:00:00,1.36,1.43,0.055400000000000005,2019-10-17,06:00:00,bef
2019-07-18 06:00:00,1.32,1.46,0.1036,2019-07-18,06:00:00,bef
2019-04-18 06:00:00,0.97,1.09,0.1202,2019-04-18,06:00:00,bef
2019-02-07 09:00:00,1.16,1.25,0.0739,2019-02-07,09:00:00,bef
2018-10-18 06:00:00,1.28,1.44,0.1268,2018-10-18,06:00:00,bef
2018-07-19 06:00:00,1.23,1.41,0.1482,2018-07-19,06:00:00,bef
2018-04-19 06:00:00,0.9,1.0,0.1099,2018-04-19,06:00:00,bef
2018-02-08 07:00:00,1.35,1.32,-0.0222,2018-02-08,07:00:00,bef
2017-10-19 07:00:00,1.38,1.27,-0.0817,2017-10-19,07:00:00,bef
2017-07-20 06:00:00,1.23,1.14,-0.0709,2017-07-20,06:00:00,bef
2017-04-20 07:00:00,1.03,0.98,-0.047599999999999996,2017-04-20,07:00:00,bef
2017-02-02 06:00:00,1.12,1.1,-0.013500000000000002,2017-02-02,06:00:00,bef
2016-10-18 07:00:00,1.23,1.25,0.013000000000000001,2016-10-18,07:00:00,bef
2016-07-19 06:00:00,1.2,1.15,-0.0401,2016-07-19,06:00:00,bef
2016-04-19 06:00:00,1.11,0.98,-0.11630000000000001,2016-04-19,06:00:00,bef
2016-02-04 06:00:00,0.81,0.81,0.0037,2016-02-04,06:00:00,bef
2015-10-15 06:00:00,1.11,1.24,0.11410000000000001,2015-10-15,06:00:00,bef
2015-07-16 06:00:00,1.13,1.21,0.0689,2015-07-16,06:00:00,bef
2015-04-16 06:00:00,1.01,1.16,0.1451,2015-04-16,06:00:00,bef
2015-02-05 10:00:00,1.06,1.03,-0.0301,2015-02-05,10:00:00,bef
2014-10-16 07:00:00,1.33,1.39,0.042,2014-10-16,07:00:00,bef
2014-07-17 04:00:00,1.24,1.41,0.13820000000000002,2014-07-17,04:00:00,bef
2014-04-17 04:00:00,1.16,1.19,0.023100000000000002,2014-04-17,04:00:00,bef
2014-02-06 05:00:00,1.37,1.37,0.0023,2014-02-06,05:00:00,bef
2013-10-17 04:00:00,1.43,1.44,0.0053,2013-10-17,04:00:00,bef
2013-07-18 04:00:00,1.41,1.3,-0.07540000000000001,2013-07-18,04:00:00,bef
2013-04-18 04:00:00,1.34,1.29,-0.037200000000000004,2013-04-18,04:00:00,bef
2013-02-07 05:00:00,1.22,1.24,0.0128,2013-02-07,05:00:00,bef
2012-10-18 04:00:00,1.39,1.38,-0.008100000000000001,2012-10-18,04:00:00,bef
2012-07-19 04:00:00,1.34,1.36,0.0138,2012-07-19,04:00:00,bef
2012-04-19 04:00:00,1.19,1.25,0.047,2012-04-19,04:00:00,bef
2012-02-09 05:00:00,1.09,1.1,0.005600000000000001,2012-02-09,05:00:00,bef
2011-10-20 04:00:00,1.24,1.37,0.1076,2011-10-20,04:00:00,bef
2011-07-21 04:00:00,1.22,1.34,0.099,2011-07-21,04:00:00,bef
2011-04-21 04:00:00,1.05,1.06,0.013999999999999999,2011-04-21,04:00:00,bef
2011-02-10 05:00:00,0.96,0.97,0.006,2011-02-10,05:00:00,bef
2010-10-21 04:00:00,1.01,1.0,-0.0148,2010-10-21,04:00:00,bef
2010-07-22 04:00:00,0.97,1.0,0.0319,2010-07-22,04:00:00,bef
2010-04-22 04:00:00,0.93,0.9,-0.0304,2010-04-22,04:00:00,bef
2010-02-11 05:00:00,0.79,0.81,0.0318,2010-02-11,05:00:00,bef
2009-10-22 04:00:00,0.91,0.93,0.023,2009-10-22,04:00:00,bef
2009-07-23 04:00:00,0.77,0.83,0.0792,2009-07-23,04:00:00,bef
2009-04-23 04:00:00,0.69,0.74,0.0678,2009-04-23,04:00:00,bef
2009-02-04 05:00:00,0.62,0.71,0.1526,2009-02-04,05:00:00,bef
2008-10-22 04:00:00,0.9,0.93,0.0379,2008-10-22,04:00:00,bef
2008-07-23 04:00:00,0.83,0.87,0.046900000000000004,2008-07-23,04:00:00,bef
2008-04-23 04:00:00,0.77,0.89,0.1521,2008-04-23,04:00:00,bef
