Earnings Date,EPS Estimate,Reported EPS,Surprise(%),Date,Time,BefAft
2022-07-15 06:00:00,3.12,3.39,0.08689999999999999,2022-07-15,06:00:00,bef
2022-04-14 06:00:00,2.73,3.23,0.18359999999999999,2022-04-14,06:00:00,bef
2022-01-18 06:00:00,3.16,2.86,-0.09550000000000002,2022-01-18,06:00:00,bef
2021-10-15 06:00:00,3.2,3.3,0.03,2021-10-15,06:00:00,bef
2021-07-14 06:00:00,3.1,2.43,-0.2164,2021-07-14,06:00:00,bef
2021-04-16 06:00:00,2.75,4.1,0.49200000000000005,2021-04-16,06:00:00,bef
2021-01-15 06:00:00,2.62,3.26,0.24670000000000003,2021-01-15,06:00:00,bef
2020-10-14 06:00:00,2.12,3.39,0.5982999999999999,2020-10-14,06:00:00,bef
2020-07-15 06:00:00,0.51,8.4,15.3424,2020-07-15,06:00:00,bef
2020-04-15 06:00:00,1.71,1.95,0.139,2020-04-15,06:00:00,bef
2020-01-15 06:00:00,2.93,2.97,0.0126,2020-01-15,06:00:00,bef
2019-10-16 06:00:00,2.8,2.94,0.0489,2019-10-16,06:00:00,bef
2019-07-17 06:00:00,2.82,2.88,0.0206,2019-07-17,06:00:00,bef
2019-04-12 06:00:00,2.61,2.61,0.0008,2019-04-12,06:00:00,bef
2019-01-16 06:00:00,2.79,2.75,-0.0126,2019-01-16,06:00:00,bef
2018-10-12 06:00:00,2.72,2.82,0.0352,2018-10-12,06:00:00,bef
2018-07-13 06:00:00,2.58,2.72,0.0559,2018-07-13,06:00:00,bef
2018-04-13 07:00:00,2.43,2.43,-0.0008,2018-04-13,07:00:00,bef
2018-01-12 07:00:00,2.2,2.29,0.042800000000000005,2018-01-12,07:00:00,bef
2017-10-13 06:00:00,2.13,2.16,0.0141,2017-10-13,06:00:00,bef
2017-07-14 06:00:00,2.02,2.1,0.0412,2017-07-14,06:00:00,bef
2017-04-13 06:00:00,1.84,1.96,0.0658,2017-04-13,06:00:00,bef
2017-01-13 06:00:00,1.85,1.97,0.0678,2017-01-13,06:00:00,bef
2016-10-14 06:00:00,1.78,1.84,0.036000000000000004,2016-10-14,06:00:00,bef
2016-07-15 06:00:00,1.75,1.82,0.0382,2016-07-15,06:00:00,bef
2016-04-14 06:00:00,1.7,1.68,-0.0129,2016-04-14,06:00:00,bef
2016-01-15 06:00:00,1.8,1.87,0.0406,2016-01-15,06:00:00,bef
2015-10-14 06:00:00,1.79,1.9,0.0644,2015-10-14,06:00:00,bef
2015-07-15 06:00:00,1.76,1.88,0.0676,2015-07-15,06:00:00,bef
2015-04-15 06:00:00,1.72,1.75,0.0174,2015-04-15,06:00:00,bef
2015-01-16 06:00:00,1.74,1.84,0.0581,2015-01-16,06:00:00,bef
2014-10-15 06:00:00,1.71,1.79,0.047400000000000005,2014-10-15,06:00:00,bef
2014-07-16 04:00:00,1.78,1.85,0.038,2014-07-16,04:00:00,bef
2014-04-16 04:00:00,1.66,1.82,0.0976,2014-04-16,04:00:00,bef
