Earnings Date,EPS Estimate,Reported EPS,Surprise(%),Date,Time,BefAft
2022-07-21 07:00:00,7.52,7.63,0.015,2022-07-21,07:00:00,bef
2022-04-21 07:00:00,3.15,4.41,0.4004,2022-04-21,07:00:00,bef
2022-02-17 07:00:00,1.88,2.63,0.40270000000000006,2022-02-17,07:00:00,bef
2021-10-21 07:00:00,3.85,4.51,0.17260000000000003,2021-10-21,07:00:00,bef
2021-07-22 07:00:00,5.48,6.37,0.163,2021-07-22,07:00:00,bef
2021-04-22 07:00:00,1.15,2.42,1.108,2021-04-22,07:00:00,bef
2021-02-11 07:00:00,0.76,1.45,0.9004000000000001,2021-02-11,07:00:00,bef
2020-10-22 07:00:00,2.18,2.92,0.33880000000000005,2020-10-22,07:00:00,bef
2020-07-23 07:00:00,3.1,3.87,0.25,2020-07-23,07:00:00,bef
2020-04-23 07:00:00,0.65,0.9,0.38670000000000004,2020-04-23,07:00:00,bef
2020-02-13 07:00:00,0.36,0.44,0.20879999999999999,2020-02-13,07:00:00,bef
2019-10-17 07:00:00,1.78,1.95,0.09300000000000001,2019-10-17,07:00:00,bef
2019-07-18 07:00:00,3.23,3.22,-0.0019,2019-07-18,07:00:00,bef
2019-04-18 07:00:00,0.65,0.8,0.23079999999999998,2019-04-18,07:00:00,bef
2019-02-14 07:00:00,0.44,0.41,-0.0703,2019-02-14,07:00:00,bef
2018-10-18 07:00:00,1.58,1.66,0.048,2018-10-18,07:00:00,bef
2018-07-19 07:00:00,2.88,2.8,-0.0278,2018-07-19,07:00:00,bef
2018-04-19 07:00:00,0.71,0.75,0.0638,2018-04-19,07:00:00,bef
2018-02-15 07:00:00,0.17,0.33,0.9412,2018-02-15,07:00:00,bef
2017-10-19 07:00:00,1.15,1.16,0.0069,2017-10-19,07:00:00,bef
2017-07-20 07:00:00,2.24,2.21,-0.013000000000000001,2017-07-20,07:00:00,bef
2017-04-20 07:00:00,0.4,0.52,0.3131,2017-04-20,07:00:00,bef
2017-02-16 07:00:00,0.06,0.06,0.0345,2017-02-16,07:00:00,bef
2016-10-20 07:00:00,1.01,1.03,0.0178,2016-10-20,07:00:00,bef
2016-07-21 07:00:00,1.93,1.98,0.025400000000000002,2016-07-21,07:00:00,bef
2016-04-21 07:00:00,0.25,0.38,0.5447,2016-04-21,07:00:00,bef
2016-02-18 07:00:00,-0.01,0.06,6.4545,2016-02-18,07:00:00,bef
2015-10-22 07:00:00,0.87,0.9,0.0309,2015-10-22,07:00:00,bef
2015-07-23 07:00:00,1.79,1.75,-0.021800000000000003,2015-07-23,07:00:00,bef
2015-04-23 07:00:00,0.14,0.19,0.33799999999999997,2015-04-23,07:00:00,bef
2015-02-12 07:00:00,-0.08,-0.05,0.3506,2015-02-12,07:00:00,bef
2014-10-16 08:00:00,0.78,0.78,-0.0026000000000000003,2014-10-16,08:00:00,bef
2014-07-17 04:00:00,1.61,1.61,0.0007000000000000001,2014-07-17,04:00:00,bef
2014-04-17 04:00:00,0.1,0.09,-0.1195,2014-04-17,04:00:00,bef
2014-02-13 05:00:00,-0.11,-0.11,0.0294,2014-02-13,05:00:00,bef
2013-10-17 04:00:00,0.72,0.68,-0.052300000000000006,2013-10-17,04:00:00,bef
2013-07-18 04:00:00,1.4,1.39,-0.0070999999999999995,2013-07-18,04:00:00,bef
2013-04-18 04:00:00,0.05,0.07,0.34049999999999997,2013-04-18,04:00:00,bef
2013-02-14 05:00:00,-0.19,-0.17,0.11560000000000001,2013-02-14,05:00:00,bef
2012-10-18 04:00:00,0.56,0.59,0.0559,2012-10-18,04:00:00,bef
2012-07-19 04:00:00,1.35,1.35,-0.0009,2012-07-19,04:00:00,bef
2012-04-19 04:00:00,0.01,0.08,8.1429,2012-04-19,04:00:00,bef
2012-02-16 05:00:00,-0.22,-0.21,0.055,2012-02-16,05:00:00,bef
2011-10-20 04:00:00,0.48,0.5,0.0417,2011-10-20,04:00:00,bef
2011-07-21 04:00:00,1.15,1.19,0.031200000000000002,2011-07-21,04:00:00,bef
2011-04-21 04:00:00,-0.08,-0.01,0.8684000000000001,2011-04-21,04:00:00,bef
2011-02-17 05:00:00,-0.24,-0.24,0.0123,2011-02-17,05:00:00,bef
2010-10-21 04:00:00,0.43,0.45,0.057699999999999994,2010-10-21,04:00:00,bef
