Earnings Date,EPS Estimate,Reported EPS,Surprise(%),Date,Time,BefAft
2022-07-21 16:00:00,1.74,1.81,0.0432,2022-07-21,16:00:00,aft
2022-04-21 16:00:00,1.12,1.37,0.22870000000000001,2022-04-21,16:00:00,aft
2022-01-20 16:00:00,1.17,1.26,0.07780000000000001,2022-01-20,16:00:00,aft
2021-10-20 16:00:00,1.58,1.69,0.0717,2021-10-20,16:00:00,aft
2021-07-19 16:00:00,2.19,1.94,-0.1158,2021-07-19,16:00:00,aft
2021-04-15 16:00:00,1.57,1.88,0.2013,2021-04-15,16:00:00,aft
2021-01-21 16:00:00,1.58,1.59,0.0044,2021-01-21,16:00:00,aft
2020-10-19 16:00:00,1.92,1.93,0.0063,2020-10-19,16:00:00,aft
2020-07-16 16:00:00,0.71,0.99,0.3924,2020-07-16,16:00:00,aft
2020-04-27 16:00:00,1.18,1.19,0.0102,2020-04-27,16:00:00,aft
2020-01-16 06:00:00,1.34,1.31,-0.0209,2020-01-16,06:00:00,bef
2019-10-17 06:00:00,1.61,1.67,0.0386,2019-10-17,06:00:00,bef
2019-07-18 06:00:00,1.83,1.85,0.0131,2019-07-18,06:00:00,bef
2019-04-18 06:00:00,1.21,1.38,0.1405,2019-04-18,06:00:00,bef
2019-01-17 06:00:00,1.1,1.15,0.0483,2019-01-17,06:00:00,bef
2018-10-18 06:00:00,1.45,1.45,0.0007000000000000001,2018-10-18,06:00:00,bef
2018-07-19 06:00:00,1.88,1.9,0.011200000000000002,2018-07-19,06:00:00,bef
2018-04-19 09:00:00,1.39,1.39,-0.0029,2018-04-19,09:00:00,bef
2018-01-18 08:00:00,1.18,1.19,0.0068000000000000005,2018-01-18,08:00:00,bef
2017-10-19 06:00:00,1.52,1.52,-0.0013000000000000002,2017-10-19,06:00:00,bef
2017-07-20 06:00:00,1.82,1.83,0.0044,2017-07-20,06:00:00,bef
2017-04-20 07:00:00,1.32,1.35,0.026600000000000002,2017-04-20,07:00:00,bef
2017-01-19 06:00:00,1.18,1.19,0.0059,2017-01-19,06:00:00,bef
2016-10-20 06:00:00,1.56,1.56,-0.0026000000000000003,2016-10-20,06:00:00,bef
2016-04-21 06:00:00,1.3,1.31,0.0077,2016-04-21,06:00:00,bef
2016-01-21 07:00:00,1.22,1.23,0.006500000000000001,2016-01-21,07:00:00,bef
2015-10-15 06:00:00,1.6,1.61,0.008100000000000001,2015-10-15,06:00:00,bef
2015-07-16 06:00:00,1.64,1.67,0.0183,2015-07-16,06:00:00,bef
2015-04-16 08:00:00,1.17,1.19,0.013700000000000002,2015-04-16,08:00:00,bef
2015-01-15 08:00:00,0.99,1.06,0.061399999999999996,2015-01-15,08:00:00,bef
2014-10-16 08:00:00,1.38,1.41,0.024700000000000003,2014-10-16,08:00:00,bef
2014-07-17 04:00:00,1.39,1.42,0.0201,2014-07-17,04:00:00,bef
2014-04-17 04:00:00,0.93,0.99,0.060700000000000004,2014-04-17,04:00:00,bef
2014-01-16 05:00:00,0.86,0.91,0.0479,2014-01-16,05:00:00,bef
2013-10-17 04:00:00,1.17,1.22,0.041100000000000005,2013-10-17,04:00:00,bef
2013-07-18 04:00:00,1.17,1.23,0.0447,2013-07-18,04:00:00,bef
2013-04-18 04:00:00,0.77,0.79,0.0258,2013-04-18,04:00:00,bef
2013-01-14 05:00:00,0.77,0.77,-0.0007000000000000001,2013-01-14,05:00:00,bef
2012-10-18 04:00:00,1.1,1.12,0.0171,2012-10-18,04:00:00,bef
2012-07-19 04:00:00,1.18,1.18,-0.002,2012-07-19,04:00:00,bef
2012-04-19 04:00:00,0.85,0.91,0.0689,2012-04-19,04:00:00,bef
2012-01-19 05:00:00,0.64,0.66,0.031000000000000003,2012-01-19,05:00:00,bef
2011-10-20 04:00:00,0.96,0.98,0.0197,2011-10-20,04:00:00,bef
2011-07-21 04:00:00,1.01,1.06,0.0541,2011-07-21,04:00:00,bef
2011-04-21 04:00:00,0.67,0.7,0.04820000000000001,2011-04-21,04:00:00,bef
2011-01-20 05:00:00,0.56,0.63,0.10800000000000001,2011-01-20,05:00:00,bef
2010-10-21 04:00:00,0.73,0.8,0.0861,2010-10-21,04:00:00,bef
2010-07-15 04:00:00,0.72,0.82,0.1469,2010-07-15,04:00:00,bef
2010-04-15 04:00:00,0.31,0.35,0.1176,2010-04-15,04:00:00,bef
2010-01-21 05:00:00,0.37,0.43,0.1722,2010-01-21,05:00:00,bef
2009-10-15 04:00:00,0.45,0.49,0.0848,2009-10-15,04:00:00,bef
2009-07-16 04:00:00,0.38,0.46,0.2133,2009-07-16,04:00:00,bef
2009-04-16 04:00:00,0.07,0.1,0.3971,2009-04-16,04:00:00,bef
2009-01-16 05:00:00,0.2,0.21,0.025,2009-01-16,05:00:00,bef
2008-10-16 04:00:00,0.64,0.69,0.0729,2008-10-16,04:00:00,bef
2008-07-17 04:00:00,0.77,0.81,0.055099999999999996,2008-07-17,04:00:00,bef
2008-04-17 04:00:00,0.55,0.54,-0.0211,2008-04-17,04:00:00,bef
2008-01-17 05:00:00,0.56,0.59,0.054400000000000004,2008-01-17,05:00:00,bef
2007-10-18 04:00:00,0.69,0.69,-0.002,2007-10-18,04:00:00,bef
2007-07-19 04:00:00,0.77,0.77,-0.0024,2007-07-19,04:00:00,bef
2007-04-19 04:00:00,0.54,0.6,0.1077,2007-04-19,04:00:00,bef
2007-01-18 05:00:00,0.51,0.48,-0.0563,2007-01-18,05:00:00,bef
2006-10-19 04:00:00,0.64,0.64,0.0079,2006-10-19,04:00:00,bef
2006-07-20 04:00:00,0.75,0.82,0.0993,2006-07-20,04:00:00,bef
2006-04-20 04:00:00,0.54,0.64,0.1954,2006-04-20,04:00:00,bef
2006-01-19 05:00:00,0.42,0.43,0.0292,2006-01-19,05:00:00,bef
2005-10-20 04:00:00,0.57,0.57,0.0053,2005-10-20,04:00:00,bef
2005-07-21 04:00:00,0.7,0.71,0.0163,2005-07-21,04:00:00,bef
2005-04-21 04:00:00,0.53,0.55,0.0342,2005-04-21,04:00:00,bef
2005-01-20 05:00:00,0.51,0.55,0.0677,2005-01-20,05:00:00,bef
2004-10-22 04:00:00,0.52,0.57,0.11470000000000001,2004-10-22,04:00:00,bef
2004-07-15 04:00:00,0.54,0.55,0.01,2004-07-15,04:00:00,bef
2004-04-15 04:00:00,0.29,0.35,0.19920000000000002,2004-04-15,04:00:00,bef
2004-01-15 05:00:00,0.37,0.38,0.0345,2004-01-15,05:00:00,bef
2003-10-16 04:00:00,0.4,0.43,0.075,2003-10-16,04:00:00,bef
2003-07-17 04:00:00,0.43,0.47,0.08990000000000001,2003-07-17,04:00:00,bef
2003-04-17 04:00:00,0.26,0.26,-0.006500000000000001,2003-04-17,04:00:00,bef
