Earnings Date,EPS Estimate,Reported EPS,Surprise(%),Date,Time,BefAft
2022-08-03 08:00:00,0.3,0.3,0.013500000000000002,2022-08-03,08:00:00,bef
2022-05-05 08:00:00,0.39,0.41,0.048600000000000004,2022-05-05,08:00:00,bef
2022-02-18 06:00:00,0.32,0.22,-0.3168,2022-02-18,06:00:00,bef
2021-11-04 08:00:00,0.38,0.36,-0.055099999999999996,2021-11-04,08:00:00,bef
2021-08-05 08:00:00,0.24,0.19,-0.2181,2021-08-05,08:00:00,bef
2021-05-06 11:00:00,0.64,0.28,-0.5604,2021-05-06,11:00:00,bef
2021-02-18 08:00:00,0.61,0.59,-0.0344,2021-02-18,08:00:00,bef
2020-11-05 08:00:00,0.62,0.58,-0.056900000000000006,2020-11-05,08:00:00,bef
2020-08-10 08:00:00,0.55,0.55,0.0092,2020-08-10,08:00:00,bef
2020-05-08 08:00:00,0.71,0.67,-0.0616,2020-05-08,08:00:00,bef
2020-02-14 08:00:00,0.53,0.57,0.0714,2020-02-14,08:00:00,bef
2019-11-05 08:00:00,0.62,0.61,-0.0113,2019-11-05,08:00:00,bef
2019-08-06 08:00:00,0.56,0.58,0.0357,2019-08-06,08:00:00,bef
2019-05-02 08:00:00,0.73,0.7,-0.0345,2019-05-02,08:00:00,bef
2019-02-14 07:00:00,0.49,0.52,0.06559999999999999,2019-02-14,07:00:00,bef
2018-11-01 08:00:00,0.56,0.59,0.0555,2018-11-01,08:00:00,bef
2018-08-07 08:00:00,0.54,0.55,0.011000000000000001,2018-08-07,08:00:00,bef
2018-05-03 08:00:00,0.66,0.74,0.11449999999999999,2018-05-03,08:00:00,bef
2018-02-22 07:00:00,0.48,0.55,0.1506,2018-02-22,07:00:00,bef
2017-11-01 07:00:00,0.53,0.56,0.0507,2017-11-01,07:00:00,bef
2017-08-03 07:00:00,0.5,0.52,0.050499999999999996,2017-08-03,07:00:00,bef
2017-05-04 07:00:00,0.61,0.62,0.0131,2017-05-04,07:00:00,bef
2017-02-01 07:00:00,0.5,0.6,0.2,2017-02-01,07:00:00,bef
2016-11-01 07:00:00,0.58,0.63,0.0788,2016-11-01,07:00:00,bef
2016-08-09 07:00:00,0.53,0.56,0.058600000000000006,2016-08-09,07:00:00,bef
2016-04-28 07:00:00,0.74,0.67,-0.09949999999999999,2016-04-28,07:00:00,bef
2016-02-04 07:00:00,0.44,0.43,-0.0227,2016-02-04,07:00:00,bef
2015-10-29 06:00:00,0.5,0.51,0.030299999999999997,2015-10-29,06:00:00,bef
2015-08-03 06:00:00,0.47,0.49,0.0538,2015-08-03,06:00:00,bef
2015-05-07 10:00:00,0.7,0.77,0.10470000000000002,2015-05-07,10:00:00,bef
2015-02-05 07:00:00,0.51,0.58,0.1373,2015-02-05,07:00:00,bef
2014-11-04 06:00:00,0.53,0.54,0.0286,2014-11-04,06:00:00,bef
2014-07-31 04:00:00,0.45,0.53,0.16760000000000003,2014-07-31,04:00:00,bef
2014-05-01 04:00:00,0.71,0.8,0.12490000000000001,2014-05-01,04:00:00,bef
2014-02-06 05:00:00,0.5,0.6,0.19510000000000002,2014-02-06,05:00:00,bef
2013-10-31 04:00:00,0.68,0.66,-0.0311,2013-10-31,04:00:00,bef
2013-08-01 04:00:00,0.46,0.49,0.0652,2013-08-01,04:00:00,bef
2013-05-02 04:00:00,0.7,0.71,0.0177,2013-05-02,04:00:00,bef
2013-02-14 05:00:00,0.47,0.49,0.04730000000000001,2013-02-14,05:00:00,bef
2012-11-08 05:00:00,0.68,0.72,0.0635,2012-11-08,05:00:00,bef
2012-08-08 04:00:00,0.41,0.51,0.25260000000000005,2012-08-08,04:00:00,bef
2012-05-04 04:00:00,0.66,0.7,0.0592,2012-05-04,04:00:00,bef
2012-02-10 05:00:00,0.62,0.7,0.1366,2012-02-10,05:00:00,bef
2011-11-03 04:00:00,0.7,0.76,0.0909,2011-11-03,04:00:00,bef
2011-08-05 04:00:00,0.45,0.45,0.0094,2011-08-05,04:00:00,bef
2011-05-05 04:00:00,0.73,0.84,0.15230000000000002,2011-05-05,04:00:00,bef
2011-02-04 05:00:00,0.58,0.83,0.43100000000000005,2011-02-04,05:00:00,bef
2010-10-28 04:00:00,0.7,0.74,0.0617,2010-10-28,04:00:00,bef
2010-08-05 04:00:00,0.67,0.62,-0.0677,2010-08-05,04:00:00,bef
2010-05-06 04:00:00,0.9,0.94,0.0444,2010-05-06,04:00:00,bef
2010-02-05 05:00:00,0.36,0.52,0.43560000000000004,2010-02-05,05:00:00,bef
2009-10-29 04:00:00,0.45,0.52,0.1592,2009-10-29,04:00:00,bef
