Earnings Date,EPS Estimate,Reported EPS,Surprise(%),Date,Time,BefAft
2022-08-05 16:00:00,2.54,3.42,0.3465,2022-08-05,16:00:00,aft
2022-08-04 16:00:00,2.54,3.42,0.3443,2022-08-04,16:00:00,aft
2022-05-03 16:00:00,2.32,2.63,0.1341,2022-05-03,16:00:00,aft
2022-02-22 16:00:00,2.17,3.17,0.4581,2022-02-22,16:00:00,aft
2021-11-01 16:00:00,2.13,2.52,0.18530000000000002,2021-11-01,16:00:00,aft
2021-08-03 16:00:00,1.87,1.97,0.0518,2021-08-03,16:00:00,aft
2021-04-28 16:00:00,1.77,2.21,0.25070000000000003,2021-04-28,16:00:00,aft
2021-02-24 16:00:00,1.94,1.67,-0.1374,2021-02-24,16:00:00,aft
2020-11-04 16:00:00,1.69,1.41,-0.16670000000000001,2020-11-04,16:00:00,aft
2020-08-05 16:00:00,1.62,1.41,-0.1286,2020-08-05,16:00:00,aft
2020-04-30 16:00:00,1.71,1.79,0.048,2020-04-30,16:00:00,aft
2020-02-25 16:00:00,2.01,1.87,-0.071,2020-02-25,16:00:00,aft
2019-10-29 16:00:00,1.91,1.93,0.0131,2019-10-29,16:00:00,aft
2019-07-30 17:00:00,1.83,1.76,-0.0367,2019-07-30,17:00:00,aft
2019-05-01 16:00:00,1.72,1.73,0.0087,2019-05-01,16:00:00,aft
2019-02-26 17:00:00,2.11,2.17,0.0275,2019-02-26,17:00:00,aft
2018-08-01 17:00:00,1.83,2.0,0.09050000000000001,2018-08-01,17:00:00,aft
2018-04-25 17:00:00,1.67,1.65,-0.012,2018-04-25,17:00:00,aft
2018-02-20 17:00:00,1.98,1.92,-0.0278,2018-02-20,17:00:00,aft
2017-10-25 19:00:00,1.88,1.61,-0.1427,2017-10-25,19:00:00,aft
2017-07-26 19:00:00,1.8,1.59,-0.1152,2017-07-26,19:00:00,aft
2017-04-26 18:00:00,1.65,1.62,-0.017,2017-04-26,18:00:00,aft
2017-02-22 19:00:00,1.89,2.03,0.0729,2017-02-22,19:00:00,aft
2016-10-26 18:00:00,1.77,1.78,0.0068000000000000005,2016-10-26,18:00:00,aft
2016-07-28 03:00:00,1.67,1.61,-0.0336,2016-07-28,03:00:00,bef
2016-04-26 17:00:00,1.48,1.39,-0.0633,2016-04-26,17:00:00,aft
2016-02-16 17:00:00,1.71,1.74,0.0199,2016-02-16,17:00:00,aft
2015-10-28 18:00:00,1.53,1.58,0.030699999999999998,2015-10-28,18:00:00,aft
2015-07-29 18:00:00,1.41,1.52,0.0788,2015-07-29,18:00:00,aft
2015-04-30 17:00:00,1.19,1.23,0.0319,2015-04-30,17:00:00,aft
2015-02-19 17:00:00,1.44,1.64,0.1405,2015-02-19,17:00:00,aft
2014-10-30 17:00:00,1.31,1.34,0.0213,2014-10-30,17:00:00,aft
