Earnings Date,EPS Estimate,Reported EPS,Surprise(%),Date,Time,BefAft
2022-07-29 07:00:00,5.98,6.77,0.1331,2022-07-29,07:00:00,bef
2022-04-29 07:00:00,1.28,1.32,0.0345,2022-04-29,07:00:00,bef
2022-01-28 07:00:00,1.95,2.94,0.5085000000000001,2022-01-28,07:00:00,bef
2021-10-29 07:00:00,1.95,3.18,0.6291,2021-10-29,07:00:00,bef
2021-08-03 07:00:00,0.6,0.74,0.2354,2021-08-03,07:00:00,bef
2021-04-30 07:00:00,-1.4,-1.16,0.17079999999999998,2021-04-30,07:00:00,bef
2021-01-29 07:00:00,-1.06,-1.16,-0.0974,2021-01-29,07:00:00,bef
2020-10-30 07:00:00,-0.79,-0.01,0.9873999999999999,2020-10-30,07:00:00,bef
2020-07-31 07:00:00,-0.92,-0.74,0.2,2020-07-31,07:00:00,bef
2020-05-01 07:00:00,0.63,1.02,0.6114,2020-05-01,07:00:00,bef
2020-01-31 07:00:00,1.56,1.54,-0.0122,2020-01-31,07:00:00,bef
2019-10-25 07:00:00,2.59,3.11,0.20079999999999998,2019-10-25,07:00:00,bef
2019-07-26 07:00:00,2.74,3.02,0.10300000000000001,2019-07-26,07:00:00,bef
2019-04-30 07:00:00,0.34,0.4,0.17989999999999998,2019-04-30,07:00:00,bef
2019-02-08 07:00:00,3.01,4.87,0.619,2019-02-08,07:00:00,bef
2018-10-26 07:00:00,2.48,3.1,0.251,2018-10-26,07:00:00,bef
2018-07-27 06:00:00,2.19,2.8,0.278,2018-07-27,06:00:00,bef
2018-04-27 07:00:00,0.89,1.04,0.1672,2018-04-27,07:00:00,bef
2018-02-02 07:00:00,0.86,1.07,0.24559999999999998,2018-02-02,07:00:00,bef
2017-10-27 07:00:00,1.57,1.66,0.057999999999999996,2017-10-27,07:00:00,bef
2017-08-01 07:00:00,1.01,1.09,0.0803,2017-08-01,07:00:00,bef
2017-04-28 07:00:00,0.05,0.56,9.9804,2017-04-28,07:00:00,bef
2017-02-03 07:00:00,0.4,0.16,-0.5949,2017-02-03,07:00:00,bef
2016-10-28 07:00:00,0.88,1.05,0.1905,2016-10-28,07:00:00,bef
2016-07-29 07:00:00,0.93,0.94,0.0064,2016-07-29,07:00:00,bef
2016-04-29 07:00:00,0.87,0.67,-0.23170000000000002,2016-04-29,07:00:00,bef
2016-01-29 07:00:00,1.25,1.31,0.0472,2016-01-29,07:00:00,bef
2015-10-30 07:00:00,2.24,3.02,0.34759999999999996,2015-10-30,07:00:00,bef
2015-07-31 08:00:00,1.81,1.83,0.0094,2015-07-31,08:00:00,bef
2015-04-30 08:00:00,1.43,1.51,0.05740000000000001,2015-04-30,08:00:00,bef
2015-01-29 08:00:00,1.37,1.63,0.1898,2015-01-29,08:00:00,bef
2014-10-29 08:00:00,1.75,2.02,0.1536,2014-10-29,08:00:00,bef
2014-07-30 04:00:00,1.7,1.51,-0.1128,2014-07-30,04:00:00,bef
2014-04-30 04:00:00,1.34,1.47,0.09670000000000001,2014-04-30,04:00:00,bef
2014-01-29 05:00:00,1.1,1.34,0.2212,2014-01-29,05:00:00,bef
2013-10-30 04:00:00,0.94,0.87,-0.07,2013-10-30,04:00:00,bef
2013-07-31 04:00:00,1.83,1.5,-0.1812,2013-07-31,04:00:00,bef
2013-05-01 04:00:00,1.89,2.19,0.16140000000000002,2013-05-01,04:00:00,bef
2013-01-30 05:00:00,1.68,2.06,0.2285,2013-01-30,05:00:00,bef
2012-10-31 04:00:00,2.35,2.97,0.26539999999999997,2012-10-31,04:00:00,bef
2012-08-01 04:00:00,1.78,2.23,0.25379999999999997,2012-08-01,04:00:00,bef
2012-05-16 04:00:00,1.02,1.04,0.0236,2012-05-16,04:00:00,bef
