Earnings Date,EPS Estimate,Reported EPS,Surprise(%),Date,Time,BefAft
2022-07-28 08:00:00,-2.2,-2.08,0.0533,2022-07-28,08:00:00,bef
2022-05-05 08:00:00,-4.47,-4.57,-0.0226,2022-05-05,08:00:00,bef
2022-02-04 08:00:00,-3.92,-4.78,-0.21850000000000003,2022-02-04,08:00:00,bef
2021-10-29 08:00:00,-4.4,-4.91,-0.11460000000000001,2021-10-29,08:00:00,bef
2021-08-04 08:00:00,-4.39,-5.06,-0.1526,2021-08-04,08:00:00,bef
2021-04-29 08:00:00,-4.62,-4.44,0.0396,2021-04-29,08:00:00,bef
2021-02-22 08:00:00,-5.2,-5.02,0.0339,2021-02-22,08:00:00,bef
2020-10-29 08:00:00,-5.12,-5.62,-0.0966,2020-10-29,08:00:00,bef
2020-08-10 08:00:00,-4.82,-6.13,-0.2715,2020-08-10,08:00:00,bef
2020-05-20 08:00:00,-0.63,-1.48,-1.3492,2020-05-20,08:00:00,bef
2020-02-04 08:00:00,1.42,1.42,-0.0028000000000000004,2020-02-04,08:00:00,bef
2019-10-30 08:00:00,4.31,4.27,-0.0102,2019-10-30,08:00:00,bef
2019-07-25 07:00:00,2.45,2.54,0.0376,2019-07-25,07:00:00,bef
2019-05-01 07:00:00,1.11,1.31,0.18230000000000002,2019-05-01,07:00:00,bef
2019-01-30 08:00:00,1.52,1.53,0.0099,2019-01-30,08:00:00,bef
2018-10-25 08:00:00,3.97,3.98,0.0033000000000000004,2018-10-25,08:00:00,bef
2018-08-02 08:00:00,2.01,2.27,0.12710000000000002,2018-08-02,08:00:00,bef
2018-04-26 08:00:00,0.97,1.09,0.12369999999999999,2018-04-26,08:00:00,bef
2018-01-24 08:00:00,1.2,1.34,0.1185,2018-01-24,08:00:00,bef
2017-11-07 08:00:00,3.4,3.49,0.027700000000000002,2017-11-07,08:00:00,bef
2017-08-01 08:00:00,1.67,1.71,0.026400000000000003,2017-08-01,08:00:00,bef
2017-04-28 08:00:00,0.92,0.99,0.07730000000000001,2017-04-28,08:00:00,bef
2017-01-26 08:00:00,1.21,1.23,0.0174,2017-01-26,08:00:00,bef
2016-10-28 07:00:00,3.1,3.2,0.0319,2016-10-28,07:00:00,bef
2016-08-02 08:00:00,1.01,1.09,0.0739,2016-08-02,08:00:00,bef
2016-04-29 08:00:00,0.31,0.57,0.8328,2016-04-29,08:00:00,bef
2016-02-02 08:00:00,0.92,0.94,0.0195,2016-02-02,08:00:00,bef
2015-10-23 07:00:00,2.71,2.84,0.048,2015-10-23,07:00:00,bef
2015-07-31 07:00:00,0.73,0.84,0.146,2015-07-31,07:00:00,bef
2015-04-20 08:00:00,0.14,0.2,0.4815,2015-04-20,08:00:00,bef
2015-01-29 07:00:00,0.43,0.32,-0.2488,2015-01-29,07:00:00,bef
2014-10-23 09:00:00,2.19,2.2,0.0032,2014-10-23,09:00:00,bef
2014-07-24 04:00:00,0.52,0.66,0.27030000000000004,2014-07-24,04:00:00,bef
2014-04-24 04:00:00,0.28,0.21,-0.261,2014-04-24,04:00:00,bef
2014-01-27 05:00:00,0.18,0.23,0.2856,2014-01-27,05:00:00,bef
2013-10-24 04:00:00,1.65,1.71,0.0339,2013-10-24,04:00:00,bef
2013-07-25 04:00:00,0.09,0.23,1.6388,2013-07-25,04:00:00,bef
2013-04-25 04:00:00,0.2,0.35,0.7948999999999999,2013-04-25,04:00:00,bef
2013-02-04 05:00:00,0.06,0.1,0.6129,2013-02-04,05:00:00,bef
2012-10-25 04:00:00,1.46,1.71,0.17120000000000002,2012-10-25,04:00:00,bef
2012-07-26 04:00:00,0.02,-0.02,-1.8094000000000001,2012-07-26,04:00:00,bef
2012-04-20 04:00:00,0.15,0.21,0.4177,2012-04-20,04:00:00,bef
2012-02-02 05:00:00,0.15,0.17,0.1591,2012-02-02,05:00:00,bef
2011-10-27 04:00:00,1.86,1.82,-0.0221,2011-10-27,04:00:00,bef
2011-07-27 04:00:00,0.45,0.43,-0.0349,2011-07-27,04:00:00,bef
2011-04-28 04:00:00,0.13,0.36,1.7201,2011-04-28,04:00:00,bef
2011-01-27 05:00:00,0.13,0.2,0.5385,2011-01-27,05:00:00,bef
2010-10-26 04:00:00,1.56,1.64,0.0509,2010-10-26,04:00:00,bef
2010-07-22 04:00:00,0.18,0.28,0.5507,2010-07-22,04:00:00,bef
2010-04-28 04:00:00,-0.05,0.01,1.1884000000000001,2010-04-28,04:00:00,bef
2010-01-28 05:00:00,-0.06,0.02,1.3469,2010-01-28,05:00:00,bef
2009-11-03 05:00:00,1.0,1.07,0.06559999999999999,2009-11-03,05:00:00,bef
2009-07-29 04:00:00,-0.13,-0.16,-0.2427,2009-07-29,04:00:00,bef
2009-04-23 04:00:00,-0.33,-0.17,0.4924,2009-04-23,04:00:00,bef
2009-01-29 05:00:00,0.07,0.01,-0.8509000000000001,2009-01-29,05:00:00,bef
2008-10-28 04:00:00,1.66,1.92,0.15480000000000002,2008-10-28,04:00:00,bef
2008-07-21 04:00:00,0.4,0.4,0.011200000000000002,2008-07-21,04:00:00,bef
2008-04-24 04:00:00,0.28,0.35,0.26780000000000004,2008-04-24,04:00:00,bef
2008-01-30 05:00:00,0.34,0.33,-0.04190000000000001,2008-01-30,05:00:00,bef
2007-10-22 04:00:00,1.77,1.84,0.037000000000000005,2007-10-22,04:00:00,bef
2007-07-26 04:00:00,0.6,0.6,0.0078000000000000005,2007-07-26,04:00:00,bef
2007-05-01 04:00:00,0.06,0.04,-0.30870000000000003,2007-05-01,04:00:00,bef
2007-02-05 05:00:00,0.2,0.22,0.125,2007-02-05,05:00:00,bef
2006-10-31 05:00:00,1.59,1.63,0.027700000000000002,2006-10-31,05:00:00,bef
2006-07-27 04:00:00,0.53,0.57,0.0768,2006-07-27,04:00:00,bef
2006-04-21 04:00:00,0.49,0.55,0.12630000000000002,2006-04-21,04:00:00,bef
2006-02-02 05:00:00,-0.24,-0.02,0.918,2006-02-02,05:00:00,bef
2005-10-26 04:00:00,1.47,1.64,0.1192,2005-10-26,04:00:00,bef
2005-07-27 04:00:00,0.57,0.71,0.2482,2005-07-27,04:00:00,bef
2005-04-21 04:00:00,0.55,0.63,0.1533,2005-04-21,04:00:00,bef
2005-02-01 05:00:00,-0.03,-0.13,-2.8519,2005-02-01,05:00:00,bef
2004-10-21 04:00:00,1.28,1.33,0.041299999999999996,2004-10-21,04:00:00,bef
2004-07-28 04:00:00,0.53,0.59,0.1095,2004-07-28,04:00:00,bef
2004-04-21 04:00:00,0.42,0.47,0.1301,2004-04-21,04:00:00,bef
2004-01-29 05:00:00,-0.07,-0.1,-0.45990000000000003,2004-01-29,05:00:00,bef
2003-10-27 05:00:00,0.98,0.97,-0.0102,2003-10-27,05:00:00,bef
2003-07-28 04:00:00,0.15,0.28,0.8211,2003-07-28,04:00:00,bef
2003-04-23 04:00:00,0.21,0.27,0.2895,2003-04-23,04:00:00,bef
2003-01-30 05:00:00,0.01,0.03,1.5997000000000001,2003-01-30,05:00:00,bef
2002-10-23 04:00:00,0.95,0.99,0.0371,2002-10-23,04:00:00,bef
2002-07-25 04:00:00,0.28,0.34,0.2028,2002-07-25,04:00:00,bef
2002-04-24 04:00:00,0.26,0.27,0.0385,2002-04-24,04:00:00,bef
2002-01-29 05:00:00,-0.22,-0.17,0.22510000000000002,2002-01-29,05:00:00,bef
2001-10-30 05:00:00,0.73,0.82,0.1302,2001-10-30,05:00:00,bef
2001-07-25 04:00:00,0.31,0.49,0.6066,2001-07-25,04:00:00,bef
2001-04-25 04:00:00,0.26,0.27,0.0418,2001-04-25,04:00:00,bef
2001-01-25 05:00:00,0.17,0.16,-0.0588,2001-01-25,05:00:00,bef
2000-10-18 04:00:00,1.08,1.04,-0.034100000000000005,2000-10-18,04:00:00,bef
2000-07-25 04:00:00,0.55,0.57,0.0451,2000-07-25,04:00:00,bef
2000-04-24 04:00:00,0.54,0.55,0.015600000000000001,2000-04-24,04:00:00,bef
2000-01-25 05:00:00,0.18,0.21,0.1386,2000-01-25,05:00:00,bef
1999-10-20 04:00:00,0.87,0.92,0.0602,1999-10-20,04:00:00,bef
1999-07-22 04:00:00,0.48,0.54,0.12090000000000001,1999-07-22,04:00:00,bef
1999-04-21 04:00:00,0.48,0.52,0.0947,1999-04-21,04:00:00,bef
1999-02-01 05:00:00,0.13,0.17,0.2845,1999-02-01,05:00:00,bef
1998-10-22 04:00:00,0.75,0.87,0.1528,1998-10-22,04:00:00,bef
1998-07-28 04:00:00,0.46,0.46,-0.0011,1998-07-28,04:00:00,bef
1998-04-29 04:00:00,0.4,0.46,0.1519,1998-04-29,04:00:00,bef
1998-02-11 05:00:00,0.1,0.12,0.2632,1998-02-11,05:00:00,bef
1997-10-29 05:00:00,0.46,0.5,0.09720000000000001,1997-10-29,05:00:00,bef
1997-07-22 04:00:00,0.32,0.34,0.055099999999999996,1997-07-22,04:00:00,bef
1997-04-24 04:00:00,0.28,0.29,0.0388,1997-04-24,04:00:00,bef
1997-01-30 05:00:00,0.13,0.13,-0.025,1997-01-30,05:00:00,bef
1996-10-22 04:00:00,0.41,0.42,0.004,1996-10-22,04:00:00,bef
1996-07-22 04:00:00,0.3,0.3,0.0072,1996-07-22,04:00:00,bef
1996-04-23 04:00:00,0.27,0.28,0.0294,1996-04-23,04:00:00,bef
1996-02-06 05:00:00,0.14,0.13,-0.0667,1996-02-06,05:00:00,bef
1995-10-26 04:00:00,0.4,0.39,-0.033,1995-10-26,04:00:00,bef
1995-07-26 04:00:00,0.25,0.25,-0.0085,1995-07-26,04:00:00,bef
1995-04-26 04:00:00,0.25,0.26,0.011899999999999999,1995-04-26,04:00:00,bef
1994-10-26 04:00:00,0.36,0.39,0.08449999999999999,1994-10-26,04:00:00,bef
1994-07-26 04:00:00,0.26,0.29,0.11539999999999999,1994-07-26,04:00:00,bef
1994-04-28 04:00:00,0.23,0.28,0.2444,1994-04-28,04:00:00,bef
1994-02-09 05:00:00,0.12,0.14,0.1475,1994-02-09,05:00:00,bef
1993-10-26 04:00:00,0.3,0.33,0.11230000000000001,1993-10-26,04:00:00,bef
1993-07-28 04:00:00,0.18,0.24,0.2936,1993-07-28,04:00:00,bef
