Earnings Date,EPS Estimate,Reported EPS,Surprise(%),Date,Time,BefAft
2022-08-04 16:00:00,0.45,0.61,0.3616,2022-08-04,16:00:00,aft
2022-05-03 16:00:00,0.43,1.13,1.6218000000000001,2022-05-03,16:00:00,aft
2022-02-10 16:00:00,0.46,0.39,-0.154,2022-02-10,16:00:00,aft
2021-11-04 16:00:00,0.52,0.69,0.3372,2021-11-04,16:00:00,aft
2021-08-05 16:00:00,0.29,0.56,0.9244,2021-08-05,16:00:00,aft
2021-05-06 16:00:00,0.17,0.47,1.7647,2021-05-06,16:00:00,aft
2021-02-11 17:00:00,0.17,0.23,0.3529,2021-02-11,17:00:00,aft
2020-11-05 16:00:00,0.21,0.07,-0.6667000000000001,2020-11-05,16:00:00,aft
2020-08-03 16:00:00,0.27,0.11,-0.5865,2020-08-03,16:00:00,aft
2020-05-07 16:00:00,0.36,-0.15,-1.4213,2020-05-07,16:00:00,aft
2020-02-12 16:00:00,0.4,0.24,-0.4,2020-02-12,16:00:00,aft
2019-10-30 16:00:00,0.34,0.34,-0.0116,2019-10-30,16:00:00,aft
2019-08-01 16:00:00,0.34,0.31,-0.0936,2019-08-01,16:00:00,aft
2019-05-02 16:00:00,0.35,0.54,0.5429,2019-05-02,16:00:00,aft
2019-02-13 16:00:00,0.38,0.46,0.21050000000000002,2019-02-13,16:00:00,aft
2018-10-25 16:00:00,0.38,0.41,0.0733,2018-10-25,16:00:00,aft
2018-08-02 16:00:00,0.34,0.28,-0.1765,2018-08-02,16:00:00,aft
2018-04-30 17:00:00,0.36,0.31,-0.1317,2018-04-30,17:00:00,aft
2018-02-08 16:00:00,0.33,0.5,0.5244,2018-02-08,16:00:00,aft
2017-11-01 16:00:00,0.31,0.35,0.13640000000000002,2017-11-01,16:00:00,aft
2017-08-03 16:00:00,0.4,0.28,-0.2965,2017-08-03,16:00:00,aft
2017-05-09 17:00:00,0.01,-0.26,-53.0,2017-05-09,17:00:00,aft
2017-02-08 16:00:00,0.35,0.53,0.5143,2017-02-08,16:00:00,aft
2016-11-01 16:00:00,-0.01,0.05,8.1429,2016-11-01,16:00:00,aft
2016-08-02 16:00:00,0.28,0.35,0.2324,2016-08-02,16:00:00,aft
2016-05-03 16:00:00,0.31,0.49,0.6066,2016-05-03,16:00:00,aft
2016-02-10 16:00:00,0.19,0.18,-0.0576,2016-02-10,16:00:00,aft
2015-10-28 16:00:00,0.25,0.57,1.2709000000000001,2015-10-28,16:00:00,aft
2015-08-05 16:00:00,0.25,0.34,0.3655,2015-08-05,16:00:00,aft
2015-05-06 16:00:00,0.24,0.27,0.1297,2015-05-06,16:00:00,aft
2015-02-11 16:00:00,0.24,0.59,1.4894999999999998,2015-02-11,16:00:00,aft
2014-11-03 16:00:00,0.17,0.52,2.0588,2014-11-03,16:00:00,aft
2014-08-06 04:00:00,0.16,0.28,0.7778,2014-08-06,04:00:00,bef
2014-05-07 04:00:00,0.15,0.21,0.42369999999999997,2014-05-07,04:00:00,bef
2014-02-12 05:00:00,0.18,0.5,1.7778,2014-02-12,05:00:00,bef
2013-10-30 04:00:00,0.2,0.13,-0.358,2013-10-30,04:00:00,bef
2013-07-31 04:00:00,0.18,0.22,0.23370000000000002,2013-07-31,04:00:00,bef
2013-05-07 04:00:00,0.16,0.17,0.0759,2013-05-07,04:00:00,bef
2013-01-30 05:00:00,0.15,-0.41,-3.7702999999999998,2013-01-30,05:00:00,bef
2012-07-31 04:00:00,0.14,0.06,-0.5833,2012-07-31,04:00:00,bef
2012-05-02 04:00:00,0.07,0.14,0.8919,2012-05-02,04:00:00,bef
2012-02-01 05:00:00,0.15,0.09,-0.3932,2012-02-01,05:00:00,bef
2011-11-03 04:00:00,0.12,0.09,-0.27030000000000004,2011-11-03,04:00:00,bef
2011-08-03 04:00:00,0.11,0.14,0.2727,2011-08-03,04:00:00,bef
2011-05-04 04:00:00,0.08,0.02,-0.75,2011-05-04,04:00:00,bef
2011-02-02 05:00:00,0.06,-0.44,-7.9477,2011-02-02,05:00:00,bef
2010-11-03 04:00:00,0.12,0.12,0.0285,2010-11-03,04:00:00,bef
2010-08-04 04:00:00,0.04,0.08,1.0,2010-08-04,04:00:00,bef
2010-05-05 04:00:00,0.06,0.15,1.6469,2010-05-05,04:00:00,bef
2010-02-03 05:00:00,0.21,0.31,0.5122,2010-02-03,05:00:00,bef
2009-10-30 04:00:00,0.29,-1.05,-4.5934,2009-10-30,04:00:00,bef
2009-08-05 04:00:00,0.26,-0.23,-1.8696000000000002,2009-08-05,04:00:00,bef
2009-05-06 04:00:00,0.29,0.28,-0.032799999999999996,2009-05-06,04:00:00,bef
2009-02-04 05:00:00,0.48,0.23,-0.5192,2009-02-04,05:00:00,bef
2008-11-10 05:00:00,0.59,0.84,0.42369999999999997,2008-11-10,05:00:00,bef
