Earnings Date,EPS Estimate,Reported EPS,Surprise(%),Date,Time,BefAft
2022-07-28 12:00:00,8.06,9.79,0.2146,2022-07-28,12:00:00,bef
2022-07-27 16:00:00,8.06,9.79,0.2146,2022-07-27,16:00:00,aft
2022-04-27 16:00:00,9.42,10.31,0.09480000000000001,2022-04-27,16:00:00,aft
2022-02-09 16:00:00,8.92,9.12,0.0222,2022-02-09,16:00:00,aft
2021-10-27 16:00:00,-1.06,-1.34,-0.26530000000000004,2021-10-27,16:00:00,aft
2021-07-28 16:00:00,8.67,14.63,0.6866,2021-07-28,16:00:00,aft
2021-04-28 16:00:00,4.61,6.49,0.40840000000000004,2021-04-28,16:00:00,aft
2021-02-08 16:00:00,-1.16,-1.12,0.0378,2021-02-08,16:00:00,aft
2020-10-29 16:00:00,1.67,2.42,0.4535,2020-10-29,16:00:00,aft
2020-08-05 16:00:00,1.63,2.07,0.2699,2020-08-05,16:00:00,aft
2020-05-06 16:00:00,3.62,4.03,0.11480000000000001,2020-05-06,16:00:00,aft
2020-02-10 16:00:00,2.64,3.2,0.21170000000000003,2020-02-10,16:00:00,aft
2019-10-28 16:00:00,2.21,3.39,0.5312,2019-10-28,16:00:00,aft
2019-07-29 16:00:00,6.44,7.85,0.2189,2019-07-29,16:00:00,aft
2019-05-06 16:00:00,5.91,6.91,0.16920000000000002,2019-05-06,16:00:00,aft
2019-02-11 16:00:00,-6.31,-5.89,0.0663,2019-02-11,16:00:00,aft
2018-10-29 16:00:00,3.18,4.09,0.2866,2018-10-29,16:00:00,aft
2018-07-30 16:00:00,0.97,0.98,0.015500000000000002,2018-07-30,16:00:00,aft
2018-04-25 16:00:00,5.4,5.34,-0.010900000000000002,2018-04-25,16:00:00,aft
2018-02-05 16:00:00,5.17,13.48,1.6094,2018-02-05,16:00:00,aft
2017-10-30 16:00:00,-15.98,-16.43,-0.0278,2017-10-30,16:00:00,aft
2017-07-24 16:00:00,5.24,5.51,0.0519,2017-07-24,16:00:00,aft
2017-04-24 16:00:00,5.26,6.29,0.19649999999999998,2017-04-24,16:00:00,aft
2017-02-06 16:00:00,3.56,8.83,1.4803,2017-02-06,16:00:00,aft
2016-10-24 16:00:00,4.45,6.53,0.46770000000000006,2016-10-24,16:00:00,aft
2016-07-25 16:00:00,2.85,3.17,0.1119,2016-07-25,16:00:00,aft
2016-04-25 16:00:00,5.57,5.19,-0.0689,2016-04-25,16:00:00,aft
2016-02-03 16:00:00,5.26,8.17,0.5526,2016-02-03,16:00:00,aft
2015-10-26 16:00:00,4.02,4.53,0.12689999999999999,2015-10-26,16:00:00,aft
2015-07-27 16:00:00,5.67,5.03,-0.1127,2015-07-27,16:00:00,aft
2015-04-27 16:00:00,5.93,7.34,0.2382,2015-04-27,16:00:00,aft
2015-02-04 16:00:00,5.66,7.28,0.2862,2015-02-04,16:00:00,aft
2014-10-22 16:00:00,4.79,6.12,0.2766,2014-10-22,16:00:00,aft
2014-07-23 04:00:00,5.89,5.41,-0.0817,2014-07-23,04:00:00,bef
