Earnings Date,EPS Estimate,Reported EPS,Surprise(%),Date,Time,BefAft
2022-07-28 12:00:00,1.66,1.61,-0.0301,2022-07-28,12:00:00,bef
2022-07-27 16:00:00,1.66,1.61,-0.0301,2022-07-27,16:00:00,aft
2022-04-27 16:00:00,1.64,1.55,-0.053700000000000005,2022-04-27,16:00:00,aft
2022-01-26 16:00:00,1.76,2.12,0.2039,2022-01-26,16:00:00,aft
2021-10-27 16:00:00,1.71,2.06,0.20750000000000002,2021-10-27,16:00:00,aft
2021-07-28 16:00:00,1.59,1.83,0.152,2021-07-28,16:00:00,aft
2021-04-28 17:00:00,1.46,1.67,0.14980000000000002,2021-04-28,17:00:00,aft
2021-01-27 16:00:00,1.15,1.49,0.2994,2021-01-27,16:00:00,aft
2020-10-28 16:00:00,0.89,1.19,0.3337,2020-10-28,16:00:00,aft
2020-07-29 18:00:00,0.65,0.82,0.26539999999999997,2020-07-29,18:00:00,aft
2020-04-29 16:00:00,0.97,0.8,-0.177,2020-04-29,16:00:00,aft
2020-01-22 16:00:00,1.29,1.26,-0.0202,2020-01-22,16:00:00,aft
2019-10-24 14:00:00,1.27,1.33,0.0496,2019-10-24,14:00:00,bef
2019-07-24 18:00:00,1.82,1.8,-0.013200000000000002,2019-07-24,18:00:00,aft
2019-04-24 22:00:00,1.63,1.81,0.1077,2019-04-24,22:00:00,aft
2019-01-23 16:00:00,1.73,1.79,0.0371,2019-01-23,16:00:00,aft
2018-10-24 18:00:00,1.82,1.68,-0.07440000000000001,2018-10-24,18:00:00,aft
2018-07-25 17:00:00,1.72,1.55,-0.0999,2018-07-25,17:00:00,aft
2018-04-25 17:00:00,1.63,1.63,0.0031,2018-04-25,17:00:00,aft
2018-01-24 17:00:00,1.25,1.61,0.2921,2018-01-24,17:00:00,aft
2017-10-25 16:00:00,1.32,1.47,0.11109999999999999,2017-10-25,16:00:00,aft
2017-07-26 16:00:00,1.27,1.26,-0.0070999999999999995,2017-07-26,16:00:00,aft
2017-04-26 16:00:00,1.14,1.28,0.1268,2017-04-26,16:00:00,aft
2017-01-25 16:00:00,1.01,1.07,0.0584,2017-01-25,16:00:00,aft
2016-10-26 16:00:00,0.99,1.28,0.2916,2016-10-26,16:00:00,aft
2016-07-20 16:00:00,0.9,0.93,0.0391,2016-07-20,16:00:00,aft
2016-04-20 16:00:00,0.75,0.9,0.1952,2016-04-20,16:00:00,aft
2016-01-20 17:00:00,0.84,0.73,-0.131,2016-01-20,17:00:00,aft
2015-10-21 16:00:00,0.92,0.88,-0.0424,2015-10-21,16:00:00,aft
2015-07-22 16:00:00,0.89,0.91,0.0213,2015-07-22,16:00:00,aft
2015-04-22 17:00:00,0.83,0.77,-0.0667,2015-04-22,17:00:00,aft
2015-01-21 17:00:00,0.86,0.87,0.016399999999999998,2015-01-21,17:00:00,aft
2014-10-29 16:00:00,0.85,0.94,0.102,2014-10-29,16:00:00,aft
2014-07-23 04:00:00,0.76,0.85,0.1158,2014-07-23,04:00:00,bef
