Earnings Date,EPS Estimate,Reported EPS,Surprise(%),Date,Time,BefAft
2022-07-27 07:00:00,0.21,0.2,-0.0244,2022-07-27,07:00:00,bef
2022-04-27 07:00:00,0.14,0.15,0.049,2022-04-27,07:00:00,bef
2022-01-26 07:00:00,0.15,0.14,-0.041100000000000005,2022-01-26,07:00:00,bef
2021-10-27 07:00:00,0.2,0.19,-0.06860000000000001,2021-10-27,07:00:00,bef
2021-07-28 07:00:00,0.18,0.2,0.13640000000000002,2021-07-28,07:00:00,bef
2021-04-28 07:00:00,0.11,0.14,0.25,2021-04-28,07:00:00,bef
2021-01-27 07:00:00,0.13,0.13,0.0317,2021-01-27,07:00:00,bef
2020-10-28 07:00:00,0.16,0.17,0.10189999999999999,2020-10-28,07:00:00,bef
2020-07-29 07:00:00,0.12,0.15,0.275,2020-07-29,07:00:00,bef
2020-04-29 07:00:00,0.09,0.09,-0.0225,2020-04-29,07:00:00,bef
2020-01-29 07:00:00,0.12,0.11,-0.0696,2020-01-29,07:00:00,bef
2019-10-23 07:00:00,0.13,0.15,0.13949999999999999,2019-10-23,07:00:00,bef
2019-07-24 07:00:00,0.14,0.13,-0.0148,2019-07-24,07:00:00,bef
2019-04-24 07:00:00,0.1,0.09,-0.0792,2019-04-24,07:00:00,bef
2019-01-23 07:00:00,0.11,0.11,-0.053099999999999994,2019-01-23,07:00:00,bef
2018-10-24 07:00:00,0.2,0.21,0.035,2018-10-24,07:00:00,bef
2018-07-25 07:00:00,0.21,0.2,-0.0431,2018-07-25,07:00:00,bef
2018-04-25 08:00:00,0.15,0.15,-0.0392,2018-04-25,08:00:00,bef
2018-01-24 07:00:00,0.13,0.14,0.0687,2018-01-24,07:00:00,bef
2017-10-25 07:00:00,0.16,0.16,-0.0244,2017-10-25,07:00:00,bef
2017-07-26 07:00:00,0.16,0.17,0.0183,2017-07-26,07:00:00,bef
2017-04-26 07:00:00,0.11,0.11,0.0089,2017-04-26,07:00:00,bef
2017-01-25 07:00:00,0.11,0.11,0.0089,2017-01-25,07:00:00,bef
2016-10-26 07:00:00,0.22,0.23,0.0268,2016-10-26,07:00:00,bef
2016-07-27 07:00:00,0.23,0.22,-0.0265,2016-07-27,07:00:00,bef
2016-04-27 07:00:00,0.15,0.15,0.0204,2016-04-27,07:00:00,bef
2016-01-27 07:00:00,0.15,0.15,-0.006600000000000001,2016-01-27,07:00:00,bef
2015-10-28 07:00:00,0.21,0.21,0.0048,2015-10-28,07:00:00,bef
2015-07-29 07:00:00,0.21,0.21,-0.0047,2015-07-29,07:00:00,bef
