Earnings Date,EPS Estimate,Reported EPS,Surprise(%),Date,Time,BefAft
2022-08-02 16:00:00,0.75,0.84,0.1155,2022-08-02,16:00:00,aft
2022-05-03 16:00:00,0.59,0.59,-0.0051,2022-05-03,16:00:00,aft
2022-02-01 16:00:00,0.8,0.72,-0.0966,2022-02-01,16:00:00,aft
2021-10-28 16:00:00,0.99,1.0,0.008100000000000001,2021-10-28,16:00:00,aft
2021-07-27 16:00:00,0.78,1.01,0.2965,2021-07-27,16:00:00,aft
2021-04-27 16:00:00,0.53,0.62,0.172,2021-04-27,16:00:00,aft
2021-01-26 16:00:00,0.55,0.61,0.10310000000000001,2021-01-26,16:00:00,aft
2020-10-29 16:00:00,0.31,0.51,0.6242,2020-10-29,16:00:00,aft
2020-07-28 16:00:00,-0.59,-0.46,0.223,2020-07-28,16:00:00,aft
2020-04-28 16:00:00,0.34,0.32,-0.0643,2020-04-28,16:00:00,aft
2020-01-28 16:00:00,0.76,0.79,0.0408,2020-01-28,16:00:00,aft
2019-10-30 16:00:00,0.7,0.7,0.0014000000000000002,2019-10-30,16:00:00,aft
2019-07-25 16:00:00,0.72,0.78,0.07730000000000001,2019-07-25,16:00:00,aft
2019-04-25 16:00:00,0.56,0.6,0.06570000000000001,2019-04-25,16:00:00,aft
2019-01-24 16:00:00,0.65,0.75,0.1574,2019-01-24,16:00:00,aft
2018-11-01 16:00:00,0.6,0.62,0.0351,2018-11-01,16:00:00,aft
2018-07-26 16:00:00,0.61,0.62,0.0197,2018-07-26,16:00:00,aft
2018-01-25 16:00:00,0.57,0.65,0.1384,2018-01-25,16:00:00,aft
2017-11-02 16:00:00,0.55,0.55,0.0073,2017-11-02,16:00:00,aft
2017-07-27 16:00:00,0.55,0.55,-0.0018,2017-07-27,16:00:00,aft
2017-04-27 16:00:00,0.45,0.45,0.0022,2017-04-27,16:00:00,aft
2016-11-03 16:00:00,0.55,0.56,0.0219,2016-11-03,16:00:00,aft
2016-07-21 16:00:00,0.49,0.49,0.0062,2016-07-21,16:00:00,aft
2016-01-21 16:00:00,0.45,0.46,0.0222,2016-01-21,16:00:00,aft
2015-10-29 16:00:00,0.43,0.43,-0.0092,2015-10-29,16:00:00,aft
2015-07-23 16:00:00,0.41,0.42,0.0294,2015-07-23,16:00:00,aft
2015-04-23 16:00:00,0.33,0.33,0.0123,2015-04-23,16:00:00,aft
2015-01-22 16:00:00,0.4,0.4,-0.0025,2015-01-22,16:00:00,aft
2014-10-30 16:00:00,0.37,0.37,-0.0027,2014-10-30,16:00:00,aft
2014-07-24 04:00:00,0.33,0.34,0.026000000000000002,2014-07-24,04:00:00,bef
2014-04-24 04:00:00,0.28,0.28,0.0059,2014-04-24,04:00:00,bef
2014-01-23 05:00:00,0.35,0.34,-0.015500000000000002,2014-01-23,05:00:00,bef
2013-10-30 04:00:00,0.3,0.32,0.053899999999999997,2013-10-30,04:00:00,bef
2013-07-25 04:00:00,0.27,0.28,0.0348,2013-07-25,04:00:00,bef
2013-04-25 04:00:00,0.24,0.24,-0.0044,2013-04-25,04:00:00,bef
2013-01-24 05:00:00,0.29,0.28,-0.0043,2013-01-24,05:00:00,bef
2012-11-01 04:00:00,0.22,0.23,0.0279,2012-11-01,04:00:00,bef
2012-07-26 04:00:00,0.23,0.22,-0.0497,2012-07-26,04:00:00,bef
2012-04-26 04:00:00,0.2,0.2,0.0219,2012-04-26,04:00:00,bef
2012-01-26 05:00:00,0.24,0.25,0.027400000000000004,2012-01-26,05:00:00,bef
2011-11-03 04:00:00,0.18,0.19,0.0158,2011-11-03,04:00:00,bef
2011-07-28 04:00:00,0.17,0.18,0.064,2011-07-28,04:00:00,bef
2011-04-27 04:00:00,0.17,0.17,0.009000000000000001,2011-04-27,04:00:00,bef
2011-01-26 05:00:00,0.2,0.23,0.15380000000000002,2011-01-26,05:00:00,bef
2010-11-04 04:00:00,0.16,0.19,0.1583,2010-11-04,04:00:00,bef
2010-07-21 04:00:00,0.14,0.14,0.011000000000000001,2010-07-21,04:00:00,bef
2010-04-21 04:00:00,0.12,0.14,0.1698,2010-04-21,04:00:00,bef
2010-01-20 05:00:00,0.14,0.17,0.188,2010-01-20,05:00:00,bef
2009-11-05 05:00:00,0.1,0.12,0.152,2009-11-05,05:00:00,bef
2009-07-21 04:00:00,0.09,0.12,0.2743,2009-07-21,04:00:00,bef
2009-04-29 04:00:00,0.07,0.08,0.0786,2009-04-29,04:00:00,bef
2009-01-28 05:00:00,0.08,0.08,-0.099,2009-01-28,05:00:00,bef
2008-11-10 05:00:00,0.07,0.05,-0.2386,2008-11-10,05:00:00,bef
2008-07-30 04:00:00,0.09,0.08,-0.125,2008-07-30,04:00:00,bef
2008-04-30 04:00:00,0.08,0.09,0.2,2008-04-30,04:00:00,bef
2008-01-30 05:00:00,0.14,0.14,0.023700000000000002,2008-01-30,05:00:00,bef
2007-11-15 05:00:00,0.1,0.11,0.0076,2007-11-15,05:00:00,bef
2007-08-01 04:00:00,0.11,0.11,-0.0078000000000000005,2007-08-01,04:00:00,bef
2007-05-03 04:00:00,0.1,0.1,-0.0115,2007-05-03,04:00:00,bef
2007-01-31 05:00:00,0.13,0.13,0.008100000000000001,2007-01-31,05:00:00,bef
2006-11-16 05:00:00,0.08,0.09,0.0034000000000000002,2006-11-16,05:00:00,bef
2006-08-02 04:00:00,0.09,0.09,0.0472,2006-08-02,04:00:00,bef
2006-05-03 04:00:00,0.07,0.08,0.1282,2006-05-03,04:00:00,bef
2006-02-01 05:00:00,0.1,0.11,0.12460000000000002,2006-02-01,05:00:00,bef
2005-11-17 05:00:00,0.07,0.08,0.0687,2005-11-17,05:00:00,bef
2005-07-27 04:00:00,0.07,0.08,0.0398,2005-07-27,04:00:00,bef
2005-04-27 04:00:00,0.06,0.06,-0.0089,2005-04-27,04:00:00,bef
2005-01-26 05:00:00,0.09,0.09,0.0202,2005-01-26,05:00:00,bef
2004-11-10 05:00:00,0.06,0.06,-0.0067,2004-11-10,05:00:00,bef
2004-07-21 04:00:00,0.05,0.06,0.10890000000000001,2004-07-21,04:00:00,bef
2004-04-21 04:00:00,0.04,0.05,0.0985,2004-04-21,04:00:00,bef
2004-01-21 05:00:00,0.06,0.07,0.0565,2004-01-21,05:00:00,bef
2003-11-13 05:00:00,0.04,0.04,-0.0171,2003-11-13,05:00:00,bef
2003-07-24 04:00:00,0.04,0.04,0.032100000000000004,2003-07-24,04:00:00,bef
2003-04-24 04:00:00,0.03,0.03,-0.0079,2003-04-24,04:00:00,bef
2003-01-23 05:00:00,0.05,0.05,0.10160000000000001,2003-01-23,05:00:00,bef
2002-11-14 05:00:00,0.04,0.04,0.0083,2002-11-14,05:00:00,bef
2002-07-25 04:00:00,0.03,0.04,0.0555,2002-07-25,04:00:00,bef
2002-04-25 04:00:00,0.02,0.03,0.1174,2002-04-25,04:00:00,bef
2002-01-24 05:00:00,0.04,0.04,0.0179,2002-01-24,05:00:00,bef
2001-11-15 05:00:00,0.03,0.04,0.0501,2001-11-15,05:00:00,bef
2001-07-26 04:00:00,0.03,0.03,-0.0115,2001-07-26,04:00:00,bef
2001-04-26 04:00:00,0.02,0.02,0.0076,2001-04-26,04:00:00,bef
2001-01-25 05:00:00,0.03,0.03,0.08130000000000001,2001-01-25,05:00:00,bef
2000-11-16 05:00:00,0.03,0.03,0.0029,2000-11-16,05:00:00,bef
2000-07-27 04:00:00,0.02,0.02,0.0031,2000-07-27,04:00:00,bef
2000-04-27 04:00:00,0.02,0.02,-0.0234,2000-04-27,04:00:00,bef
2000-01-27 05:00:00,0.02,0.02,0.049400000000000006,2000-01-27,05:00:00,bef
1999-04-22 04:00:00,0.01,0.01,-0.0064,1999-04-22,04:00:00,bef
1999-01-21 05:00:00,0.02,0.02,-0.0049,1999-01-21,05:00:00,bef
1998-11-12 05:00:00,0.02,0.02,0.0151,1998-11-12,05:00:00,bef
