Earnings Date,EPS Estimate,Reported EPS,Surprise(%),Date,Time,BefAft
2022-08-02 07:00:00,0.97,1.01,0.038,2022-08-02,07:00:00,bef
2022-05-03 07:00:00,0.93,1.12,0.2043,2022-05-03,07:00:00,bef
2022-02-17 07:00:00,1.13,1.12,-0.008,2022-02-17,07:00:00,bef
2021-11-02 07:00:00,0.82,0.86,0.0437,2021-11-02,07:00:00,bef
2021-08-03 07:00:00,0.78,0.79,0.0141,2021-08-03,07:00:00,bef
2021-05-04 07:00:00,0.7,0.78,0.1095,2021-05-04,07:00:00,bef
2021-02-09 07:00:00,0.76,0.89,0.1649,2021-02-09,07:00:00,bef
2020-10-28 07:00:00,0.66,0.82,0.2368,2020-10-28,07:00:00,bef
2020-08-06 07:00:00,0.57,0.76,0.331,2020-08-06,07:00:00,bef
2020-05-05 07:00:00,0.59,0.73,0.2479,2020-05-05,07:00:00,bef
2020-02-11 07:00:00,0.75,0.78,0.047,2020-02-11,07:00:00,bef
2019-11-06 07:00:00,0.62,0.64,0.030600000000000002,2019-11-06,07:00:00,bef
2019-08-02 07:00:00,0.64,0.8,0.24800000000000003,2019-08-02,07:00:00,bef
2019-05-01 07:00:00,0.57,0.59,0.038700000000000005,2019-05-01,07:00:00,bef
2019-02-07 07:00:00,0.67,0.75,0.1161,2019-02-07,07:00:00,bef
2018-11-01 07:00:00,0.6,0.61,0.0099,2018-11-01,07:00:00,bef
2018-08-02 07:00:00,0.58,0.64,0.0978,2018-08-02,07:00:00,bef
2018-05-03 07:00:00,0.51,0.51,0.0099,2018-05-03,07:00:00,bef
2018-02-08 08:00:00,0.57,0.58,0.013999999999999999,2018-02-08,08:00:00,bef
2017-11-08 07:00:00,0.47,0.46,-0.025400000000000002,2017-11-08,07:00:00,bef
2017-08-08 08:00:00,0.36,0.35,-0.0196,2017-08-08,08:00:00,bef
2017-05-09 07:00:00,0.47,0.43,-0.0812,2017-05-09,07:00:00,bef
2017-02-09 07:00:00,0.74,0.76,0.0229,2017-02-09,07:00:00,bef
2016-10-27 07:00:00,0.69,0.71,0.028999999999999998,2016-10-27,07:00:00,bef
2016-07-28 07:00:00,0.65,0.65,0.0078000000000000005,2016-07-28,07:00:00,bef
2016-04-28 07:00:00,0.48,0.5,0.0526,2016-04-28,07:00:00,bef
2016-02-10 07:00:00,0.5,0.76,0.517,2016-02-10,07:00:00,bef
2015-10-27 07:00:00,0.57,0.7,0.2302,2015-10-27,07:00:00,bef
2015-07-30 07:00:00,0.53,0.6,0.13210000000000002,2015-07-30,07:00:00,bef
2015-04-30 07:00:00,0.42,0.54,0.295,2015-04-30,07:00:00,bef
2015-02-10 07:00:00,0.47,0.59,0.25,2015-02-10,07:00:00,bef
2014-10-29 07:00:00,0.46,0.52,0.1429,2014-10-29,07:00:00,bef
2014-07-30 04:00:00,0.39,0.42,0.0886,2014-07-30,04:00:00,bef
2014-04-30 04:00:00,0.24,0.33,0.3667,2014-04-30,04:00:00,bef
2014-02-06 05:00:00,0.37,0.34,-0.07780000000000001,2014-02-06,05:00:00,bef
2013-10-30 04:00:00,0.34,0.39,0.1623,2013-10-30,04:00:00,bef
2013-08-02 04:00:00,0.25,0.35,0.38380000000000003,2013-08-02,04:00:00,bef
2013-05-01 04:00:00,0.18,0.17,-0.0745,2013-05-01,04:00:00,bef
2013-02-19 05:00:00,0.29,0.34,0.1558,2013-02-19,05:00:00,bef
2012-11-02 04:00:00,0.31,0.28,-0.0968,2012-11-02,04:00:00,bef
2012-08-02 04:00:00,0.35,0.2,-0.42710000000000004,2012-08-02,04:00:00,bef
2012-05-03 04:00:00,0.21,0.18,-0.12390000000000001,2012-05-03,04:00:00,bef
2012-02-09 05:00:00,0.49,0.42,-0.1429,2012-02-09,05:00:00,bef
2011-10-26 04:00:00,0.49,0.48,-0.023700000000000002,2011-10-26,04:00:00,bef
2011-07-27 04:00:00,0.38,0.4,0.0496,2011-07-27,04:00:00,bef
2011-04-27 04:00:00,0.38,0.34,-0.11130000000000001,2011-04-27,04:00:00,bef
2011-01-24 05:00:00,0.46,0.46,0.009300000000000001,2011-01-24,05:00:00,bef
2010-10-27 04:00:00,0.43,0.43,-0.0044,2010-10-27,04:00:00,bef
2010-07-27 04:00:00,0.37,0.35,-0.047,2010-07-27,04:00:00,bef
2010-04-28 04:00:00,0.35,0.36,0.0259,2010-04-28,04:00:00,bef
2010-01-25 05:00:00,0.39,0.4,0.0191,2010-01-25,05:00:00,bef
2009-10-28 04:00:00,0.33,0.38,0.1595,2009-10-28,04:00:00,bef
2009-07-29 04:00:00,0.34,0.34,-0.0029,2009-07-29,04:00:00,bef
2009-04-29 04:00:00,0.28,0.33,0.1693,2009-04-29,04:00:00,bef
2009-01-26 05:00:00,0.33,0.39,0.1818,2009-01-26,05:00:00,bef
2008-10-29 04:00:00,0.38,0.28,-0.27190000000000003,2008-10-29,04:00:00,bef
2008-07-30 04:00:00,0.4,0.38,-0.0526,2008-07-30,04:00:00,bef
2008-04-30 04:00:00,0.39,0.35,-0.10490000000000001,2008-04-30,04:00:00,bef
2008-01-30 05:00:00,0.44,0.45,0.0334,2008-01-30,05:00:00,bef
