Earnings Date,EPS Estimate,Reported EPS,Surprise(%),Date,Time,BefAft
2022-07-21 16:00:00,7.69,5.6,-0.2713,2022-07-21,16:00:00,aft
2022-04-21 16:00:00,5.66,7.92,0.3986,2022-04-21,16:00:00,aft
2022-01-20 16:00:00,6.51,6.22,-0.044500000000000005,2022-01-20,16:00:00,aft
2021-10-21 16:00:00,5.04,6.24,0.23760000000000003,2021-10-21,16:00:00,aft
2021-07-22 16:00:00,6.5,9.09,0.39780000000000004,2021-07-22,16:00:00,aft
2021-04-22 16:00:00,6.47,10.03,0.5495,2021-04-22,16:00:00,aft
2021-01-21 16:00:00,3.84,7.4,0.9296,2021-01-21,16:00:00,aft
2020-10-22 16:00:00,5.27,8.47,0.6081000000000001,2020-10-22,16:00:00,aft
2020-07-23 16:00:00,3.11,4.42,0.42310000000000003,2020-07-23,16:00:00,aft
2020-04-23 17:00:00,3.56,2.55,-0.2843,2020-04-23,17:00:00,aft
2020-01-23 16:00:00,4.65,5.06,0.08789999999999999,2020-01-23,16:00:00,aft
2019-10-24 18:00:00,5.07,5.15,0.016,2019-10-24,18:00:00,aft
2019-07-25 16:00:00,5.06,6.08,0.2028,2019-07-25,16:00:00,aft
2019-04-25 16:00:00,4.77,5.44,0.1414,2019-04-25,16:00:00,aft
2019-01-24 16:00:00,4.71,4.96,0.0524,2019-01-24,16:00:00,aft
2018-10-25 16:00:00,4.49,5.1,0.1366,2018-10-25,16:00:00,aft
2018-07-26 16:00:00,3.9,4.42,0.1333,2018-07-26,16:00:00,aft
2018-04-26 16:00:00,3.14,3.63,0.15789999999999998,2018-04-26,16:00:00,aft
2018-01-25 17:00:00,2.57,2.97,0.15380000000000002,2018-01-25,17:00:00,aft
2017-10-26 16:00:00,2.29,2.79,0.2162,2017-10-26,16:00:00,aft
2017-07-27 17:00:00,2.04,2.32,0.135,2017-07-27,17:00:00,aft
2017-04-27 18:00:00,1.87,1.91,0.023,2017-04-27,18:00:00,aft
2017-01-26 16:00:00,1.79,1.89,0.057,2017-01-26,16:00:00,aft
2016-10-20 16:00:00,1.73,2.12,0.22260000000000002,2016-10-20,16:00:00,aft
2016-07-21 16:00:00,1.7,1.78,0.0483,2016-07-21,16:00:00,aft
2016-04-21 16:00:00,1.7,1.52,-0.1043,2016-04-21,16:00:00,aft
2016-01-21 16:00:00,1.53,1.68,0.09949999999999999,2016-01-21,16:00:00,aft
2015-10-22 16:00:00,1.53,1.57,0.0255,2015-10-22,16:00:00,aft
2015-07-23 17:00:00,1.46,1.66,0.1401,2015-07-23,17:00:00,aft
2015-04-23 16:00:00,1.35,1.71,0.2704,2015-04-23,16:00:00,aft
2015-01-22 16:00:00,1.29,1.37,0.062000000000000006,2015-01-22,16:00:00,aft
2014-10-23 17:00:00,1.23,1.22,-0.0105,2014-10-23,17:00:00,aft
2014-07-24 04:00:00,0.88,1.04,0.1857,2014-07-24,04:00:00,bef
2014-04-24 04:00:00,1.57,1.95,0.2391,2014-04-24,04:00:00,bef
2014-01-23 05:00:00,1.1,1.27,0.1585,2014-01-23,05:00:00,bef
2013-10-24 04:00:00,1.44,1.46,0.0118,2013-10-24,04:00:00,bef
