Earnings Date,EPS Estimate,Reported EPS,Surprise(%),Date,Time,BefAft
2022-08-02 07:00:00,2.94,2.81,-0.0426,2022-08-02,07:00:00,bef
2022-05-03 07:00:00,2.98,2.89,-0.0315,2022-05-03,07:00:00,bef
2022-02-08 07:00:00,3.13,3.15,0.005699999999999999,2022-02-08,07:00:00,bef
2021-10-26 07:00:00,3.15,3.54,0.12490000000000001,2021-10-26,07:00:00,bef
2021-07-29 07:00:00,3.27,3.62,0.1084,2021-07-29,07:00:00,bef
2021-04-29 07:00:00,3.03,3.39,0.12029999999999999,2021-04-29,07:00:00,bef
2021-02-09 07:00:00,2.51,2.71,0.0805,2021-02-09,07:00:00,bef
2020-10-27 07:00:00,2.58,2.85,0.1068,2020-10-27,07:00:00,bef
2020-07-28 07:00:00,2.67,3.4,0.2725,2020-07-28,07:00:00,bef
2020-04-28 07:00:00,2.3,2.73,0.1864,2020-04-28,07:00:00,bef
2020-02-06 07:00:00,2.43,2.53,0.0403,2020-02-06,07:00:00,bef
2019-10-29 07:00:00,2.34,2.46,0.052199999999999996,2019-10-29,07:00:00,bef
2019-08-01 07:00:00,2.28,2.43,0.0672,2019-08-01,07:00:00,bef
2019-05-02 07:00:00,2.13,2.11,-0.0094,2019-05-02,07:00:00,bef
2019-02-07 07:00:00,2.19,2.22,0.0151,2019-02-07,07:00:00,bef
2018-10-25 07:00:00,2.04,2.11,0.0348,2018-10-25,07:00:00,bef
2018-07-26 07:00:00,2.13,2.17,0.0197,2018-07-26,07:00:00,bef
2018-04-26 07:00:00,1.97,2.0,0.0178,2018-04-26,07:00:00,bef
2018-02-06 07:00:00,1.61,1.85,0.1476,2018-02-06,07:00:00,bef
2017-10-26 07:00:00,1.54,1.71,0.114,2017-10-26,07:00:00,bef
2017-07-27 07:00:00,1.58,1.72,0.09140000000000001,2017-07-27,07:00:00,bef
2017-04-25 07:00:00,1.39,1.62,0.16210000000000002,2017-04-25,07:00:00,bef
2017-02-07 07:00:00,1.19,1.28,0.0765,2017-02-07,07:00:00,bef
2016-11-03 07:00:00,1.34,1.43,0.0664,2016-11-03,07:00:00,bef
2016-07-28 07:00:00,1.34,1.44,0.073,2016-07-28,07:00:00,bef
2016-04-26 07:00:00,1.15,1.2,0.0453,2016-04-26,07:00:00,bef
2016-02-04 07:00:00,1.01,1.04,0.0246,2016-02-04,07:00:00,bef
2015-11-03 07:00:00,1.07,1.19,0.11320000000000001,2015-11-03,07:00:00,bef
2015-07-27 07:00:00,1.13,1.21,0.0698,2015-07-27,07:00:00,bef
2015-04-28 07:00:00,1.0,1.09,0.09330000000000001,2015-04-28,07:00:00,bef
2015-02-12 07:00:00,0.9,0.95,0.0556,2015-02-12,07:00:00,bef
2014-10-29 07:00:00,0.94,1.02,0.0909,2014-10-29,07:00:00,bef
2014-07-29 04:00:00,0.99,1.06,0.0761,2014-07-29,04:00:00,bef
2014-04-29 04:00:00,0.88,0.89,0.0167,2014-04-29,04:00:00,bef
2014-02-04 05:00:00,0.78,0.81,0.037700000000000004,2014-02-04,05:00:00,bef
2013-10-22 04:00:00,0.77,0.8,0.0351,2013-10-22,04:00:00,bef
2013-07-25 04:00:00,0.82,0.92,0.12789999999999999,2013-07-25,04:00:00,bef
2013-04-30 04:00:00,0.73,0.8,0.0934,2013-04-30,04:00:00,bef
2013-02-12 05:00:00,0.72,0.75,0.0417,2013-02-12,05:00:00,bef
2012-11-02 04:00:00,1.3,1.33,0.023100000000000002,2012-11-02,04:00:00,bef
2012-07-26 04:00:00,0.76,0.85,0.12140000000000001,2012-07-26,04:00:00,bef
2012-04-24 04:00:00,0.48,0.51,0.053099999999999994,2012-04-24,04:00:00,bef
2012-01-31 05:00:00,0.57,0.63,0.10800000000000001,2012-01-31,05:00:00,bef
2011-10-20 04:00:00,1.23,1.21,-0.0128,2011-10-20,04:00:00,bef
2011-07-28 04:00:00,0.66,0.68,0.0236,2011-07-28,04:00:00,bef
2011-04-26 04:00:00,0.37,0.39,0.046,2011-04-26,04:00:00,bef
2011-02-01 05:00:00,0.53,0.55,0.037700000000000004,2011-02-01,05:00:00,bef
2010-10-26 04:00:00,1.1,1.21,0.1,2010-10-26,04:00:00,bef
2010-07-23 04:00:00,0.61,0.61,0.0073,2010-07-23,04:00:00,bef
2010-04-27 04:00:00,0.25,0.33,0.3333,2010-04-27,04:00:00,bef
2010-01-26 05:00:00,0.4,0.51,0.2697,2010-01-26,05:00:00,bef
2009-10-26 04:00:00,1.05,1.07,0.019,2009-10-26,04:00:00,bef
2009-07-28 04:00:00,0.55,0.58,0.057800000000000004,2009-07-28,04:00:00,bef
2009-04-28 04:00:00,0.18,0.2,0.13210000000000002,2009-04-28,04:00:00,bef
2009-01-27 05:00:00,0.38,0.42,0.1011,2009-01-27,05:00:00,bef
2008-10-28 04:00:00,1.22,1.28,0.0492,2008-10-28,04:00:00,bef
2008-07-29 04:00:00,0.65,0.71,0.08750000000000001,2008-07-29,04:00:00,bef
2008-04-29 04:00:00,0.23,0.25,0.0664,2008-04-29,04:00:00,bef
2008-01-24 05:00:00,0.52,0.51,-0.013500000000000002,2008-01-24,05:00:00,bef
2007-10-18 04:00:00,1.24,1.34,0.0816,2007-10-18,04:00:00,bef
2007-07-24 04:00:00,0.73,0.79,0.0849,2007-07-24,04:00:00,bef
2007-04-24 04:00:00,0.31,0.37,0.20329999999999998,2007-04-24,04:00:00,bef
2006-10-19 04:00:00,1.0,1.09,0.0858,2006-10-19,04:00:00,bef
2006-07-25 04:00:00,0.52,0.6,0.1454,2006-07-25,04:00:00,bef
2006-04-25 04:00:00,0.22,0.24,0.0954,2006-04-25,04:00:00,bef
2006-01-25 05:00:00,0.56,0.57,0.0168,2006-01-25,05:00:00,bef
2005-10-20 04:00:00,0.96,0.99,0.0361,2005-10-20,04:00:00,bef
2005-07-26 04:00:00,0.47,0.51,0.084,2005-07-26,04:00:00,bef
2005-04-26 04:00:00,0.18,0.21,0.1659,2005-04-26,04:00:00,bef
2005-01-25 05:00:00,0.45,0.49,0.0809,2005-01-25,05:00:00,bef
2004-10-21 04:00:00,0.78,0.85,0.0808,2004-10-21,04:00:00,bef
2004-07-27 04:00:00,0.4,0.43,0.0629,2004-07-27,04:00:00,bef
2004-04-27 04:00:00,0.12,0.14,0.1815,2004-04-27,04:00:00,bef
2004-01-27 05:00:00,0.38,0.41,0.0909,2004-01-27,05:00:00,bef
2003-10-23 04:00:00,0.75,0.76,0.0095,2003-10-23,04:00:00,bef
2003-07-29 04:00:00,0.37,0.37,0.0068000000000000005,2003-07-29,04:00:00,bef
2003-04-29 04:00:00,0.1,0.1,0.032799999999999996,2003-04-29,04:00:00,bef
2003-01-28 05:00:00,0.33,0.35,0.031400000000000004,2003-01-28,05:00:00,bef
