Earnings Date,EPS Estimate,Reported EPS,Surprise(%),Date,Time,BefAft
2022-08-01 16:00:00,1.43,1.51,0.0559,2022-08-01,16:00:00,aft
2022-05-09 16:00:00,1.29,1.3,0.0054,2022-05-09,16:00:00,aft
2022-02-07 16:00:00,1.44,1.53,0.0625,2022-02-07,16:00:00,aft
2021-11-01 16:00:00,1.09,2.07,0.9043000000000001,2021-11-01,16:00:00,aft
2021-08-02 16:00:00,1.01,1.88,0.8688,2021-08-02,16:00:00,aft
2021-05-10 16:00:00,0.96,1.36,0.4108,2021-05-10,16:00:00,aft
2021-02-08 16:00:00,0.88,0.86,-0.0171,2021-02-08,16:00:00,aft
2020-11-09 16:00:00,0.9,0.48,-0.4678,2020-11-09,16:00:00,aft
2020-08-12 18:00:00,0.01,0.04,3.0,2020-08-12,18:00:00,aft
2020-08-10 16:00:00,0.98,0.83,-0.1496,2020-08-10,16:00:00,aft
2020-05-11 16:00:00,1.65,1.43,-0.13119999999999998,2020-05-11,16:00:00,aft
2020-05-04 08:00:00,-0.01,-0.05,-4.0,2020-05-04,08:00:00,bef
2020-03-25 09:00:00,0.02,0.04,1.6666999999999998,2020-03-25,09:00:00,bef
2020-02-04 07:00:00,1.56,1.66,0.0641,2020-02-04,07:00:00,bef
2019-11-12 18:00:00,0.05,0.07,0.4,2019-11-12,18:00:00,aft
2019-10-30 06:00:00,1.7,1.77,0.0442,2019-10-30,06:00:00,bef
2019-08-13 08:00:00,0.05,0.02,-0.5556,2019-08-13,08:00:00,bef
2019-07-31 06:00:00,1.65,1.6,-0.030299999999999997,2019-07-31,06:00:00,bef
2019-04-30 06:00:00,1.67,1.78,0.0659,2019-04-30,06:00:00,bef
2019-03-27 21:00:00,0.02,0.04,1.0,2019-03-27,21:00:00,aft
2019-02-01 06:00:00,1.9,2.3,0.21050000000000002,2019-02-01,06:00:00,bef
2018-10-25 06:00:00,1.73,1.8,0.0405,2018-10-25,06:00:00,bef
2018-07-30 07:00:00,1.64,1.77,0.07730000000000001,2018-07-30,07:00:00,bef
2018-04-27 06:00:00,1.52,2.0,0.31930000000000003,2018-04-27,06:00:00,bef
2018-01-31 07:00:00,1.77,1.84,0.0378,2018-01-31,07:00:00,bef
2017-10-27 08:00:00,1.63,1.65,0.011000000000000001,2017-10-27,08:00:00,bef
2017-08-01 08:00:00,1.24,1.23,-0.006500000000000001,2017-08-01,08:00:00,bef
2017-04-27 08:00:00,1.48,1.53,0.0345,2017-04-27,08:00:00,bef
2017-01-31 08:00:00,1.45,1.26,-0.131,2017-01-31,08:00:00,bef
2016-10-26 08:00:00,1.49,1.61,0.0776,2016-10-26,08:00:00,bef
2016-07-27 06:00:00,1.43,1.45,0.013300000000000001,2016-07-27,06:00:00,bef
2016-04-26 07:00:00,1.28,1.55,0.20809999999999998,2016-04-26,07:00:00,bef
2016-01-29 07:00:00,1.22,1.6,0.3115,2016-01-29,07:00:00,bef
2015-10-27 07:00:00,1.29,1.36,0.0534,2015-10-27,07:00:00,bef
2015-07-24 07:00:00,1.22,1.52,0.24180000000000001,2015-07-24,07:00:00,bef
2015-04-24 07:00:00,1.06,1.16,0.0974,2015-04-24,07:00:00,bef
2015-01-30 07:00:00,1.32,1.3,-0.0166,2015-01-30,07:00:00,bef
2014-10-22 06:00:00,0.83,0.81,-0.0229,2014-10-22,06:00:00,bef
2014-07-23 04:00:00,0.96,1.43,0.4894,2014-07-23,04:00:00,bef
2014-04-22 04:00:00,1.0,1.1,0.10470000000000002,2014-04-22,04:00:00,bef
2014-01-31 05:00:00,1.16,1.23,0.0643,2014-01-31,05:00:00,bef
2013-10-25 04:00:00,0.95,1.0,0.051,2013-10-25,04:00:00,bef
2013-07-29 04:00:00,0.88,1.1,0.2447,2013-07-29,04:00:00,bef
2013-04-26 04:00:00,0.77,0.91,0.1884,2013-04-26,04:00:00,bef
2013-02-04 05:00:00,1.08,1.01,-0.0665,2013-02-04,05:00:00,bef
2012-10-25 04:00:00,0.78,0.84,0.0723,2012-10-25,04:00:00,bef
2012-07-24 04:00:00,0.93,0.71,-0.2335,2012-07-24,04:00:00,bef
2012-04-27 04:00:00,0.84,2.18,1.6092,2012-04-27,04:00:00,bef
2012-02-03 05:00:00,0.9,1.24,0.37340000000000007,2012-02-03,05:00:00,bef
2011-10-25 04:00:00,0.68,0.93,0.3613,2011-10-25,04:00:00,bef
2011-07-26 04:00:00,0.61,0.7,0.1469,2011-07-26,04:00:00,bef
2011-04-29 04:00:00,0.54,0.61,0.12380000000000001,2011-04-29,04:00:00,bef
2011-02-04 05:00:00,0.77,0.74,-0.039900000000000005,2011-02-04,05:00:00,bef
2010-11-01 04:00:00,0.39,0.79,1.0085,2010-11-01,04:00:00,bef
2010-07-30 04:00:00,0.46,0.52,0.1366,2010-07-30,04:00:00,bef
2010-04-30 04:00:00,-0.22,0.03,1.1364,2010-04-30,04:00:00,bef
2010-02-05 05:00:00,0.46,0.32,-0.2998,2010-02-05,05:00:00,bef
2009-10-30 04:00:00,0.35,0.38,0.0842,2009-10-30,04:00:00,bef
2009-08-04 04:00:00,0.31,-0.08,-1.2544,2009-08-04,04:00:00,bef
2009-05-01 04:00:00,0.25,0.45,0.7815000000000001,2009-05-01,04:00:00,bef
2009-01-30 05:00:00,0.8,0.64,-0.2036,2009-01-30,05:00:00,bef
2008-11-03 05:00:00,0.46,0.5,0.0909,2008-11-03,05:00:00,bef
2008-07-28 04:00:00,0.39,0.34,-0.1169,2008-07-28,04:00:00,bef
2008-04-29 04:00:00,0.35,0.39,0.125,2008-04-29,04:00:00,bef
2008-02-01 05:00:00,0.61,0.6,-0.0204,2008-02-01,05:00:00,bef
2007-10-29 04:00:00,0.43,0.74,0.7077,2007-10-29,04:00:00,bef
2007-07-30 04:00:00,0.41,0.27,-0.34149999999999997,2007-07-30,04:00:00,bef
