Earnings Date,EPS Estimate,Reported EPS,Surprise(%),Date,Time,BefAft
2022-08-04 06:00:00,1.76,1.98,0.12560000000000002,2022-08-04,06:00:00,bef
2022-05-05 06:00:00,2.77,2.91,0.0517,2022-05-05,06:00:00,bef
2022-02-25 06:00:00,2.0,2.16,0.08,2022-02-25,06:00:00,bef
2021-11-05 06:00:00,1.7,1.7,-0.0012,2021-11-05,06:00:00,bef
2021-08-05 06:00:00,1.59,1.63,0.0258,2021-08-05,06:00:00,bef
2021-05-05 06:00:00,2.71,2.95,0.0898,2021-05-05,06:00:00,bef
2021-02-25 06:00:00,1.56,1.9,0.2187,2021-02-25,06:00:00,bef
2020-11-05 06:00:00,1.52,1.31,-0.1376,2020-11-05,06:00:00,bef
2020-08-05 06:00:00,1.5,1.65,0.1015,2020-08-05,06:00:00,bef
2020-05-04 06:00:00,2.26,3.08,0.36460000000000004,2020-05-04,06:00:00,bef
2020-02-27 06:00:00,1.48,1.55,0.04730000000000001,2020-02-27,06:00:00,bef
2019-11-01 06:00:00,1.47,1.5,0.021800000000000003,2019-11-01,06:00:00,bef
2019-08-02 06:00:00,1.16,1.1,-0.0525,2019-08-02,06:00:00,bef
2019-05-07 06:00:00,1.68,1.92,0.14220000000000002,2019-05-07,06:00:00,bef
2019-02-26 06:00:00,1.46,1.56,0.06849999999999999,2019-02-26,06:00:00,bef
2018-11-07 07:00:00,1.13,1.23,0.09140000000000001,2018-11-07,07:00:00,bef
2018-08-06 06:00:00,1.19,1.35,0.1373,2018-08-06,06:00:00,bef
2018-05-07 06:00:00,1.62,1.43,-0.1189,2018-05-07,06:00:00,bef
2018-02-27 06:00:00,1.41,1.54,0.09140000000000001,2018-02-27,06:00:00,bef
2017-10-30 07:00:00,1.05,1.04,-0.0123,2017-10-30,07:00:00,bef
2017-08-04 08:00:00,0.86,1.1,0.2806,2017-08-04,08:00:00,bef
2017-05-09 11:00:00,1.67,1.74,0.0432,2017-05-09,11:00:00,bef
2017-02-28 08:00:00,1.49,1.52,0.0236,2017-02-28,08:00:00,bef
2016-11-02 08:00:00,0.96,1.02,0.0658,2016-11-02,08:00:00,bef
2016-08-04 08:00:00,0.97,0.79,-0.1864,2016-08-04,08:00:00,bef
2016-05-04 08:00:00,1.66,1.47,-0.1134,2016-05-04,08:00:00,bef
2016-02-26 09:00:00,1.32,1.47,0.1162,2016-02-26,09:00:00,bef
2015-11-03 09:00:00,0.88,1.0,0.1338,2015-11-03,09:00:00,bef
2015-08-04 09:00:00,1.0,1.03,0.0279,2015-08-04,09:00:00,bef
2015-05-05 09:00:00,1.38,1.71,0.24,2015-05-05,09:00:00,bef
2015-02-26 09:00:00,1.08,1.23,0.13470000000000001,2015-02-26,09:00:00,bef
2014-11-04 09:00:00,1.24,1.39,0.1219,2014-11-04,09:00:00,bef
2014-08-07 04:00:00,1.13,1.08,-0.0429,2014-08-07,04:00:00,bef
2014-05-02 04:00:00,0.95,1.03,0.0795,2014-05-02,04:00:00,bef
2014-02-27 05:00:00,0.98,1.13,0.1585,2014-02-27,05:00:00,bef
2013-11-05 05:00:00,1.22,1.19,-0.0227,2013-11-05,05:00:00,bef
2013-08-06 04:00:00,1.31,1.04,-0.2053,2013-08-06,04:00:00,bef
2013-05-02 04:00:00,1.01,0.83,-0.1764,2013-05-02,04:00:00,bef
2013-02-26 05:00:00,0.96,1.08,0.12630000000000002,2013-02-26,05:00:00,bef
2012-11-06 05:00:00,1.0,1.33,0.3283,2012-11-06,05:00:00,bef
2012-08-02 04:00:00,0.81,0.79,-0.028700000000000003,2012-08-02,04:00:00,bef
2012-05-03 04:00:00,0.98,0.97,-0.0116,2012-05-03,04:00:00,bef
2012-02-28 05:00:00,1.06,1.21,0.1379,2012-02-28,05:00:00,bef
2011-11-03 04:00:00,1.2,1.22,0.0167,2011-11-03,04:00:00,bef
2011-08-09 04:00:00,0.99,0.97,-0.0202,2011-08-09,04:00:00,bef
2011-05-09 04:00:00,0.99,1.07,0.079,2011-05-09,04:00:00,bef
2011-02-24 05:00:00,0.94,1.18,0.2607,2011-02-24,05:00:00,bef
2010-08-03 04:00:00,0.82,0.89,0.08539999999999999,2010-08-03,04:00:00,bef
2010-05-04 04:00:00,0.77,0.81,0.05740000000000001,2010-05-04,04:00:00,bef
2010-02-25 05:00:00,1.1,1.16,0.057300000000000004,2010-02-25,05:00:00,bef
2009-11-09 05:00:00,1.19,1.27,0.0717,2009-11-09,05:00:00,bef
2009-07-31 04:00:00,0.97,0.8,-0.17440000000000003,2009-07-31,04:00:00,bef
2009-05-05 04:00:00,1.02,1.29,0.2675,2009-05-05,04:00:00,bef
2009-02-24 05:00:00,0.91,1.3,0.4216,2009-02-24,05:00:00,bef
2008-11-10 05:00:00,1.06,1.24,0.1723,2008-11-10,05:00:00,bef
2008-08-07 04:00:00,0.91,0.98,0.0758,2008-08-07,04:00:00,bef
2008-05-02 04:00:00,0.89,0.92,0.039,2008-05-02,04:00:00,bef
2008-02-26 05:00:00,1.04,1.1,0.053099999999999994,2008-02-26,05:00:00,bef
2007-11-01 04:00:00,1.03,1.24,0.2052,2007-11-01,04:00:00,bef
2007-08-02 04:00:00,0.83,1.06,0.2733,2007-08-02,04:00:00,bef
2007-05-02 04:00:00,0.94,0.86,-0.08289999999999999,2007-05-02,04:00:00,bef
2007-02-22 05:00:00,1.2,1.42,0.17920000000000003,2007-02-22,05:00:00,bef
2006-11-02 05:00:00,0.96,1.27,0.31829999999999997,2006-11-02,05:00:00,bef
2006-08-03 04:00:00,0.64,0.63,-0.0105,2006-08-03,04:00:00,bef
2006-05-02 04:00:00,0.86,0.91,0.0592,2006-05-02,04:00:00,bef
2006-02-22 05:00:00,1.25,1.69,0.35740000000000005,2006-02-22,05:00:00,bef
2005-11-02 05:00:00,1.01,1.07,0.0643,2005-11-02,05:00:00,bef
2005-08-02 04:00:00,0.69,0.49,-0.2887,2005-08-02,04:00:00,bef
2005-05-04 04:00:00,0.88,0.92,0.042800000000000005,2005-05-04,04:00:00,bef
2005-02-23 05:00:00,1.36,1.43,0.05280000000000001,2005-02-23,05:00:00,bef
2004-11-04 05:00:00,0.81,0.94,0.1677,2004-11-04,05:00:00,bef
2004-08-05 04:00:00,0.65,0.55,-0.1582,2004-08-05,04:00:00,bef
2004-04-29 04:00:00,0.7,0.96,0.3658,2004-04-29,04:00:00,bef
2004-02-24 05:00:00,0.57,0.7,0.2189,2004-02-24,05:00:00,bef
2003-11-06 05:00:00,0.92,1.09,0.18480000000000002,2003-11-06,05:00:00,bef
2003-08-07 04:00:00,0.6,0.55,-0.0902,2003-08-07,04:00:00,bef
2003-05-01 04:00:00,0.68,0.56,-0.1777,2003-05-01,04:00:00,bef
2003-02-20 05:00:00,0.53,0.65,0.23420000000000002,2003-02-20,05:00:00,bef
2002-10-22 04:00:00,0.62,0.73,0.17739999999999997,2002-10-22,04:00:00,bef
2002-07-23 04:00:00,0.63,0.59,-0.0602,2002-07-23,04:00:00,bef
2002-04-23 04:00:00,0.65,0.71,0.09609999999999999,2002-04-23,04:00:00,bef
2002-01-24 05:00:00,0.5,0.52,0.047,2002-01-24,05:00:00,bef
2001-10-25 04:00:00,0.6,0.58,-0.0301,2001-10-25,04:00:00,bef
2001-07-26 04:00:00,0.64,0.66,0.0296,2001-07-26,04:00:00,bef
2001-04-26 04:00:00,0.58,0.78,0.3423,2001-04-26,04:00:00,bef
2001-01-25 05:00:00,0.46,0.47,0.0123,2001-01-25,05:00:00,bef
2000-10-26 04:00:00,0.5,0.7,0.4,2000-10-26,04:00:00,bef
2000-07-27 04:00:00,0.55,0.55,-0.0023,2000-07-27,04:00:00,bef
2000-04-27 04:00:00,0.45,0.49,0.08199999999999999,2000-04-27,04:00:00,bef
2000-01-26 05:00:00,0.43,0.44,0.0353,2000-01-26,05:00:00,bef
1999-10-28 04:00:00,0.45,0.45,0.0028000000000000004,1999-10-28,04:00:00,bef
1999-07-28 04:00:00,0.42,0.4,-0.04190000000000001,1999-07-28,04:00:00,bef
1999-04-28 04:00:00,0.4,0.42,0.05,1999-04-28,04:00:00,bef
1999-01-27 05:00:00,0.42,0.37,-0.11480000000000001,1999-01-27,05:00:00,bef
1998-10-28 05:00:00,0.42,0.4,-0.0361,1998-10-28,05:00:00,bef
1998-07-23 04:00:00,0.44,0.45,0.0227,1998-07-23,04:00:00,bef
1998-04-28 04:00:00,0.41,0.45,0.0976,1998-04-28,04:00:00,bef
1998-01-27 05:00:00,0.58,0.72,0.2361,1998-01-27,05:00:00,bef
1997-10-28 05:00:00,0.61,0.57,-0.0717,1997-10-28,05:00:00,bef
1997-07-29 04:00:00,0.43,0.5,0.17370000000000002,1997-07-29,04:00:00,bef
1997-04-22 04:00:00,0.44,0.42,-0.0541,1997-04-22,04:00:00,bef
1997-01-27 05:00:00,0.46,0.47,0.0217,1997-01-27,05:00:00,bef
1996-10-21 04:00:00,0.52,0.54,0.0319,1996-10-21,04:00:00,bef
1996-07-23 04:00:00,0.41,0.41,-0.0061,1996-07-23,04:00:00,bef
1996-04-23 04:00:00,0.53,0.57,0.08230000000000001,1996-04-23,04:00:00,bef
1996-01-22 05:00:00,0.5,0.45,-0.1,1996-01-22,05:00:00,bef
1995-10-23 04:00:00,0.52,0.51,-0.014499999999999999,1995-10-23,04:00:00,bef
1995-07-24 04:00:00,0.4,0.41,0.038,1995-07-24,04:00:00,bef
1995-04-25 04:00:00,0.51,0.51,0.0039000000000000003,1995-04-25,04:00:00,bef
1995-01-24 05:00:00,0.5,0.47,-0.06,1995-01-24,05:00:00,bef
1994-10-24 04:00:00,0.5,0.5,0.0087,1994-10-24,04:00:00,bef
1994-07-25 04:00:00,0.37,0.38,0.0326,1994-07-25,04:00:00,bef
1994-04-26 04:00:00,0.49,0.5,0.013500000000000002,1994-04-26,04:00:00,bef
1994-01-25 05:00:00,0.48,0.47,-0.020800000000000003,1994-01-25,05:00:00,bef
1993-10-25 04:00:00,0.47,0.49,0.05,1993-10-25,04:00:00,bef
1993-07-28 04:00:00,0.36,0.36,0.0141,1993-07-28,04:00:00,bef
1993-04-27 04:00:00,0.47,0.49,0.037000000000000005,1993-04-27,04:00:00,bef
1993-01-26 05:00:00,0.49,0.51,0.0408,1993-01-26,05:00:00,bef
