Earnings Date,EPS Estimate,Reported EPS,Surprise(%),Date,Time,BefAft
2022-07-18 06:00:00,1.43,1.6,0.122,2022-07-18,06:00:00,bef
2022-04-18 06:00:00,1.54,1.77,0.15080000000000002,2022-04-18,06:00:00,bef
2022-01-28 06:00:00,1.49,1.48,-0.0034000000000000002,2022-01-28,06:00:00,bef
2021-10-19 06:00:00,1.51,2.0,0.3236,2021-10-19,06:00:00,bef
2021-07-20 06:00:00,1.43,2.12,0.47840000000000005,2021-07-20,06:00:00,bef
2021-04-27 06:00:00,1.38,1.73,0.2527,2021-04-27,06:00:00,bef
2021-01-29 06:00:00,0.91,1.24,0.36710000000000004,2021-01-29,06:00:00,bef
2020-10-20 06:00:00,0.72,0.63,-0.1226,2020-10-20,06:00:00,bef
2020-07-21 06:00:00,0.15,0.06,-0.5946,2020-07-21,06:00:00,bef
2020-04-21 06:00:00,-0.1,0.45,5.4117999999999995,2020-04-21,06:00:00,bef
2020-01-24 06:00:00,1.08,1.1,0.0233,2020-01-24,06:00:00,bef
2019-10-18 06:00:00,1.13,1.22,0.0835,2019-10-18,06:00:00,bef
2019-07-19 06:00:00,0.95,0.97,0.0211,2019-07-19,06:00:00,bef
2019-04-18 06:00:00,0.93,1.0,0.073,2019-04-18,06:00:00,bef
2019-01-23 06:00:00,0.93,1.09,0.17579999999999998,2019-01-23,06:00:00,bef
2018-10-19 06:00:00,0.8,0.91,0.1418,2018-10-19,06:00:00,bef
2018-07-27 06:00:00,0.82,0.92,0.1247,2018-07-27,06:00:00,bef
2018-04-20 06:00:00,0.75,0.83,0.1126,2018-04-20,06:00:00,bef
2018-01-19 07:00:00,0.63,0.7,0.1076,2018-01-19,07:00:00,bef
2017-10-20 06:00:00,0.64,0.7,0.09029999999999999,2017-10-20,06:00:00,bef
2017-07-21 06:00:00,0.57,0.61,0.0664,2017-07-21,06:00:00,bef
2017-04-28 06:00:00,0.73,0.61,-0.1678,2017-04-28,06:00:00,bef
2017-01-20 06:00:00,0.67,0.7,0.0479,2017-01-20,06:00:00,bef
2016-10-21 06:00:00,0.67,0.73,0.08960000000000001,2016-10-21,06:00:00,bef
2016-07-22 06:00:00,0.54,0.58,0.06620000000000001,2016-07-22,06:00:00,bef
2016-04-22 06:00:00,0.69,0.7,0.0204,2016-04-22,06:00:00,bef
2016-01-22 06:00:00,0.63,0.65,0.0285,2016-01-22,06:00:00,bef
2015-10-16 09:00:00,0.66,0.69,0.042300000000000004,2015-10-16,09:00:00,bef
2015-07-17 09:00:00,0.61,0.65,0.0604,2015-07-17,09:00:00,bef
2015-04-17 09:00:00,0.64,0.66,0.037700000000000004,2015-04-17,09:00:00,bef
2015-01-23 09:00:00,0.6,0.64,0.061399999999999996,2015-01-23,09:00:00,bef
2014-10-17 17:00:00,0.67,0.7,0.0479,2014-10-17,17:00:00,aft
