Earnings Date,EPS Estimate,Reported EPS,Surprise(%),Date,Time,BefAft
2022-07-19 05:00:00,1.16,1.2,0.039,2022-07-19,05:00:00,bef
2022-04-19 05:00:00,1.1,1.23,0.1162,2022-04-19,05:00:00,bef
2022-01-18 05:00:00,1.26,1.38,0.09609999999999999,2022-01-18,05:00:00,bef
2021-10-15 05:00:00,1.21,1.42,0.1765,2021-10-15,05:00:00,bef
2021-07-15 05:00:00,1.19,1.55,0.308,2021-07-15,05:00:00,bef
2021-04-15 05:00:00,1.11,1.18,0.0592,2021-04-15,05:00:00,bef
2021-01-21 05:00:00,0.97,1.18,0.2115,2021-01-21,05:00:00,bef
2020-10-15 05:00:00,0.89,0.97,0.085,2020-10-15,05:00:00,bef
2020-07-16 05:00:00,0.72,0.82,0.1389,2020-07-16,05:00:00,bef
2020-04-20 05:00:00,0.67,0.83,0.23510000000000003,2020-04-20,05:00:00,bef
2020-01-30 05:00:00,1.03,1.04,0.0078000000000000005,2020-01-30,05:00:00,bef
2019-10-17 05:00:00,1.03,0.95,-0.0759,2019-10-17,05:00:00,bef
2019-07-18 05:00:00,1.07,1.09,0.0168,2019-07-18,05:00:00,bef
2019-04-18 05:00:00,1.03,0.97,-0.0564,2019-04-18,05:00:00,bef
2019-01-17 05:00:00,1.04,0.97,-0.06910000000000001,2019-01-17,05:00:00,bef
2018-10-18 05:00:00,1.0,1.01,0.012,2018-10-18,05:00:00,bef
2018-07-19 05:00:00,1.0,0.99,-0.0149,2018-07-19,05:00:00,bef
2018-04-19 05:00:00,0.92,0.94,0.0173,2018-04-19,05:00:00,bef
2018-01-18 05:00:00,0.79,0.83,0.0506,2018-01-18,05:00:00,bef
2017-10-19 05:00:00,0.78,0.74,-0.047599999999999996,2017-10-19,05:00:00,bef
2017-07-20 05:00:00,0.77,0.77,0.006500000000000001,2017-07-20,05:00:00,bef
2017-04-20 05:00:00,0.73,0.46,-0.369,2017-04-20,05:00:00,bef
2017-01-19 05:00:00,0.73,0.72,-0.0177,2017-01-19,05:00:00,bef
2016-10-19 05:00:00,0.7,0.73,0.0414,2016-10-19,05:00:00,bef
2016-07-21 05:00:00,0.65,0.66,0.0138,2016-07-21,05:00:00,bef
2016-04-21 05:00:00,0.64,0.67,0.04360000000000001,2016-04-21,05:00:00,bef
2016-01-21 05:00:00,0.69,0.64,-0.07110000000000001,2016-01-21,05:00:00,bef
2015-10-15 05:00:00,0.67,0.64,-0.039,2015-10-15,05:00:00,bef
2015-07-16 05:00:00,0.69,0.62,-0.0975,2015-07-16,05:00:00,bef
2015-04-23 05:00:00,0.7,0.67,-0.0374,2015-04-23,05:00:00,bef
2015-01-22 05:00:00,0.73,0.75,0.027400000000000004,2015-01-22,05:00:00,bef
2014-10-16 05:00:00,0.71,0.71,-0.005600000000000001,2014-10-16,05:00:00,bef
2014-07-21 04:00:00,0.74,0.7,-0.0584,2014-07-21,04:00:00,bef
2014-04-17 04:00:00,0.7,0.69,-0.0138,2014-04-17,04:00:00,bef
2014-01-16 05:00:00,0.71,0.72,0.0076,2014-01-16,05:00:00,bef
2013-10-17 04:00:00,0.7,0.7,-0.0007000000000000001,2013-10-17,04:00:00,bef
2013-07-18 04:00:00,0.74,0.77,0.0421,2013-07-18,04:00:00,bef
2013-04-18 04:00:00,0.68,0.69,0.0074,2013-04-18,04:00:00,bef
2013-01-17 05:00:00,0.7,0.71,0.01,2013-01-17,05:00:00,bef
2012-10-18 04:00:00,0.71,0.7,-0.01,2012-10-18,04:00:00,bef
2012-07-19 04:00:00,0.69,0.72,0.0364,2012-07-19,04:00:00,bef
2012-04-19 04:00:00,0.59,0.61,0.0418,2012-04-19,04:00:00,bef
2012-01-19 05:00:00,0.53,0.55,0.0437,2012-01-19,05:00:00,bef
2011-10-20 04:00:00,0.5,0.52,0.047599999999999996,2011-10-20,04:00:00,bef
2011-07-21 04:00:00,0.43,0.44,0.0236,2011-07-21,04:00:00,bef
2011-04-21 04:00:00,0.31,0.32,0.0396,2011-04-21,04:00:00,bef
2011-01-21 05:00:00,0.26,0.3,0.17300000000000001,2011-01-21,05:00:00,bef
2010-10-21 04:00:00,0.26,0.3,0.1352,2010-10-21,04:00:00,bef
2010-07-22 04:00:00,0.34,0.3,-0.11,2010-07-22,04:00:00,bef
2010-04-22 04:00:00,0.23,0.27,0.166,2010-04-22,04:00:00,bef
2010-01-22 05:00:00,0.21,0.27,0.2857,2010-01-22,05:00:00,bef
2009-10-19 04:00:00,0.22,0.23,0.04730000000000001,2009-10-19,04:00:00,bef
2009-07-17 04:00:00,0.2,0.2,-0.005200000000000001,2009-07-17,04:00:00,bef
2009-04-17 04:00:00,0.31,0.48,0.5273,2009-04-17,04:00:00,bef
2009-01-22 05:00:00,0.47,0.44,-0.06480000000000001,2009-01-22,05:00:00,bef
2008-10-16 04:00:00,0.64,0.64,-0.0070999999999999995,2008-10-16,04:00:00,bef
2008-07-17 04:00:00,0.68,0.69,0.0102,2008-07-17,04:00:00,bef
2008-04-17 04:00:00,0.73,0.73,0.0006,2008-04-17,04:00:00,bef
2008-01-17 05:00:00,0.78,0.75,-0.039900000000000005,2008-01-17,05:00:00,bef
2007-10-18 04:00:00,0.84,0.81,-0.0376,2007-10-18,04:00:00,bef
2007-07-19 04:00:00,0.83,0.83,-0.0005,2007-07-19,04:00:00,bef
2007-04-19 04:00:00,0.78,0.78,0.006500000000000001,2007-04-19,04:00:00,bef
2007-01-18 05:00:00,0.77,0.81,0.0471,2007-01-18,05:00:00,bef
2006-10-19 04:00:00,0.81,0.8,-0.0152,2006-10-19,04:00:00,bef
2006-07-20 04:00:00,0.8,0.79,-0.0138,2006-07-20,04:00:00,bef
2006-04-20 04:00:00,0.76,0.8,0.053099999999999994,2006-04-20,04:00:00,bef
2006-01-19 05:00:00,0.8,0.78,-0.0282,2006-01-19,05:00:00,bef
2005-10-14 04:00:00,0.77,0.8,0.0386,2005-10-14,04:00:00,bef
2005-07-13 04:00:00,0.75,0.75,0.0058,2005-07-13,04:00:00,bef
2005-04-13 04:00:00,0.75,0.71,-0.0521,2005-04-13,04:00:00,bef
2005-01-14 05:00:00,0.76,0.75,-0.0108,2005-01-14,05:00:00,bef
2004-10-14 04:00:00,0.73,0.74,0.02,2004-10-14,04:00:00,bef
2004-07-13 04:00:00,0.68,0.72,0.0604,2004-07-13,04:00:00,bef
2004-04-13 04:00:00,0.63,0.61,-0.028700000000000003,2004-04-13,04:00:00,bef
2004-01-13 05:00:00,0.69,0.69,-0.0029,2004-01-13,05:00:00,bef
2003-10-14 04:00:00,0.68,0.68,-0.0029,2003-10-14,04:00:00,bef
2003-07-14 04:00:00,0.71,0.71,-0.0014000000000000002,2003-07-14,04:00:00,bef
2003-04-14 04:00:00,0.71,0.7,-0.0182,2003-04-14,04:00:00,bef
2003-01-13 05:00:00,0.71,0.72,0.0141,2003-01-13,05:00:00,bef
