Earnings Date,EPS Estimate,Reported EPS,Surprise(%),Date,Time,BefAft
2022-07-21 07:00:00,3.51,3.53,0.006600000000000001,2022-07-21,07:00:00,bef
2022-04-21 06:00:00,1.42,1.65,0.1661,2022-04-21,06:00:00,bef
2022-01-27 06:00:00,1.85,1.93,0.0432,2022-01-27,06:00:00,bef
2021-10-21 07:00:00,1.66,1.95,0.1761,2021-10-21,07:00:00,bef
2021-07-19 07:00:00,2.96,3.19,0.0792,2021-07-19,07:00:00,bef
2021-04-22 06:00:00,0.97,1.55,0.6062,2021-04-22,06:00:00,bef
2021-01-28 06:00:00,1.51,1.64,0.08320000000000001,2021-01-28,06:00:00,bef
2020-10-22 06:00:00,1.38,1.62,0.1739,2020-10-22,06:00:00,bef
2020-07-23 06:00:00,2.52,2.9,0.15130000000000002,2020-07-23,06:00:00,bef
2020-04-23 07:00:00,0.7,0.71,0.0201,2020-04-23,07:00:00,bef
2020-01-30 08:00:00,1.23,1.21,-0.0179,2020-01-30,08:00:00,bef
2019-10-24 08:00:00,1.03,1.02,-0.010700000000000001,2019-10-24,08:00:00,bef
2019-07-25 08:00:00,1.8,1.8,-0.0022,2019-07-25,08:00:00,bef
2019-04-25 08:00:00,0.55,0.63,0.1392,2019-04-25,08:00:00,bef
2019-01-31 08:00:00,1.09,1.11,0.0221,2019-01-31,08:00:00,bef
2018-10-25 08:00:00,0.87,0.95,0.0907,2018-10-25,08:00:00,bef
2018-07-26 08:00:00,1.61,1.69,0.0516,2018-07-26,08:00:00,bef
2018-04-26 08:00:00,0.57,0.57,-0.0034999999999999996,2018-04-26,08:00:00,bef
2018-01-31 16:00:00,0.87,0.91,0.044800000000000006,2018-01-31,16:00:00,aft
2017-10-25 16:00:00,0.68,0.72,0.0588,2017-10-25,16:00:00,aft
2017-07-26 16:00:00,1.27,1.25,-0.0134,2017-07-26,16:00:00,aft
2017-04-26 16:00:00,0.46,0.46,0.0044,2017-04-26,16:00:00,aft
2017-02-01 16:00:00,0.92,0.94,0.0273,2017-02-01,16:00:00,aft
2016-10-19 16:00:00,0.66,0.67,0.0167,2016-10-19,16:00:00,aft
