Earnings Date,EPS Estimate,Reported EPS,Surprise(%),Date,Time,BefAft
2022-07-28 06:00:00,0.88,1.0,0.1325,2022-07-28,06:00:00,bef
2022-04-28 06:00:00,0.73,0.88,0.2022,2022-04-28,06:00:00,bef
2022-01-27 06:00:00,0.95,0.94,-0.0147,2022-01-27,06:00:00,bef
2021-10-28 06:00:00,0.78,0.85,0.0954,2021-10-28,06:00:00,bef
2021-07-29 06:00:00,0.65,0.81,0.2404,2021-07-29,06:00:00,bef
2021-04-29 06:00:00,0.47,0.7,0.49570000000000003,2021-04-29,06:00:00,bef
2021-01-27 06:00:00,0.91,1.06,0.1636,2021-01-27,06:00:00,bef
2020-10-29 06:00:00,0.36,0.53,0.493,2020-10-29,06:00:00,bef
2020-07-30 06:00:00,-0.08,0.13,2.7105,2020-07-30,06:00:00,bef
2020-04-30 06:00:00,0.47,0.35,-0.2569,2020-04-30,06:00:00,bef
2020-01-29 06:00:00,1.09,1.11,0.0202,2020-01-29,06:00:00,bef
2019-10-17 06:00:00,0.85,0.95,0.1137,2019-10-17,06:00:00,bef
2019-07-17 06:00:00,0.86,0.93,0.08140000000000001,2019-07-17,06:00:00,bef
2019-04-17 06:00:00,0.68,0.76,0.1144,2019-04-17,06:00:00,bef
2019-01-24 06:00:00,0.98,1.15,0.1711,2019-01-24,06:00:00,bef
2018-10-18 06:00:00,0.76,0.61,-0.19530000000000003,2018-10-18,06:00:00,bef
2018-07-18 06:00:00,0.7,0.87,0.2482,2018-07-18,06:00:00,bef
2018-04-18 06:00:00,0.48,0.72,0.4876,2018-04-18,06:00:00,bef
2018-01-31 06:00:00,0.77,0.74,-0.0365,2018-01-31,06:00:00,bef
2017-10-19 06:00:00,0.62,0.65,0.045,2017-10-19,06:00:00,bef
2017-07-19 06:00:00,0.55,0.6,0.0989,2017-07-19,06:00:00,bef
2017-04-19 06:00:00,0.45,0.46,0.0245,2017-04-19,06:00:00,bef
2017-01-25 06:00:00,0.87,0.8,-0.0751,2017-01-25,06:00:00,bef
2016-10-20 06:00:00,1.06,0.61,-0.42619999999999997,2016-10-20,06:00:00,bef
2016-07-22 06:00:00,0.64,0.66,0.0345,2016-07-22,06:00:00,bef
2016-04-20 06:00:00,0.53,0.55,0.047599999999999996,2016-04-20,06:00:00,bef
2016-01-27 06:00:00,0.83,0.81,-0.0229,2016-01-27,06:00:00,bef
2015-10-27 06:00:00,0.61,0.63,0.0379,2015-10-27,06:00:00,bef
2015-07-28 06:00:00,0.59,0.6,0.0187,2015-07-28,06:00:00,bef
2015-04-28 06:00:00,0.48,0.46,-0.039700000000000006,2015-04-28,06:00:00,bef
2015-01-28 06:00:00,0.76,0.76,0.0053,2015-01-28,06:00:00,bef
2014-10-17 06:00:00,0.52,0.57,0.0983,2014-10-17,06:00:00,bef
2014-07-16 04:00:00,0.46,0.51,0.0976,2014-07-16,04:00:00,bef
2014-05-01 04:00:00,0.39,0.36,-0.0877,2014-05-01,04:00:00,bef
2014-01-22 05:00:00,0.59,0.6,0.0215,2014-01-22,05:00:00,bef
2013-10-18 04:00:00,0.47,0.35,-0.2582,2013-10-18,04:00:00,bef
2013-07-17 04:00:00,0.38,0.4,0.06559999999999999,2013-07-17,04:00:00,bef
2013-04-17 04:00:00,0.45,0.4,-0.1144,2013-04-17,04:00:00,bef
2013-01-23 05:00:00,0.55,0.5,-0.09230000000000001,2013-01-23,05:00:00,bef
2012-10-17 04:00:00,0.51,0.48,-0.061500000000000006,2012-10-17,04:00:00,bef
2012-07-19 04:00:00,0.44,0.58,0.3222,2012-07-19,04:00:00,bef
2012-04-18 04:00:00,0.35,0.41,0.1714,2012-04-18,04:00:00,bef
2012-01-25 05:00:00,0.34,0.49,0.4412,2012-01-25,05:00:00,bef
2011-10-19 04:00:00,0.31,0.45,0.4483,2011-10-19,04:00:00,bef
2011-07-20 04:00:00,0.24,0.29,0.20120000000000002,2011-07-20,04:00:00,bef
2011-04-20 04:00:00,0.17,0.1,-0.4118,2011-04-20,04:00:00,bef
2011-01-26 05:00:00,0.25,0.33,0.3079,2011-01-26,05:00:00,bef
2010-10-20 04:00:00,0.08,0.13,0.6456000000000001,2010-10-20,04:00:00,bef
