Earnings Date,EPS Estimate,Reported EPS,Surprise(%),Date,Time,BefAft
2022-07-26 06:00:00,3.16,3.29,0.0421,2022-07-26,06:00:00,bef
2022-04-26 06:00:00,2.88,3.05,0.0576,2022-04-26,06:00:00,bef
2022-02-01 06:00:00,3.1,3.59,0.1573,2022-02-01,06:00:00,bef
2021-10-26 06:00:00,2.55,2.71,0.06480000000000001,2021-10-26,06:00:00,bef
2021-07-27 06:00:00,2.82,3.06,0.0851,2021-07-27,06:00:00,bef
2021-04-27 06:00:00,1.72,2.77,0.6086,2021-04-27,06:00:00,bef
2021-02-02 06:00:00,2.14,2.66,0.2407,2021-02-02,06:00:00,bef
2020-10-28 06:00:00,1.9,2.28,0.2,2020-10-28,06:00:00,bef
2020-07-30 06:00:00,1.07,2.13,0.9869,2020-07-30,06:00:00,bef
2020-04-28 07:00:00,1.23,1.15,-0.065,2020-04-28,07:00:00,bef
2020-01-30 07:00:00,2.11,2.11,0.0014000000000000002,2020-01-30,07:00:00,bef
2019-10-22 07:00:00,2.06,2.07,0.0063,2019-10-22,07:00:00,bef
2019-07-24 07:00:00,1.93,1.96,0.0182,2019-07-24,07:00:00,bef
2019-04-25 07:00:00,1.42,1.39,-0.0177,2019-04-25,07:00:00,bef
2019-01-31 07:00:00,1.9,1.94,0.020499999999999997,2019-01-31,07:00:00,bef
2018-10-24 07:00:00,1.82,1.82,0.0017000000000000001,2018-10-24,07:00:00,bef
2018-07-25 07:00:00,1.93,1.94,0.0062,2018-07-25,07:00:00,bef
2018-04-26 07:00:00,1.54,1.55,0.005200000000000001,2018-04-26,07:00:00,bef
2018-02-01 07:00:00,1.66,1.67,0.0042,2018-02-01,07:00:00,bef
2017-10-26 07:00:00,1.45,1.45,0.0014000000000000002,2017-10-26,07:00:00,bef
2017-07-27 07:00:00,1.47,1.58,0.0763,2017-07-27,07:00:00,bef
2017-04-27 07:00:00,1.29,1.32,0.0248,2017-04-27,07:00:00,bef
2017-01-31 07:00:00,1.69,1.63,-0.0355,2017-01-31,07:00:00,bef
2016-07-29 07:00:00,1.43,1.43,0.0021,2016-07-29,07:00:00,bef
2016-04-28 07:00:00,1.22,1.27,0.042699999999999995,2016-04-28,07:00:00,bef
2016-02-02 07:00:00,1.42,1.57,0.1072,2016-02-02,07:00:00,bef
2015-10-27 07:00:00,1.37,1.39,0.015300000000000001,2015-10-27,07:00:00,bef
2015-07-28 07:00:00,1.26,1.35,0.0672,2015-07-28,07:00:00,bef
2015-04-28 07:00:00,1.09,1.12,0.0313,2015-04-28,07:00:00,bef
2014-10-24 08:00:00,1.28,1.32,0.027999999999999997,2014-10-24,08:00:00,bef
2014-07-29 04:00:00,1.25,1.21,-0.0296,2014-07-29,04:00:00,bef
2014-04-24 04:00:00,1.08,0.98,-0.0908,2014-04-24,04:00:00,bef
2014-01-30 05:00:00,1.25,1.25,0.0006,2014-01-30,05:00:00,bef
2013-10-25 04:00:00,1.15,1.16,0.0097,2013-10-25,04:00:00,bef
2013-07-23 04:00:00,1.13,1.13,0.0003,2013-07-23,04:00:00,bef
2013-04-25 04:00:00,1.01,1.04,0.0326,2013-04-25,04:00:00,bef
2013-01-31 05:00:00,1.38,1.32,-0.0415,2013-01-31,05:00:00,bef
2012-10-23 04:00:00,1.06,1.06,0.0002,2012-10-23,04:00:00,bef
2012-07-24 04:00:00,1.17,1.15,-0.0188,2012-07-24,04:00:00,bef
2012-04-26 04:00:00,1.02,1.0,-0.0154,2012-04-26,04:00:00,bef
2012-01-31 05:00:00,1.26,1.28,0.012700000000000001,2012-01-31,05:00:00,bef
2011-10-25 04:00:00,1.05,1.06,0.0076,2011-10-25,04:00:00,bef
2011-07-26 04:00:00,1.04,1.05,0.0059,2011-07-26,04:00:00,bef
2011-04-26 04:00:00,0.85,0.88,0.041100000000000005,2011-04-26,04:00:00,bef
2011-02-01 05:00:00,1.05,1.08,0.0263,2011-02-01,05:00:00,bef
2010-10-21 04:00:00,0.88,0.93,0.0555,2010-10-21,04:00:00,bef
2010-07-22 04:00:00,0.77,0.84,0.0929,2010-07-22,04:00:00,bef
2010-04-27 04:00:00,0.58,0.71,0.2302,2010-04-27,04:00:00,bef
2010-02-02 05:00:00,0.74,0.75,0.0203,2010-02-02,05:00:00,bef
2009-10-22 04:00:00,0.52,0.55,0.0618,2009-10-22,04:00:00,bef
2009-07-23 04:00:00,0.49,0.49,0.0088,2009-07-23,04:00:00,bef
2009-04-23 04:00:00,0.56,0.52,-0.0748,2009-04-23,04:00:00,bef
2009-02-03 05:00:00,0.85,0.83,-0.025,2009-02-03,05:00:00,bef
2008-10-23 04:00:00,0.89,0.96,0.0787,2008-10-23,04:00:00,bef
2008-07-22 04:00:00,0.85,0.85,0.0042,2008-07-22,04:00:00,bef
2008-04-23 04:00:00,0.87,0.87,0.0058,2008-04-23,04:00:00,bef
2008-01-30 05:00:00,1.13,1.13,0.0044,2008-01-30,05:00:00,bef
2007-10-23 04:00:00,1.02,1.05,0.0326,2007-10-23,04:00:00,bef
2007-07-24 04:00:00,1.03,1.04,0.010900000000000002,2007-07-24,04:00:00,bef
2007-01-30 05:00:00,1.04,1.04,-0.0006,2007-01-30,05:00:00,bef
2006-10-19 04:00:00,0.9,0.96,0.0723,2006-10-19,04:00:00,bef
2006-07-25 04:00:00,1.0,0.97,-0.0268,2006-07-25,04:00:00,bef
2006-04-20 04:00:00,0.88,0.89,0.013700000000000002,2006-04-20,04:00:00,bef
2006-01-26 05:00:00,0.96,0.95,-0.006999999999999999,2006-01-26,05:00:00,bef
2005-10-20 04:00:00,0.86,0.86,0.0051,2005-10-20,04:00:00,bef
2005-07-21 04:00:00,0.86,0.88,0.0265,2005-07-21,04:00:00,bef
2005-04-21 04:00:00,0.73,0.78,0.06849999999999999,2005-04-21,04:00:00,bef
2005-01-27 05:00:00,0.76,0.76,0.0051,2005-01-27,05:00:00,bef
2004-10-21 04:00:00,0.72,0.7,-0.0262,2004-10-21,04:00:00,bef
2004-07-22 04:00:00,0.71,0.72,0.0192,2004-07-22,04:00:00,bef
2004-04-22 04:00:00,0.62,0.67,0.0894,2004-04-22,04:00:00,bef
2004-01-29 05:00:00,0.69,0.7,0.013000000000000001,2004-01-29,05:00:00,bef
2003-10-21 04:00:00,0.6,0.62,0.032400000000000005,2003-10-21,04:00:00,bef
2003-07-22 04:00:00,0.59,0.61,0.028700000000000003,2003-07-22,04:00:00,bef
2003-04-22 04:00:00,0.51,0.52,0.0175,2003-04-22,04:00:00,bef
2003-01-28 05:00:00,0.57,0.59,0.0412,2003-01-28,05:00:00,bef
2002-10-22 04:00:00,0.54,0.51,-0.047599999999999996,2002-10-22,04:00:00,bef
2002-07-12 04:00:00,0.54,0.54,0.0062,2002-07-12,04:00:00,bef
2002-04-18 04:00:00,0.47,0.5,0.0719,2002-04-18,04:00:00,bef
2002-01-29 05:00:00,0.5,0.57,0.1386,2002-01-29,05:00:00,bef
2001-10-18 04:00:00,0.46,0.5,0.0791,2001-10-18,04:00:00,bef
2001-07-19 04:00:00,0.54,0.55,0.0207,2001-07-19,04:00:00,bef
2001-04-19 04:00:00,0.5,0.51,0.02,2001-04-19,04:00:00,bef
2001-01-30 05:00:00,0.61,0.63,0.0388,2001-01-30,05:00:00,bef
2000-10-19 04:00:00,0.58,0.6,0.0276,2000-10-19,04:00:00,bef
2000-07-20 04:00:00,0.6,0.6,-0.0033000000000000004,2000-07-20,04:00:00,bef
2000-04-20 04:00:00,0.53,0.56,0.062000000000000006,2000-04-20,04:00:00,bef
2000-01-31 05:00:00,0.55,0.56,0.0225,2000-01-31,05:00:00,bef
