Earnings Date,EPS Estimate,Reported EPS,Surprise(%),Date,Time,BefAft
2022-07-27 16:00:00,6.46,7.86,0.21670000000000003,2022-07-27,16:00:00,aft
2022-04-27 16:00:00,5.0,5.73,0.1471,2022-04-27,16:00:00,aft
2022-01-26 16:00:00,6.72,7.39,0.0994,2022-01-26,16:00:00,aft
2021-10-27 16:00:00,6.8,6.58,-0.0325,2021-10-27,16:00:00,aft
2021-07-28 16:00:00,4.88,4.66,-0.045899999999999996,2021-07-28,16:00:00,aft
2021-04-28 16:00:00,3.07,3.45,0.1245,2021-04-28,16:00:00,aft
2021-01-27 16:00:00,4.23,5.04,0.1923,2021-01-27,16:00:00,aft
2020-10-28 16:00:00,4.35,5.4,0.2414,2020-10-28,16:00:00,aft
2020-07-29 16:00:00,1.86,3.68,0.9753000000000001,2020-07-29,16:00:00,aft
2020-04-29 17:00:00,2.69,3.35,0.2444,2020-04-29,17:00:00,aft
2020-01-29 16:00:00,5.22,5.6,0.0728,2020-01-29,16:00:00,aft
2019-10-16 16:00:00,5.59,5.96,0.06559999999999999,2019-10-16,16:00:00,aft
2019-07-17 16:00:00,4.49,4.74,0.056600000000000004,2019-07-17,16:00:00,aft
2019-04-17 16:00:00,3.03,3.31,0.091,2019-04-17,16:00:00,aft
2019-01-23 16:00:00,4.9,4.85,-0.01,2019-01-23,16:00:00,aft
2018-10-17 16:00:00,4.61,4.74,0.028399999999999998,2018-10-17,16:00:00,aft
2018-07-18 16:00:00,3.45,3.85,0.1159,2018-07-18,16:00:00,aft
2018-04-18 16:00:00,2.45,2.87,0.17190000000000003,2018-04-18,16:00:00,aft
2018-01-24 17:00:00,3.28,3.34,0.0177,2018-01-24,17:00:00,aft
2017-10-18 16:00:00,2.98,3.25,0.0891,2017-10-18,16:00:00,aft
2017-07-19 16:00:00,2.29,2.37,0.033100000000000004,2017-07-19,16:00:00,aft
2017-04-19 16:00:00,1.52,1.63,0.0738,2017-04-19,16:00:00,aft
2017-01-25 17:00:00,2.24,2.67,0.192,2017-01-25,17:00:00,aft
2016-10-19 16:00:00,2.44,2.58,0.0591,2016-10-19,16:00:00,aft
2016-07-20 16:00:00,1.82,2.06,0.1344,2016-07-20,16:00:00,aft
2016-04-20 16:00:00,1.17,1.4,0.1945,2016-04-20,16:00:00,aft
2016-01-27 16:00:00,2.31,2.19,-0.053200000000000004,2016-01-27,16:00:00,aft
2015-10-21 16:00:00,2.34,2.57,0.0974,2015-10-21,16:00:00,aft
2015-07-22 16:00:00,1.78,1.95,0.09369999999999999,2015-07-22,16:00:00,aft
2015-04-21 16:00:00,1.13,1.34,0.189,2015-04-21,16:00:00,aft
2015-01-21 17:00:00,2.07,2.19,0.056900000000000006,2015-01-21,17:00:00,aft
2014-10-15 16:00:00,2.08,2.2,0.0567,2014-10-15,16:00:00,aft
2014-07-16 04:00:00,1.46,1.65,0.1317,2014-07-16,04:00:00,bef
2014-04-16 04:00:00,0.71,0.9,0.2669,2014-04-16,04:00:00,bef
2014-01-22 05:00:00,1.47,1.59,0.08449999999999999,2014-01-22,05:00:00,bef
2013-10-16 04:00:00,1.6,1.63,0.0169,2013-10-16,04:00:00,bef
2013-07-16 04:00:00,1.01,1.12,0.1054,2013-07-16,04:00:00,bef
2013-04-16 04:00:00,0.48,0.58,0.21480000000000002,2013-04-16,04:00:00,bef
2013-01-23 05:00:00,1.01,1.27,0.2552,2013-01-23,05:00:00,bef
2012-10-16 04:00:00,1.12,1.35,0.20829999999999999,2012-10-16,04:00:00,bef
2012-07-17 04:00:00,0.57,0.66,0.16640000000000002,2012-07-17,04:00:00,bef
2012-04-17 04:00:00,0.05,0.36,6.0012,2012-04-17,04:00:00,bef
2012-01-25 05:00:00,0.62,0.82,0.32060000000000005,2012-01-25,05:00:00,bef
