Earnings Date,EPS Estimate,Reported EPS,Surprise(%),Date,Time,BefAft
2022-07-15 06:00:00,1.07,1.09,0.0206,2022-07-15,06:00:00,bef
2022-04-14 06:00:00,0.94,0.99,0.051,2022-04-14,06:00:00,bef
2022-01-19 06:00:00,1.1,1.07,-0.0282,2022-01-19,06:00:00,bef
2021-10-14 06:00:00,1.16,1.3,0.1217,2021-10-14,06:00:00,bef
2021-07-15 06:00:00,1.14,1.28,0.1218,2021-07-15,06:00:00,bef
2021-04-15 06:00:00,0.96,1.45,0.5152,2021-04-15,06:00:00,bef
2021-01-20 06:00:00,0.95,0.95,0.0032,2021-01-20,06:00:00,bef
2020-10-14 06:00:00,0.91,0.99,0.0867,2020-10-14,06:00:00,bef
2020-07-15 06:00:00,0.22,0.41,0.8468000000000001,2020-07-15,06:00:00,bef
2020-04-15 06:00:00,0.58,0.72,0.23500000000000001,2020-04-15,06:00:00,bef
2020-01-15 06:00:00,1.08,0.9,-0.1697,2020-01-15,06:00:00,bef
2019-10-16 06:00:00,1.11,1.15,0.0351,2019-10-16,06:00:00,bef
2019-07-17 06:00:00,1.07,1.09,0.0206,2019-07-17,06:00:00,bef
2019-04-17 06:00:00,1.0,1.0,-0.002,2019-04-17,06:00:00,bef
2019-01-16 06:00:00,1.06,1.07,0.0123,2019-01-16,06:00:00,bef
2018-10-17 06:00:00,1.05,1.06,0.0144,2018-10-17,06:00:00,bef
2018-07-18 06:00:00,1.0,1.02,0.0159,2018-07-18,06:00:00,bef
2018-04-18 06:00:00,0.95,0.96,0.0159,2018-04-18,06:00:00,bef
2018-01-17 06:00:00,0.87,0.88,0.0138,2018-01-17,06:00:00,bef
2017-10-18 06:00:00,0.88,0.88,-0.0011,2017-10-18,06:00:00,bef
2017-07-19 06:00:00,0.84,0.85,0.0070999999999999995,2017-07-19,06:00:00,bef
2017-04-19 06:00:00,0.8,0.82,0.025,2017-04-19,06:00:00,bef
2017-01-18 06:00:00,0.81,0.82,0.0149,2017-01-18,06:00:00,bef
2016-10-19 06:00:00,0.83,0.84,0.0072,2016-10-19,06:00:00,bef
2016-07-15 06:00:00,0.8,0.83,0.0349,2016-07-15,06:00:00,bef
2016-04-20 06:00:00,0.76,0.76,0.0026000000000000003,2016-04-20,06:00:00,bef
2016-01-15 06:00:00,0.79,0.79,0.0013000000000000002,2016-01-15,06:00:00,bef
2015-10-15 06:00:00,0.81,0.81,-0.0037,2015-10-15,06:00:00,bef
2015-07-15 07:00:00,0.8,0.8,-0.0012,2015-07-15,07:00:00,bef
2015-04-15 07:00:00,0.76,0.76,-0.0013000000000000002,2015-04-15,07:00:00,bef
2015-01-21 07:00:00,0.77,0.79,0.0273,2015-01-21,07:00:00,bef
2014-10-22 07:00:00,0.78,0.78,-0.0026000000000000003,2014-10-22,07:00:00,bef
2014-07-16 04:00:00,0.77,0.78,0.015300000000000001,2014-07-16,04:00:00,bef
2014-04-16 04:00:00,0.73,0.73,0.0046,2014-04-16,04:00:00,bef
2014-01-22 05:00:00,0.75,0.76,0.0126,2014-01-22,05:00:00,bef
2013-10-16 04:00:00,0.76,0.76,0.0064,2013-10-16,04:00:00,bef
2013-07-17 04:00:00,0.76,0.76,-0.0029,2013-07-17,04:00:00,bef
2013-01-16 05:00:00,0.75,0.75,0.0061,2013-01-16,05:00:00,bef
2012-10-17 04:00:00,0.74,0.74,0.0054,2012-10-17,04:00:00,bef
