Earnings Date,EPS Estimate,Reported EPS,Surprise(%),Date,Time,BefAft
2022-08-04 07:00:00,1.69,1.53,-0.09519999999999999,2022-08-04,07:00:00,bef
2022-05-04 07:00:00,0.62,0.73,0.17550000000000002,2022-05-04,07:00:00,bef
2022-02-16 07:00:00,1.16,1.25,0.0767,2022-02-16,07:00:00,bef
2021-11-04 07:00:00,1.65,1.54,-0.0684,2021-11-04,07:00:00,bef
2021-08-04 07:00:00,1.66,1.57,-0.0514,2021-08-04,07:00:00,bef
2021-05-04 07:00:00,0.45,0.69,0.5197999999999999,2021-05-04,07:00:00,bef
2021-02-16 07:00:00,0.99,1.07,0.08630000000000002,2021-02-16,07:00:00,bef
2020-11-05 07:00:00,1.62,1.56,-0.0353,2020-11-05,07:00:00,bef
2020-08-04 07:00:00,1.38,1.6,0.1561,2020-08-04,07:00:00,bef
2020-05-06 07:00:00,0.43,0.47,0.09050000000000001,2020-05-06,07:00:00,bef
2020-02-18 07:00:00,1.17,1.08,-0.0801,2020-02-18,07:00:00,bef
2019-11-06 07:00:00,1.7,1.68,-0.0129,2019-11-06,07:00:00,bef
2019-07-25 08:00:00,1.47,1.48,0.0089,2019-07-25,08:00:00,bef
2019-05-02 09:00:00,0.36,0.46,0.2921,2019-05-02,09:00:00,bef
2019-02-14 08:00:00,0.89,0.99,0.1174,2019-02-14,08:00:00,bef
2018-10-30 08:00:00,1.38,1.4,0.0182,2018-10-30,08:00:00,bef
2018-07-31 08:00:00,1.36,1.23,-0.09230000000000001,2018-07-31,08:00:00,bef
2018-05-03 08:00:00,0.22,0.44,1.0276,2018-05-03,08:00:00,bef
2018-02-16 08:00:00,0.74,0.74,0.0068000000000000005,2018-02-16,08:00:00,bef
2017-11-01 17:00:00,1.05,1.04,-0.0067,2017-11-01,17:00:00,aft
2017-08-02 08:00:00,1.2,0.9,-0.2506,2017-08-02,08:00:00,bef
2017-05-10 08:00:00,0.2,0.34,0.7347,2017-05-10,08:00:00,bef
2017-02-07 08:00:00,0.85,0.69,-0.18920000000000003,2017-02-07,08:00:00,bef
2016-11-02 07:00:00,1.13,1.01,-0.107,2016-11-02,07:00:00,bef
2016-08-01 08:00:00,1.0,0.9,-0.1018,2016-08-01,08:00:00,bef
2016-05-03 08:00:00,0.07,0.26,2.7143,2016-05-03,08:00:00,bef
2016-02-04 08:00:00,0.61,0.74,0.2211,2016-02-04,08:00:00,bef
2015-11-03 08:00:00,0.97,0.95,-0.0176,2015-11-03,08:00:00,bef
2015-08-03 18:00:00,0.64,0.66,0.0248,2015-08-03,18:00:00,aft
2015-05-04 19:00:00,-0.16,-0.16,-0.0063,2015-05-04,19:00:00,aft
2015-02-05 08:00:00,0.27,0.31,0.161,2015-02-05,08:00:00,bef
2014-11-04 10:00:00,0.52,0.53,0.0192,2014-11-04,10:00:00,bef
2014-08-05 04:00:00,0.38,0.37,-0.034100000000000005,2014-08-05,04:00:00,bef
2014-05-06 04:00:00,-0.33,-0.28,0.16,2014-05-06,04:00:00,bef
2014-02-06 05:00:00,-0.02,0.08,5.308,2014-02-06,05:00:00,bef
2013-11-04 05:00:00,0.27,0.32,0.1979,2013-11-04,05:00:00,bef
