Earnings Date,EPS Estimate,Reported EPS,Surprise(%),Date,Time,BefAft
2022-08-04 16:00:00,3.48,3.6,0.0348,2022-08-04,16:00:00,aft
2022-05-05 16:00:00,3.49,3.52,0.008,2022-05-05,16:00:00,aft
2022-01-26 16:00:00,3.3,3.37,0.0212,2022-01-26,16:00:00,aft
2021-11-02 16:00:00,3.08,3.56,0.1555,2021-11-02,16:00:00,aft
2021-07-29 16:00:00,2.51,3.11,0.24,2021-07-29,16:00:00,aft
2021-04-29 16:00:00,2.69,2.98,0.1082,2021-04-29,16:00:00,aft
2021-02-01 16:00:00,2.59,2.51,-0.0309,2021-02-01,16:00:00,aft
2020-10-29 16:00:00,2.34,2.64,0.1268,2020-10-29,16:00:00,aft
2020-07-30 16:00:00,2.07,2.61,0.2584,2020-07-30,16:00:00,aft
2020-04-29 16:00:00,1.85,2.56,0.3875,2020-04-29,16:00:00,aft
2020-01-30 16:00:00,1.21,1.7,0.40850000000000003,2020-01-30,16:00:00,aft
2019-10-30 16:00:00,1.15,1.23,0.0705,2019-10-30,16:00:00,aft
2019-07-31 16:00:00,1.07,1.26,0.1809,2019-07-31,16:00:00,aft
2019-04-30 16:00:00,0.97,1.14,0.1716,2019-04-30,16:00:00,aft
2019-02-05 16:00:00,1.06,1.3,0.2241,2019-02-05,16:00:00,aft
2018-10-24 16:00:00,1.02,1.09,0.0697,2018-10-24,16:00:00,aft
2018-07-25 16:00:00,0.75,0.94,0.2584,2018-07-25,16:00:00,aft
2018-04-26 04:00:00,0.63,0.76,0.20829999999999999,2018-04-26,04:00:00,bef
2018-01-31 17:00:00,0.53,0.61,0.1509,2018-01-31,17:00:00,aft
2017-10-25 16:00:00,0.31,0.53,0.6933,2017-10-25,16:00:00,aft
2017-07-26 16:00:00,0.35,0.39,0.1048,2017-07-26,16:00:00,aft
2017-04-27 16:00:00,0.39,0.41,0.0406,2017-04-27,16:00:00,aft
2017-01-25 16:00:00,0.29,0.35,0.2195,2017-01-25,16:00:00,aft
2016-10-25 16:00:00,0.18,0.16,-0.11109999999999999,2016-10-25,16:00:00,aft
2016-07-27 16:00:00,0.21,0.24,0.165,2016-07-27,16:00:00,aft
2016-04-27 16:00:00,0.29,0.09,-0.6853,2016-04-27,16:00:00,aft
2016-01-27 16:00:00,0.17,0.17,0.011899999999999999,2016-01-27,16:00:00,aft
2015-10-28 16:00:00,-0.28,-0.13,0.5423,2015-10-28,16:00:00,aft
2015-07-29 16:00:00,-0.58,-0.54,0.06570000000000001,2015-07-29,16:00:00,aft
2015-04-29 16:00:00,-0.75,-0.62,0.1722,2015-04-29,16:00:00,aft
2015-01-28 16:00:00,-0.65,-0.74,-0.13670000000000002,2015-01-28,16:00:00,aft
2014-10-28 16:00:00,-0.62,-0.72,-0.1613,2014-10-28,16:00:00,aft
2014-07-29 04:00:00,-0.71,-0.68,0.048600000000000004,2014-07-29,04:00:00,bef
2014-05-01 04:00:00,-0.68,-1.0,-0.4651,2014-05-01,04:00:00,bef
2014-01-29 05:00:00,-0.55,0.19,1.3463,2014-01-29,05:00:00,bef
2013-10-29 04:00:00,-0.34,-0.54,-0.5722,2013-10-29,04:00:00,bef
2013-07-29 04:00:00,-0.19,-0.26,-0.36840000000000006,2013-07-29,04:00:00,bef
2013-04-30 04:00:00,-0.18,-0.11,0.4,2013-04-30,04:00:00,bef
2013-01-29 05:00:00,-0.08,-0.09,-0.125,2013-01-29,05:00:00,bef
2012-11-01 04:00:00,0.2,-0.27,-2.3636000000000004,2012-11-01,04:00:00,bef
2012-07-30 04:00:00,0.58,0.06,-0.8958,2012-07-30,04:00:00,bef
2012-04-26 04:00:00,0.56,0.43,-0.2321,2012-04-26,04:00:00,bef
2012-02-02 05:00:00,0.7,0.74,0.0518,2012-02-02,05:00:00,bef
2011-10-27 04:00:00,0.21,1.02,3.7579000000000002,2011-10-27,04:00:00,bef
2011-07-28 04:00:00,-0.96,-0.85,0.1182,2011-07-28,04:00:00,bef
2011-05-03 04:00:00,-1.09,-0.87,0.2013,2011-05-03,04:00:00,bef
2011-02-03 05:00:00,-0.93,-0.9,0.0279,2011-02-03,05:00:00,bef
2010-10-25 04:00:00,-0.93,-1.04,-0.1207,2010-10-25,04:00:00,bef
2010-07-28 04:00:00,-0.84,-1.0,-0.1923,2010-07-28,04:00:00,bef
2010-04-21 04:00:00,-0.8,-0.83,-0.04360000000000001,2010-04-21,04:00:00,bef
2010-02-04 05:00:00,-0.85,-0.85,-0.0015,2010-02-04,05:00:00,bef
2009-10-26 04:00:00,-0.82,-0.84,-0.0286,2009-10-26,04:00:00,bef
2009-08-05 04:00:00,-0.84,-0.99,-0.18420000000000003,2009-08-05,04:00:00,bef
2009-04-16 04:00:00,-0.82,-1.04,-0.267,2009-04-16,04:00:00,bef
2009-02-09 05:00:00,-0.93,-0.96,-0.0337,2009-02-09,05:00:00,bef
2008-10-27 04:00:00,-0.92,-0.93,-0.0054,2008-10-27,04:00:00,bef
2008-07-31 04:00:00,-0.57,-0.66,-0.1501,2008-07-31,04:00:00,bef
2008-04-21 04:00:00,-0.65,-0.72,-0.1067,2008-04-21,04:00:00,bef
2008-02-11 05:00:00,-0.66,-0.66,-0.0068000000000000005,2008-02-11,05:00:00,bef
2007-10-29 04:00:00,-0.73,-0.82,-0.1252,2007-10-29,04:00:00,bef
2007-07-24 04:00:00,-0.69,-0.91,-0.31629999999999997,2007-07-24,04:00:00,bef
2007-04-30 04:00:00,-0.64,-0.64,0.006,2007-04-30,04:00:00,bef
2007-02-01 05:00:00,-0.38,-0.22,0.42200000000000004,2007-02-01,05:00:00,bef
2006-10-26 04:00:00,-0.48,-0.46,0.0322,2006-10-26,04:00:00,bef
2006-07-26 04:00:00,-0.52,-0.72,-0.3918,2006-07-26,04:00:00,bef
2006-04-25 04:00:00,-0.56,-0.47,0.16690000000000002,2006-04-25,04:00:00,bef
2006-02-07 05:00:00,-0.23,-0.38,-0.6476999999999999,2006-02-07,05:00:00,bef
2005-10-26 04:00:00,-0.47,-0.84,-0.7896,2005-10-26,04:00:00,bef
2005-07-27 04:00:00,-0.51,-0.5,0.0148,2005-07-27,04:00:00,bef
2005-04-26 04:00:00,-0.56,-0.56,-0.0083,2005-04-26,04:00:00,bef
2005-02-09 05:00:00,-0.44,-0.54,-0.225,2005-02-09,05:00:00,bef
2004-10-25 04:00:00,-0.48,-0.49,-0.0189,2004-10-25,04:00:00,bef
2004-07-26 04:00:00,-0.51,-0.56,-0.0916,2004-07-26,04:00:00,bef
2004-04-26 04:00:00,-0.52,-0.52,0.0021,2004-04-26,04:00:00,bef
2004-02-11 05:00:00,-0.54,-0.51,0.0599,2004-02-11,05:00:00,bef
2003-11-10 05:00:00,-0.49,-0.58,-0.1789,2003-11-10,05:00:00,bef
2003-07-24 04:00:00,-0.61,-0.6,0.0094,2003-07-24,04:00:00,bef
2003-04-24 04:00:00,-0.48,-0.64,-0.32780000000000004,2003-04-24,04:00:00,bef
2003-02-04 05:00:00,-0.4,-0.4,-0.0042,2003-02-04,05:00:00,bef
2002-11-04 05:00:00,-0.3,-0.44,-0.4728,2002-11-04,05:00:00,bef
2002-07-18 04:00:00,-0.28,-0.28,-0.0045000000000000005,2002-07-18,04:00:00,bef
2002-04-24 04:00:00,-0.28,-0.29,-0.028999999999999998,2002-04-24,04:00:00,bef
2002-02-07 05:00:00,-0.19,-0.15,0.218,2002-02-07,05:00:00,bef
2001-10-24 04:00:00,-0.27,-0.18,0.3333,2001-10-24,04:00:00,bef
2001-07-27 04:00:00,-0.26,-0.16,0.3885,2001-07-27,04:00:00,bef
2001-04-24 04:00:00,-0.31,-0.15,0.5238,2001-04-24,04:00:00,bef
2001-02-22 05:00:00,-0.14,-0.04,0.7143,2001-02-22,05:00:00,bef
2000-10-24 04:00:00,-0.22,-0.46,-1.0444,2000-10-24,04:00:00,bef
2000-07-26 04:00:00,0.21,0.22,0.0488,2000-07-26,04:00:00,bef
2000-05-11 04:00:00,-0.29,-0.31,-0.07830000000000001,2000-05-11,04:00:00,bef
2000-02-16 05:00:00,0.01,0.03,4.2539,2000-02-16,05:00:00,bef
1999-10-27 04:00:00,-0.25,-0.28,-0.12840000000000001,1999-10-27,04:00:00,bef
1999-07-27 04:00:00,-0.19,-0.21,-0.1283,1999-07-27,04:00:00,bef
1999-04-21 04:00:00,-0.3,-0.34,-0.16620000000000001,1999-04-21,04:00:00,bef
1999-02-25 05:00:00,-0.21,-0.25,-0.17800000000000002,1999-02-25,05:00:00,bef
1998-10-21 04:00:00,-0.09,-0.04,0.4793,1998-10-21,04:00:00,bef
