Earnings Date,EPS Estimate,Reported EPS,Surprise(%),Date,Time,BefAft
2022-08-08 06:00:00,0.83,0.88,0.0602,2022-08-08,06:00:00,bef
2022-05-09 06:00:00,0.83,0.93,0.1259,2022-05-09,06:00:00,bef
2022-02-28 06:00:00,0.83,0.8,-0.0338,2022-02-28,06:00:00,bef
2021-11-08 06:00:00,0.88,0.99,0.1199,2021-11-08,06:00:00,bef
2021-08-09 06:00:00,0.87,0.98,0.1226,2021-08-09,06:00:00,bef
2021-05-10 06:00:00,0.8,0.92,0.1514,2021-05-10,06:00:00,bef
2021-03-01 17:00:00,1.24,1.08,-0.1297,2021-03-01,17:00:00,aft
2020-11-06 08:00:00,1.17,1.31,0.1245,2020-11-06,08:00:00,bef
2020-08-06 06:00:00,0.98,1.11,0.1338,2020-08-06,06:00:00,bef
2020-05-11 08:00:00,0.86,0.9,0.0429,2020-05-11,08:00:00,bef
2020-02-27 16:00:00,1.28,1.4,0.09550000000000002,2020-02-27,16:00:00,aft
2019-11-05 07:00:00,1.13,1.17,0.0345,2019-11-05,07:00:00,bef
2019-07-29 06:00:00,0.95,1.03,0.08650000000000001,2019-07-29,06:00:00,bef
2019-05-07 08:00:00,0.79,0.82,0.0367,2019-05-07,08:00:00,bef
2019-02-26 16:00:00,1.36,1.3,-0.042,2019-02-26,16:00:00,aft
2018-11-05 16:00:00,1.19,1.25,0.052199999999999996,2018-11-05,16:00:00,aft
2018-08-08 08:00:00,1.22,1.07,-0.1258,2018-08-08,08:00:00,bef
2018-05-09 07:00:00,0.96,0.96,0.001,2018-05-09,07:00:00,bef
2018-02-28 16:00:00,1.41,1.43,0.0171,2018-02-28,16:00:00,aft
2017-11-06 07:00:00,1.2,1.1,-0.0833,2017-11-06,07:00:00,bef
2017-08-09 08:00:00,1.16,1.1,-0.0509,2017-08-09,08:00:00,bef
2017-05-10 07:00:00,0.92,0.93,0.006500000000000001,2017-05-10,07:00:00,bef
2017-03-01 07:00:00,1.42,1.57,0.10560000000000001,2017-03-01,07:00:00,bef
2016-11-09 16:00:00,1.45,1.38,-0.047,2016-11-09,16:00:00,aft
2016-08-09 16:00:00,1.13,1.16,0.024700000000000003,2016-08-09,16:00:00,aft
2016-05-03 02:00:00,0.74,0.76,0.0256,2016-05-03,02:00:00,bef
2016-02-10 16:00:00,1.28,1.22,-0.0446,2016-02-10,16:00:00,aft
2015-10-30 07:00:00,1.38,1.43,0.037000000000000005,2015-10-30,07:00:00,bef
2015-08-06 07:00:00,0.89,0.91,0.0225,2015-08-06,07:00:00,bef
2015-05-05 16:00:00,0.69,0.7,0.014499999999999999,2015-05-05,16:00:00,aft
2015-03-02 16:00:00,1.05,1.05,0.0038,2015-03-02,16:00:00,aft
2014-10-30 16:00:00,1.14,1.16,0.0184,2014-10-30,16:00:00,aft
2014-08-07 04:00:00,0.7,0.69,-0.0152,2014-08-07,04:00:00,bef
2014-05-01 04:00:00,0.63,0.66,0.0414,2014-05-01,04:00:00,bef
2014-02-27 05:00:00,0.75,0.78,0.0376,2014-02-27,05:00:00,bef
2013-10-31 04:00:00,0.8,0.82,0.030600000000000002,2013-10-31,04:00:00,bef
2013-08-01 04:00:00,0.67,0.68,0.008199999999999999,2013-08-01,04:00:00,bef
2013-05-02 04:00:00,0.61,0.62,0.008199999999999999,2013-05-02,04:00:00,bef
2013-02-27 05:00:00,0.64,0.65,0.021800000000000003,2013-02-27,05:00:00,bef
2012-10-25 04:00:00,0.77,0.83,0.0793,2012-10-25,04:00:00,bef
2012-07-26 04:00:00,0.55,0.6,0.0941,2012-07-26,04:00:00,bef
2012-04-26 04:00:00,0.5,0.52,0.032799999999999996,2012-04-26,04:00:00,bef
2012-02-21 05:00:00,0.5,0.53,0.0632,2012-02-21,05:00:00,bef
2011-10-26 04:00:00,0.51,0.55,0.0747,2011-10-26,04:00:00,bef
2011-07-27 04:00:00,0.45,0.52,0.1466,2011-07-27,04:00:00,bef
