Earnings Date,EPS Estimate,Reported EPS,Surprise(%),Date,Time,BefAft
2022-08-02 07:00:00,2.66,2.75,0.0346,2022-08-02,07:00:00,bef
2022-05-03 06:00:00,2.33,2.8,0.2043,2022-05-03,06:00:00,bef
2022-02-01 07:00:00,3.47,3.67,0.0567,2022-02-01,07:00:00,bef
2021-11-02 07:00:00,2.35,2.66,0.131,2021-11-02,07:00:00,bef
2021-08-03 06:00:00,2.25,2.6,0.1576,2021-08-03,06:00:00,bef
2021-05-05 06:00:00,1.57,2.29,0.46140000000000003,2021-05-05,06:00:00,bef
2021-02-02 06:00:00,2.89,3.65,0.2647,2021-02-02,06:00:00,bef
2020-10-27 06:00:00,1.93,2.16,0.1192,2020-10-27,06:00:00,bef
2020-07-28 06:00:00,1.54,2.1,0.3619,2020-07-28,06:00:00,bef
2020-04-28 06:00:00,1.47,1.15,-0.21559999999999999,2020-04-28,06:00:00,bef
2020-02-04 07:00:00,3.01,3.2,0.0638,2020-02-04,07:00:00,bef
2019-10-29 07:00:00,2.13,2.13,0.0009,2019-10-29,07:00:00,bef
2019-07-30 06:00:00,2.11,2.14,0.013700000000000002,2019-07-30,06:00:00,bef
2019-04-23 06:00:00,1.72,1.6,-0.0719,2019-04-23,06:00:00,bef
2019-01-23 07:00:00,2.64,2.87,0.08630000000000002,2019-01-23,07:00:00,bef
2018-10-23 07:00:00,1.9,1.92,0.0089,2018-10-23,07:00:00,bef
2018-07-24 06:00:00,1.92,1.95,0.0167,2018-07-24,06:00:00,bef
2018-04-24 07:00:00,1.55,1.59,0.023799999999999998,2018-04-24,07:00:00,bef
2018-01-23 06:00:00,2.44,2.51,0.027000000000000003,2018-01-23,06:00:00,bef
2017-10-24 06:00:00,1.74,1.77,0.0161,2017-10-24,06:00:00,bef
2017-07-25 06:00:00,1.71,1.76,0.0286,2017-07-25,06:00:00,bef
2017-04-25 07:00:00,1.33,1.46,0.0953,2017-04-25,07:00:00,bef
2017-01-24 06:00:00,2.13,2.21,0.039,2017-01-24,06:00:00,bef
2016-10-25 06:00:00,1.57,1.57,-0.0019,2016-10-25,06:00:00,bef
2016-07-26 06:00:00,1.45,1.58,0.09119999999999999,2016-07-26,06:00:00,bef
