Earnings Date,EPS Estimate,Reported EPS,Surprise(%),Date,Time,BefAft
2022-06-30 07:00:00,0.92,0.96,0.0401,2022-06-30,07:00:00,bef
2022-03-31 07:00:00,1.4,1.59,0.139,2022-03-31,07:00:00,bef
2022-01-06 07:00:00,1.33,1.68,0.266,2022-01-06,07:00:00,bef
2021-10-14 07:00:00,1.02,1.17,0.1493,2021-10-14,07:00:00,bef
2021-07-01 07:00:00,1.17,1.38,0.18350000000000002,2021-07-01,07:00:00,bef
2021-03-31 07:00:00,1.11,1.26,0.13720000000000002,2021-03-31,07:00:00,bef
2021-01-07 07:00:00,1.03,1.22,0.18789999999999998,2021-01-07,07:00:00,bef
2020-10-15 07:00:00,0.96,1.02,0.0625,2020-10-15,07:00:00,bef
2020-07-09 07:00:00,1.17,0.83,-0.29059999999999997,2020-07-09,07:00:00,bef
2020-04-02 07:00:00,1.46,1.52,0.0425,2020-04-02,07:00:00,bef
2020-01-08 07:00:00,1.41,1.37,-0.0304,2020-01-08,07:00:00,bef
2019-10-28 07:00:00,1.41,1.43,0.013500000000000002,2019-10-28,07:00:00,bef
2019-06-27 07:00:00,1.43,1.47,0.025099999999999997,2019-06-27,07:00:00,bef
2019-04-02 07:00:00,1.72,1.64,-0.0471,2019-04-02,07:00:00,bef
2018-12-20 07:00:00,1.43,1.46,0.0188,2018-12-20,07:00:00,bef
2018-10-11 07:00:00,1.45,1.48,0.0235,2018-10-11,07:00:00,bef
2018-06-28 07:00:00,1.48,1.53,0.0366,2018-06-28,07:00:00,bef
2018-03-28 07:00:00,1.55,1.73,0.1176,2018-03-28,07:00:00,bef
2018-01-04 07:00:00,1.26,1.28,0.013500000000000002,2018-01-04,07:00:00,bef
2017-10-25 07:00:00,1.21,1.31,0.0844,2017-10-25,07:00:00,bef
2017-06-29 07:00:00,1.3,1.33,0.0262,2017-06-29,07:00:00,bef
2017-04-05 07:00:00,1.36,1.36,0.0007000000000000001,2017-04-05,07:00:00,bef
2017-01-05 07:00:00,1.09,1.1,0.0073,2017-01-05,07:00:00,bef
2016-10-20 07:00:00,0.99,1.07,0.0819,2016-10-20,07:00:00,bef
2016-07-06 07:00:00,1.14,1.18,0.0351,2016-07-06,07:00:00,bef
2016-04-05 07:00:00,1.28,1.31,0.0242,2016-04-05,07:00:00,bef
2016-01-07 07:00:00,0.96,1.03,0.0707,2016-01-07,07:00:00,bef
2015-10-28 07:00:00,0.81,0.88,0.0824,2015-10-28,07:00:00,bef
2015-07-09 07:00:00,0.87,1.02,0.1751,2015-07-09,07:00:00,bef
2015-04-09 07:00:00,0.95,1.18,0.24739999999999998,2015-04-09,07:00:00,bef
2014-12-23 07:00:00,0.75,0.81,0.0843,2014-12-23,07:00:00,bef
2014-09-30 07:00:00,0.74,0.74,0.0027,2014-09-30,07:00:00,bef
2014-03-25 04:00:00,0.93,0.91,-0.0204,2014-03-25,04:00:00,bef
2013-12-20 05:00:00,0.72,0.65,-0.0945,2013-12-20,05:00:00,bef
2013-10-01 04:00:00,0.72,0.73,0.0089,2013-10-01,04:00:00,bef
2013-06-25 04:00:00,0.91,0.85,-0.0618,2013-06-25,04:00:00,bef
2013-03-19 04:00:00,0.94,0.96,0.0213,2013-03-19,04:00:00,bef
2012-12-21 05:00:00,0.7,0.58,-0.1729,2012-12-21,05:00:00,bef
2012-09-28 04:00:00,0.56,0.53,-0.0468,2012-09-28,04:00:00,bef
2012-06-19 04:00:00,0.62,0.63,0.013300000000000001,2012-06-19,04:00:00,bef
2012-03-27 04:00:00,0.77,0.78,0.0179,2012-03-27,04:00:00,bef
2011-12-21 05:00:00,0.67,0.63,-0.059699999999999996,2011-12-21,05:00:00,bef
2011-09-27 04:00:00,0.55,0.57,0.031200000000000002,2011-09-27,04:00:00,bef
2011-06-21 04:00:00,0.63,0.65,0.0379,2011-06-21,04:00:00,bef
2011-03-22 04:00:00,0.8,0.8,-0.001,2011-03-22,04:00:00,bef
2010-12-22 05:00:00,0.54,0.62,0.15560000000000002,2010-12-22,05:00:00,bef
2010-09-28 04:00:00,0.44,0.49,0.1173,2010-09-28,04:00:00,bef
2010-06-22 04:00:00,0.57,0.51,-0.1042,2010-06-22,04:00:00,bef
2010-03-23 04:00:00,0.71,0.68,-0.0365,2010-03-23,04:00:00,bef
2009-12-21 05:00:00,0.48,0.49,0.015500000000000002,2009-12-21,05:00:00,bef
2009-09-29 04:00:00,0.39,0.44,0.1268,2009-09-29,04:00:00,bef
2009-06-22 04:00:00,0.56,0.53,-0.060300000000000006,2009-06-22,04:00:00,bef
2009-03-23 04:00:00,0.66,0.65,-0.012700000000000001,2009-03-23,04:00:00,bef
2008-12-22 05:00:00,0.46,0.41,-0.11170000000000001,2008-12-22,05:00:00,bef
2008-06-23 04:00:00,0.59,0.58,-0.0211,2008-06-23,04:00:00,bef
2008-03-24 04:00:00,0.67,0.69,0.027999999999999997,2008-03-24,04:00:00,bef
2007-12-21 05:00:00,0.44,0.46,0.0455,2007-12-21,05:00:00,bef
2007-10-01 04:00:00,0.47,0.4,-0.1565,2007-10-01,04:00:00,bef
2007-06-25 04:00:00,0.54,0.55,0.027700000000000002,2007-06-25,04:00:00,bef
2007-03-26 04:00:00,0.61,0.65,0.061900000000000004,2007-03-26,04:00:00,bef
