Earnings Date,EPS Estimate,Reported EPS,Surprise(%),Date,Time,BefAft
2022-08-01 16:00:00,0.37,0.33,-0.1057,2022-08-01,16:00:00,aft
2022-05-02 16:00:00,0.35,0.31,-0.1218,2022-05-02,16:00:00,aft
2022-02-21 16:00:00,0.34,0.39,0.1437,2022-02-21,16:00:00,aft
2021-11-01 16:00:00,0.28,0.34,0.20140000000000002,2021-11-01,16:00:00,aft
2021-08-02 16:00:00,0.28,0.27,-0.0357,2021-08-02,16:00:00,aft
2021-05-03 16:00:00,0.29,0.35,0.1986,2021-05-03,16:00:00,aft
2021-02-22 16:00:00,0.31,0.09,-0.7068000000000001,2021-02-22,16:00:00,aft
2020-11-02 16:00:00,0.27,0.25,-0.0775,2020-11-02,16:00:00,aft
2020-08-03 16:00:00,0.24,0.25,0.033100000000000004,2020-08-03,16:00:00,aft
2020-05-04 16:00:00,0.26,-0.43,-2.6350000000000002,2020-05-04,16:00:00,aft
2020-02-19 16:00:00,0.24,0.24,-0.016399999999999998,2020-02-19,16:00:00,aft
2019-10-30 16:00:00,0.25,0.26,0.0484,2019-10-30,16:00:00,aft
2019-07-31 16:00:00,0.23,0.26,0.15560000000000002,2019-07-31,16:00:00,aft
2019-05-01 16:00:00,0.22,0.22,0.0092,2019-05-01,16:00:00,aft
2019-02-13 16:00:00,0.24,0.19,-0.21489999999999998,2019-02-13,16:00:00,aft
2018-10-31 16:00:00,0.21,0.13,-0.3839,2018-10-31,16:00:00,aft
2018-08-01 16:00:00,0.18,0.16,-0.096,2018-08-01,16:00:00,aft
2018-05-02 16:00:00,0.21,0.18,-0.1509,2018-05-02,16:00:00,aft
2018-02-14 16:00:00,0.2,0.36,0.8,2018-02-14,16:00:00,aft
2017-11-01 16:00:00,0.18,0.04,-0.7714,2017-11-01,16:00:00,aft
2017-08-02 16:00:00,0.21,0.1,-0.5192,2017-08-02,16:00:00,aft
2017-05-03 16:00:00,0.21,0.45,1.1226,2017-05-03,16:00:00,aft
2017-02-15 16:00:00,0.18,-0.02,-1.1098999999999999,2017-02-15,16:00:00,aft
2016-10-31 06:00:00,0.17,0.08,-0.5294,2016-10-31,06:00:00,bef
2016-08-01 16:00:00,0.2,-0.54,-3.7136,2016-08-01,16:00:00,aft
2016-05-04 16:00:00,0.34,-0.09,-1.2687000000000002,2016-05-04,16:00:00,aft
2016-02-17 16:00:00,0.22,0.01,-0.9541,2016-02-17,16:00:00,aft
2015-10-28 16:00:00,0.22,0.22,-0.009000000000000001,2015-10-28,16:00:00,aft
