Earnings Date,EPS Estimate,Reported EPS,Surprise(%),Date,Time,BefAft
2022-07-27 07:00:00,1.4,1.44,0.0278,2022-07-27,07:00:00,bef
2022-04-26 07:00:00,1.14,1.29,0.1326,2022-04-26,07:00:00,bef
2022-02-02 07:00:00,1.26,1.26,0.0008,2022-02-02,07:00:00,bef
2021-10-26 07:00:00,1.36,1.26,-0.0762,2021-10-26,07:00:00,bef
2021-07-27 07:00:00,1.19,1.27,0.069,2021-07-27,07:00:00,bef
2021-04-27 07:00:00,1.01,1.06,0.0495,2021-04-27,07:00:00,bef
2021-02-18 07:00:00,1.09,1.13,0.0339,2021-02-18,07:00:00,bef
2020-11-02 07:00:00,1.02,1.09,0.0728,2020-11-02,07:00:00,bef
2020-07-30 07:00:00,0.81,0.88,0.08779999999999999,2020-07-30,07:00:00,bef
2020-05-06 07:00:00,0.92,0.93,0.015300000000000001,2020-05-06,07:00:00,bef
2020-02-13 07:00:00,1.15,1.19,0.032100000000000004,2020-02-13,07:00:00,bef
2019-10-23 07:00:00,1.14,1.19,0.041100000000000005,2019-10-23,07:00:00,bef
2019-07-25 07:00:00,1.08,1.11,0.0259,2019-07-25,07:00:00,bef
2019-04-25 07:00:00,0.92,0.94,0.0173,2019-04-25,07:00:00,bef
2019-02-14 07:00:00,1.06,1.13,0.062000000000000006,2019-02-14,07:00:00,bef
2018-10-25 07:00:00,1.11,1.15,0.0388,2018-10-25,07:00:00,bef
2018-07-25 07:00:00,0.99,1.01,0.0171,2018-07-25,07:00:00,bef
2018-04-20 08:00:00,0.83,0.91,0.09640000000000001,2018-04-20,08:00:00,bef
2018-02-15 07:00:00,0.83,0.85,0.0216,2018-02-15,07:00:00,bef
2017-10-26 07:00:00,0.88,0.9,0.0227,2017-10-26,07:00:00,bef
2017-07-26 07:00:00,0.81,0.81,-0.0049,2017-07-26,07:00:00,bef
2017-04-26 07:00:00,0.66,0.66,0.0061,2017-04-26,07:00:00,bef
2017-02-16 07:00:00,0.77,0.76,-0.0117,2017-02-16,07:00:00,bef
2016-10-26 07:00:00,0.8,0.84,0.047400000000000005,2016-10-26,07:00:00,bef
2016-07-27 07:00:00,0.71,0.74,0.0452,2016-07-27,07:00:00,bef
2016-04-28 07:00:00,0.55,0.58,0.0584,2016-04-28,07:00:00,bef
2016-02-18 07:00:00,0.68,0.71,0.0472,2016-02-18,07:00:00,bef
2015-10-27 07:00:00,0.71,0.75,0.0534,2015-10-27,07:00:00,bef
2015-07-23 08:00:00,0.63,0.67,0.0618,2015-07-23,08:00:00,bef
2015-04-29 07:00:00,0.48,0.49,0.0273,2015-04-29,07:00:00,bef
2015-02-17 07:00:00,0.6,0.67,0.1223,2015-02-17,07:00:00,bef
2014-10-29 07:00:00,0.68,0.72,0.0635,2014-10-29,07:00:00,bef
2014-07-29 04:00:00,0.59,0.6,0.012,2014-07-29,04:00:00,bef
2014-04-24 04:00:00,0.44,0.49,0.1039,2014-04-24,04:00:00,bef
2014-02-18 05:00:00,0.61,0.56,-0.0748,2014-02-18,05:00:00,bef
2013-10-29 04:00:00,0.62,0.65,0.0441,2013-10-29,04:00:00,bef
2013-07-30 04:00:00,0.55,0.54,-0.02,2013-07-30,04:00:00,bef
2013-04-24 04:00:00,0.41,0.4,-0.027000000000000003,2013-04-24,04:00:00,bef
2013-02-14 05:00:00,0.6,0.57,-0.046,2013-02-14,05:00:00,bef
2012-10-31 04:00:00,0.6,0.61,0.0242,2012-10-31,04:00:00,bef
2012-07-26 04:00:00,0.52,0.52,-0.0043,2012-07-26,04:00:00,bef
2012-04-26 04:00:00,0.4,0.38,-0.044000000000000004,2012-04-26,04:00:00,bef
2012-02-16 05:00:00,0.6,0.6,-0.0018,2012-02-16,05:00:00,bef
2011-10-27 04:00:00,0.61,0.63,0.0309,2011-10-27,04:00:00,bef
2011-07-28 04:00:00,0.55,0.5,-0.09300000000000001,2011-07-28,04:00:00,bef
2011-04-28 04:00:00,0.41,0.39,-0.055700000000000006,2011-04-28,04:00:00,bef
2011-02-17 05:00:00,0.54,0.6,0.10289999999999999,2011-02-17,05:00:00,bef
2010-10-28 04:00:00,0.58,0.55,-0.055,2010-10-28,04:00:00,bef
2010-04-29 04:00:00,0.43,0.41,-0.0391,2010-04-29,04:00:00,bef
2010-02-16 05:00:00,0.48,0.52,0.0788,2010-02-16,05:00:00,bef
2009-10-29 04:00:00,0.53,0.54,0.0168,2009-10-29,04:00:00,bef
2009-07-30 04:00:00,0.54,0.52,-0.0379,2009-07-30,04:00:00,bef
2009-04-29 04:00:00,0.41,0.42,0.030299999999999997,2009-04-29,04:00:00,bef
2009-02-12 05:00:00,0.48,0.49,0.0178,2009-02-12,05:00:00,bef
2008-10-30 04:00:00,0.62,0.63,0.0232,2008-10-30,04:00:00,bef
2008-07-29 04:00:00,0.59,0.63,0.0626,2008-07-29,04:00:00,bef
2008-04-29 04:00:00,0.46,0.47,0.0217,2008-04-29,04:00:00,bef
2008-02-13 05:00:00,0.51,0.54,0.0588,2008-02-13,05:00:00,bef
2007-10-26 04:00:00,0.59,0.54,-0.0801,2007-10-26,04:00:00,bef
2007-07-31 04:00:00,0.52,0.56,0.0792,2007-07-31,04:00:00,bef
2007-04-27 04:00:00,0.36,0.43,0.20190000000000002,2007-04-27,04:00:00,bef
2007-02-08 05:00:00,0.46,0.47,0.0173,2007-02-08,05:00:00,bef
2006-10-25 04:00:00,0.48,0.55,0.1406,2006-10-25,04:00:00,bef
2006-07-28 04:00:00,0.43,0.45,0.0385,2006-07-28,04:00:00,bef
2006-04-27 04:00:00,0.3,0.35,0.1624,2006-04-27,04:00:00,bef
2006-02-14 05:00:00,0.4,0.46,0.1429,2006-02-14,05:00:00,bef
2005-10-27 04:00:00,0.43,0.45,0.05740000000000001,2005-10-27,04:00:00,bef
2005-07-28 04:00:00,0.4,0.38,-0.0567,2005-07-28,04:00:00,bef
2005-04-28 04:00:00,0.28,0.26,-0.0545,2005-04-28,04:00:00,bef
2005-02-10 05:00:00,0.38,0.39,0.0384,2005-02-10,05:00:00,bef
2004-10-28 04:00:00,0.41,0.4,-0.0123,2004-10-28,04:00:00,bef
2004-07-29 04:00:00,0.37,0.37,0.008199999999999999,2004-07-29,04:00:00,bef
2004-04-29 04:00:00,0.26,0.25,-0.0385,2004-04-29,04:00:00,bef
2004-02-12 05:00:00,0.33,0.39,0.16570000000000001,2004-02-12,05:00:00,bef
2003-10-30 05:00:00,0.37,0.35,-0.0625,2003-10-30,05:00:00,bef
2003-08-05 04:00:00,0.34,0.32,-0.045899999999999996,2003-08-05,04:00:00,bef
2003-04-29 04:00:00,0.23,0.2,-0.1411,2003-04-29,04:00:00,bef
2003-02-18 05:00:00,0.34,0.39,0.1519,2003-02-18,05:00:00,bef
2002-10-31 05:00:00,0.38,0.38,0.0102,2002-10-31,05:00:00,bef
2002-05-07 04:00:00,0.26,0.25,-0.0354,2002-05-07,04:00:00,bef
2002-02-26 05:00:00,0.26,0.25,-0.0451,2002-02-26,05:00:00,bef
2001-11-07 05:00:00,0.37,0.36,-0.013700000000000002,2001-11-07,05:00:00,bef
2001-08-08 04:00:00,0.34,0.33,-0.023700000000000002,2001-08-08,04:00:00,bef
2001-05-09 04:00:00,0.25,0.24,-0.0335,2001-05-09,04:00:00,bef
