Earnings Date,EPS Estimate,Reported EPS,Surprise(%),Date,Time,BefAft
2022-07-28 06:00:00,2.21,2.47,0.1161,2022-07-28,06:00:00,bef
2022-04-28 07:00:00,2.12,2.3,0.0834,2022-04-28,07:00:00,bef
2022-02-17 06:00:00,1.92,2.04,0.0653,2022-02-17,06:00:00,bef
2021-10-28 06:00:00,1.8,2.06,0.1464,2021-10-28,06:00:00,bef
2021-07-29 06:00:00,1.74,2.46,0.41380000000000006,2021-07-29,06:00:00,bef
2021-04-29 06:00:00,1.43,2.05,0.4316,2021-04-29,06:00:00,bef
2021-02-18 06:00:00,1.13,1.34,0.1911,2021-02-18,06:00:00,bef
2020-10-22 06:00:00,1.0,1.15,0.15230000000000002,2020-10-22,06:00:00,bef
2020-07-23 06:00:00,0.91,1.25,0.37670000000000003,2020-07-23,06:00:00,bef
2020-04-23 06:00:00,0.82,1.01,0.22870000000000001,2020-04-23,06:00:00,bef
2020-02-13 06:00:00,0.72,0.82,0.13570000000000002,2020-02-13,06:00:00,bef
2019-10-24 06:00:00,0.71,0.79,0.1158,2019-10-24,06:00:00,bef
2019-07-25 06:00:00,0.72,0.89,0.2293,2019-07-25,06:00:00,bef
2019-04-25 06:00:00,0.66,0.74,0.12630000000000002,2019-04-25,06:00:00,bef
2019-02-14 06:00:00,0.72,0.73,0.0139,2019-02-14,06:00:00,bef
2018-10-25 07:00:00,0.7,0.76,0.08109999999999999,2018-10-25,07:00:00,bef
2018-07-26 06:00:00,0.67,0.7,0.0495,2018-07-26,06:00:00,bef
2018-04-26 06:00:00,0.64,0.62,-0.0267,2018-04-26,06:00:00,bef
2018-02-15 13:00:00,0.63,0.64,0.0159,2018-02-15,13:00:00,bef
2017-10-26 07:00:00,0.53,0.67,0.2665,2017-10-26,07:00:00,bef
2017-07-27 06:00:00,0.65,0.66,0.018500000000000003,2017-07-27,06:00:00,bef
2017-04-27 07:00:00,0.55,0.81,0.4647,2017-04-27,07:00:00,bef
2017-02-16 07:00:00,0.56,0.54,-0.027000000000000003,2017-02-16,07:00:00,bef
2016-10-27 07:00:00,0.53,0.53,0.0095,2016-10-27,07:00:00,bef
2016-07-28 07:00:00,0.56,0.59,0.048,2016-07-28,07:00:00,bef
2016-04-28 07:00:00,0.51,0.53,0.0392,2016-04-28,07:00:00,bef
2015-10-29 07:00:00,0.43,0.44,0.0304,2015-10-29,07:00:00,bef
2015-07-30 07:00:00,0.45,0.47,0.051500000000000004,2015-07-30,07:00:00,bef
2015-04-30 07:00:00,0.4,0.45,0.1335,2015-04-30,07:00:00,bef
2015-02-19 07:00:00,0.46,0.45,-0.0281,2015-02-19,07:00:00,bef
2014-10-30 10:00:00,0.43,0.44,0.0304,2014-10-30,10:00:00,bef
2014-07-31 04:00:00,0.47,0.52,0.10640000000000001,2014-07-31,04:00:00,bef
2014-05-01 04:00:00,0.41,0.38,-0.0732,2014-05-01,04:00:00,bef
2014-02-20 05:00:00,0.38,0.38,0.006600000000000001,2014-02-20,05:00:00,bef
2013-10-31 04:00:00,0.36,0.39,0.08710000000000001,2013-10-31,04:00:00,bef
2013-08-01 04:00:00,0.41,0.43,0.044500000000000005,2013-08-01,04:00:00,bef
2013-05-02 04:00:00,0.43,0.44,0.0116,2013-05-02,04:00:00,bef
2013-02-21 05:00:00,0.28,0.31,0.0893,2013-02-21,05:00:00,bef
2012-11-01 04:00:00,0.25,0.26,0.04,2012-11-01,04:00:00,bef
2012-08-02 04:00:00,0.34,0.4,0.1584,2012-08-02,04:00:00,bef
2012-04-26 04:00:00,0.33,0.42,0.25,2012-04-26,04:00:00,bef
2012-02-16 05:00:00,0.28,0.3,0.0727,2012-02-16,05:00:00,bef
2011-11-01 04:00:00,0.26,0.27,0.015300000000000001,2011-11-01,04:00:00,bef
2011-07-28 04:00:00,0.34,0.31,-0.0746,2011-07-28,04:00:00,bef
2011-04-28 04:00:00,0.31,0.3,-0.0385,2011-04-28,04:00:00,bef
2011-02-17 05:00:00,0.23,0.21,-0.0954,2011-02-17,05:00:00,bef
2010-11-02 04:00:00,0.21,0.23,0.0781,2010-11-02,04:00:00,bef
2010-08-03 04:00:00,0.31,0.32,0.04190000000000001,2010-08-03,04:00:00,bef
2010-04-29 04:00:00,0.26,0.29,0.1336,2010-04-29,04:00:00,bef
2010-02-18 05:00:00,0.32,0.34,0.0334,2010-02-18,05:00:00,bef
2009-11-03 05:00:00,0.26,0.23,-0.1477,2009-11-03,05:00:00,bef
2009-08-04 04:00:00,0.25,0.29,0.1448,2009-08-04,04:00:00,bef
2009-04-30 04:00:00,0.21,0.21,-0.0039000000000000003,2009-04-30,04:00:00,bef
2009-02-19 05:00:00,0.26,0.28,0.0735,2009-02-19,05:00:00,bef
2008-11-04 05:00:00,0.23,0.19,-0.20940000000000003,2008-11-04,05:00:00,bef
2008-08-05 04:00:00,0.33,0.37,0.1162,2008-08-05,04:00:00,bef
2008-05-01 04:00:00,0.34,0.36,0.051100000000000007,2008-05-01,04:00:00,bef
2008-02-21 05:00:00,0.24,0.26,0.0625,2008-02-21,05:00:00,bef
2007-08-02 04:00:00,0.35,0.34,-0.025099999999999997,2007-08-02,04:00:00,bef
2007-04-26 04:00:00,0.33,0.39,0.18460000000000001,2007-04-26,04:00:00,bef
2007-02-20 05:00:00,0.21,0.22,0.0078000000000000005,2007-02-20,05:00:00,bef
2006-11-02 05:00:00,0.16,0.19,0.16329999999999997,2006-11-02,05:00:00,bef
2006-08-03 04:00:00,0.3,0.31,0.0449,2006-08-03,04:00:00,bef
2006-04-27 04:00:00,0.23,0.27,0.1739,2006-04-27,04:00:00,bef
2006-02-21 05:00:00,0.18,0.2,0.0833,2006-02-21,05:00:00,bef
2005-10-20 04:00:00,0.16,0.11,-0.3265,2005-10-20,04:00:00,bef
2005-07-21 04:00:00,0.21,0.2,-0.055099999999999996,2005-07-21,04:00:00,bef
2005-04-21 04:00:00,0.17,0.21,0.2059,2005-04-21,04:00:00,bef
2005-02-22 05:00:00,0.1,0.12,0.122,2005-02-22,05:00:00,bef
2004-10-19 04:00:00,0.1,0.11,0.15789999999999998,2004-10-19,04:00:00,bef
2004-07-20 04:00:00,0.16,0.17,0.047599999999999996,2004-07-20,04:00:00,bef
2004-04-20 04:00:00,0.13,0.15,0.13460000000000003,2004-04-20,04:00:00,bef
2003-10-21 04:00:00,0.09,0.08,-0.1081,2003-10-21,04:00:00,bef
2003-07-22 04:00:00,0.13,0.16,0.22640000000000002,2003-07-22,04:00:00,bef
2003-04-22 04:00:00,0.09,0.12,0.3243,2003-04-22,04:00:00,bef
2003-02-20 05:00:00,0.07,0.07,-0.069,2003-02-20,05:00:00,bef
2002-10-24 04:00:00,0.05,0.06,0.09519999999999999,2002-10-24,04:00:00,bef
2002-07-18 04:00:00,0.12,0.09,-0.1957,2002-07-18,04:00:00,bef
2002-04-18 04:00:00,0.11,0.1,-0.047599999999999996,2002-04-18,04:00:00,bef
2002-02-14 05:00:00,0.07,0.1,0.4643,2002-02-14,05:00:00,bef
2001-10-17 04:00:00,0.07,0.07,0.0175,2001-10-17,04:00:00,bef
2001-07-19 04:00:00,0.09,0.11,0.1507,2001-07-19,04:00:00,bef
2001-02-27 05:00:00,0.06,0.04,-0.2609,2001-02-27,05:00:00,bef
2000-10-16 04:00:00,0.08,0.08,0.0323,2000-10-16,04:00:00,bef
2000-07-20 04:00:00,0.12,0.09,-0.2553,2000-07-20,04:00:00,bef
2000-04-19 04:00:00,0.11,0.09,-0.21350000000000002,2000-04-19,04:00:00,bef
2000-02-15 05:00:00,0.15,0.14,-0.0492,2000-02-15,05:00:00,bef
1999-10-20 04:00:00,0.15,0.13,-0.1092,1999-10-20,04:00:00,bef
1999-07-22 04:00:00,0.17,0.17,0.0455,1999-07-22,04:00:00,bef
1999-04-21 04:00:00,0.14,0.16,0.10529999999999999,1999-04-21,04:00:00,bef
1997-07-17 04:00:00,0.16,0.15,-0.0161,1997-07-17,04:00:00,bef
1997-04-17 04:00:00,0.14,0.13,-0.0556,1997-04-17,04:00:00,bef
1997-02-18 05:00:00,0.13,0.15,0.13210000000000002,1997-02-18,05:00:00,bef
