Earnings Date,EPS Estimate,Reported EPS,Surprise(%),Date,Time,BefAft
2022-07-28 06:00:00,2.3,2.32,0.0105,2022-07-28,06:00:00,bef
2022-04-28 06:00:00,2.47,2.66,0.0782,2022-04-28,06:00:00,bef
2022-02-08 06:00:00,5.49,5.67,0.0322,2022-02-08,06:00:00,bef
2021-10-28 06:00:00,1.59,1.73,0.0867,2021-10-28,06:00:00,bef
2021-08-03 06:00:00,1.99,2.66,0.3394,2021-08-03,06:00:00,bef
2021-04-29 06:00:00,3.28,3.64,0.10980000000000001,2021-04-29,06:00:00,bef
2021-02-09 09:00:00,5.03,5.23,0.0393,2021-02-09,09:00:00,bef
2020-10-29 06:00:00,1.3,1.33,0.023100000000000002,2020-10-29,06:00:00,bef
2020-07-30 06:00:00,1.63,1.8,0.10160000000000001,2020-07-30,06:00:00,bef
2020-04-30 06:00:00,3.13,3.34,0.0671,2020-04-30,06:00:00,bef
2020-02-06 06:00:00,4.86,4.9,0.0086,2020-02-06,06:00:00,bef
2019-07-31 06:00:00,1.75,1.78,0.0154,2019-07-31,06:00:00,bef
2019-05-01 06:00:00,3.02,2.98,-0.011899999999999999,2019-05-01,06:00:00,bef
2019-02-07 06:00:00,4.06,4.0,-0.015300000000000001,2019-02-07,06:00:00,bef
2018-11-02 06:00:00,1.13,1.32,0.1702,2018-11-02,06:00:00,bef
2018-05-07 06:00:00,2.63,2.71,0.03,2018-05-07,06:00:00,bef
2018-02-08 06:00:00,2.11,2.21,0.045899999999999996,2018-02-08,06:00:00,bef
2017-11-02 06:00:00,1.14,1.12,-0.015,2017-11-02,06:00:00,bef
2017-08-03 06:00:00,1.5,1.45,-0.0359,2017-08-03,06:00:00,bef
2017-05-04 06:00:00,3.35,3.71,0.1061,2017-05-04,06:00:00,bef
2017-02-09 06:00:00,1.62,1.88,0.1641,2017-02-09,06:00:00,bef
2016-11-04 06:00:00,1.05,1.04,-0.0048,2016-11-04,06:00:00,bef
2016-08-05 06:00:00,1.65,1.66,0.0036,2016-08-05,06:00:00,bef
2016-05-06 06:00:00,2.85,3.41,0.1961,2016-05-06,06:00:00,bef
2016-02-09 17:00:00,0.58,0.41,-0.2943,2016-02-09,17:00:00,aft
2015-10-27 17:00:00,0.17,0.14,-0.1716,2015-10-27,17:00:00,aft
2015-07-28 18:00:00,0.55,0.58,0.0526,2015-07-28,18:00:00,aft
2015-04-28 16:00:00,1.39,1.26,-0.0935,2015-04-28,16:00:00,aft
2015-02-10 17:00:00,0.45,0.46,0.013200000000000002,2015-02-10,17:00:00,aft
2014-10-28 16:00:00,0.17,0.14,-0.16670000000000001,2014-10-28,16:00:00,aft
2014-07-29 04:00:00,0.59,0.54,-0.0828,2014-07-29,04:00:00,bef
2014-04-29 04:00:00,1.41,1.36,-0.0334,2014-04-29,04:00:00,bef
2014-02-11 05:00:00,0.49,0.42,-0.1369,2014-02-11,05:00:00,bef
2013-10-29 04:00:00,0.2,0.19,-0.048,2013-10-29,04:00:00,bef
2013-07-24 04:00:00,0.58,0.59,0.0248,2013-07-24,04:00:00,bef
2013-04-30 04:00:00,1.31,1.46,0.111,2013-04-30,04:00:00,bef
2013-02-12 05:00:00,0.44,0.45,0.03,2013-02-12,05:00:00,bef
2012-10-23 04:00:00,0.3,0.22,-0.2597,2012-10-23,04:00:00,bef
2012-08-01 04:00:00,0.58,0.59,0.0101,2012-08-01,04:00:00,bef
2012-04-26 04:00:00,1.25,1.32,0.052199999999999996,2012-04-26,04:00:00,bef
2012-02-14 05:00:00,0.48,0.46,-0.0365,2012-02-14,05:00:00,bef
2011-10-24 04:00:00,0.37,0.41,0.1101,2011-10-24,04:00:00,bef
2011-08-03 04:00:00,0.58,0.61,0.058600000000000006,2011-08-03,04:00:00,bef
2011-05-04 04:00:00,1.22,1.28,0.048600000000000004,2011-05-04,04:00:00,bef
2011-02-09 05:00:00,0.54,0.57,0.0542,2011-02-09,05:00:00,bef
2010-10-27 04:00:00,0.31,0.37,0.1821,2010-10-27,04:00:00,bef
2010-07-28 04:00:00,0.57,0.54,-0.059699999999999996,2010-07-28,04:00:00,bef
2010-04-28 04:00:00,1.17,1.27,0.08259999999999999,2010-04-28,04:00:00,bef
2010-02-03 05:00:00,0.48,0.47,-0.0242,2010-02-03,05:00:00,bef
2009-10-26 04:00:00,0.37,0.53,0.4154,2009-10-26,04:00:00,bef
2009-07-29 04:00:00,0.51,0.52,0.015300000000000001,2009-07-29,04:00:00,bef
2009-04-29 04:00:00,1.1,1.16,0.056900000000000006,2009-04-29,04:00:00,bef
2009-02-11 05:00:00,0.43,0.37,-0.1404,2009-02-11,05:00:00,bef
2008-10-22 04:00:00,0.39,0.32,-0.1777,2008-10-22,04:00:00,bef
2008-07-30 04:00:00,0.58,0.59,0.01,2008-07-30,04:00:00,bef
