Earnings Date,EPS Estimate,Reported EPS,Surprise(%),Date,Time,BefAft
2022-07-29 03:00:00,0.98,1.06,0.07940000000000001,2022-07-29,03:00:00,bef
2022-04-29 03:00:00,1.19,1.31,0.1008,2022-04-29,03:00:00,bef
2022-01-28 03:00:00,0.48,0.49,0.0187,2022-01-28,03:00:00,bef
2021-10-29 03:00:00,0.57,0.6,0.049,2021-10-29,03:00:00,bef
2021-07-30 03:00:00,1.41,1.37,-0.027700000000000002,2021-07-30,03:00:00,bef
2021-01-29 03:00:00,0.46,0.48,0.0345,2021-01-29,03:00:00,bef
2020-10-30 03:00:00,0.47,0.52,0.1159,2020-10-30,03:00:00,bef
2020-07-31 00:00:00,0.01,0.11,21.0,2020-07-31,00:00:00,bef
2020-05-01 03:00:00,0.13,0.18,0.35340000000000005,2020-05-01,03:00:00,bef
2020-01-31 03:00:00,0.06,0.03,-0.4545,2020-01-31,03:00:00,bef
2019-10-25 03:00:00,0.1,0.08,-0.1837,2019-10-25,03:00:00,bef
2019-07-26 03:00:00,0.1,0.16,0.6667000000000001,2019-07-26,03:00:00,bef
2019-04-26 03:00:00,0.09,0.11,0.22219999999999998,2019-04-26,03:00:00,bef
2019-02-01 03:00:00,0.11,0.1,-0.12279999999999999,2019-02-01,03:00:00,bef
2018-10-26 03:00:00,0.37,0.28,-0.2493,2018-10-26,03:00:00,bef
2018-07-27 03:00:00,0.43,0.44,0.0353,2018-07-27,03:00:00,bef
2018-04-27 03:00:00,0.34,0.36,0.0746,2018-04-27,03:00:00,bef
2018-02-02 03:00:00,0.35,0.31,-0.1218,2018-02-02,03:00:00,bef
2017-10-27 03:00:00,0.32,0.34,0.0759,2017-10-27,03:00:00,bef
2017-07-28 03:00:00,0.27,0.28,0.0294,2017-07-28,03:00:00,bef
2017-04-28 03:00:00,0.18,0.22,0.2022,2017-04-28,03:00:00,bef
2017-02-03 03:00:00,0.16,0.14,-0.1411,2017-02-03,03:00:00,bef
2016-10-28 03:00:00,0.22,0.23,0.055,2016-10-28,03:00:00,bef
2016-08-05 03:00:00,0.22,0.17,-0.23079999999999998,2016-08-05,03:00:00,bef
2016-05-06 03:00:00,0.21,0.24,0.165,2016-05-06,03:00:00,bef
2016-02-05 03:00:00,0.24,0.24,0.0084,2016-02-05,03:00:00,bef
2015-10-30 03:00:00,0.27,0.35,0.2963,2015-10-30,03:00:00,bef
2015-07-31 03:00:00,0.2,0.26,0.2745,2015-07-31,03:00:00,bef
2015-05-01 03:00:00,0.25,0.19,-0.24300000000000002,2015-05-01,03:00:00,bef
2015-01-30 03:00:00,0.29,0.27,-0.0559,2015-01-30,03:00:00,bef
2014-10-31 03:00:00,0.3,0.33,0.1037,2014-10-31,03:00:00,bef
2014-08-01 04:00:00,0.35,0.4,0.1592,2014-08-01,04:00:00,bef
2014-04-25 04:00:00,0.24,0.26,0.0941,2014-04-25,04:00:00,bef
2014-01-31 05:00:00,0.28,0.27,-0.0386,2014-01-31,05:00:00,bef
2013-10-25 04:00:00,0.21,0.27,0.2672,2013-10-25,04:00:00,bef
2013-07-26 04:00:00,0.29,0.35,0.18670000000000003,2013-07-26,04:00:00,bef
2013-04-26 04:00:00,0.23,0.26,0.13970000000000002,2013-04-26,04:00:00,bef
2013-01-25 05:00:00,0.21,0.26,0.2589,2013-01-25,05:00:00,bef
2012-10-26 04:00:00,0.18,0.22,0.21739999999999998,2012-10-26,04:00:00,bef
2012-07-27 04:00:00,0.1,0.09,-0.13699999999999998,2012-07-27,04:00:00,bef
2012-02-03 05:00:00,0.06,0.14,1.1817,2012-02-03,05:00:00,bef
2011-10-28 04:00:00,0.12,0.12,0.0154,2011-10-28,04:00:00,bef
2011-07-29 04:00:00,0.09,0.06,-0.3115,2011-07-29,04:00:00,bef
2011-02-04 05:00:00,0.05,0.1,0.8420000000000001,2011-02-04,05:00:00,bef
2010-10-29 04:00:00,0.1,0.25,1.4305,2010-10-29,04:00:00,bef
2010-07-30 04:00:00,0.14,0.2,0.4706,2010-07-30,04:00:00,bef
2010-04-29 04:00:00,-0.1,-0.03,0.7239,2010-04-29,04:00:00,bef
2010-02-05 05:00:00,-0.16,-0.21,-0.3529,2010-02-05,05:00:00,bef
2009-10-30 04:00:00,-0.18,-0.11,0.42060000000000003,2009-10-30,04:00:00,bef
2009-07-31 04:00:00,-0.29,-0.24,0.1672,2009-07-31,04:00:00,bef
2009-05-05 04:00:00,-0.33,-0.28,0.1533,2009-05-05,04:00:00,bef
2009-02-06 05:00:00,-0.23,-0.41,-0.7368000000000001,2009-02-06,05:00:00,bef
