Earnings Date,EPS Estimate,Reported EPS,Surprise(%),Date,Time,BefAft
2022-07-29 06:00:00,3.74,4.14,0.10779999999999999,2022-07-29,06:00:00,bef
2022-04-29 06:00:00,2.12,2.07,-0.0245,2022-04-29,06:00:00,bef
2022-02-01 07:00:00,1.94,2.05,0.057800000000000004,2022-02-01,07:00:00,bef
2021-10-29 07:00:00,1.56,1.58,0.013500000000000002,2021-10-29,07:00:00,bef
2021-07-30 07:00:00,0.99,1.1,0.10890000000000001,2021-07-30,07:00:00,bef
2021-04-30 07:00:00,0.59,0.65,0.1092,2021-04-30,07:00:00,bef
2021-02-02 07:00:00,0.01,0.03,1.5,2021-02-02,07:00:00,bef
2020-10-30 07:00:00,-0.25,-0.18,0.28850000000000003,2020-10-30,07:00:00,bef
2020-07-31 07:00:00,-0.61,-0.7,-0.1438,2020-07-31,07:00:00,bef
2020-01-31 07:00:00,0.43,0.41,-0.053099999999999994,2020-01-31,07:00:00,bef
2019-11-01 07:00:00,0.67,0.67,0.003,2019-11-01,07:00:00,bef
2019-08-02 07:00:00,0.66,0.61,-0.0772,2019-08-02,07:00:00,bef
2019-04-26 08:00:00,0.7,0.55,-0.2154,2019-04-26,08:00:00,bef
2019-02-01 08:00:00,1.08,1.41,0.30920000000000003,2019-02-01,08:00:00,bef
2018-11-02 08:00:00,1.23,1.46,0.18309999999999998,2018-11-02,08:00:00,bef
2018-07-27 08:00:00,1.27,0.92,-0.2756,2018-07-27,08:00:00,bef
2018-04-27 08:00:00,1.12,1.09,-0.0285,2018-04-27,08:00:00,bef
2018-02-02 08:00:00,1.04,0.88,-0.1514,2018-02-02,08:00:00,bef
2017-10-27 08:00:00,0.86,0.93,0.0801,2017-10-27,08:00:00,bef
2017-07-28 08:00:00,0.84,0.78,-0.067,2017-07-28,08:00:00,bef
2017-04-28 08:00:00,0.85,0.95,0.11900000000000001,2017-04-28,08:00:00,bef
2017-01-31 08:00:00,0.7,0.9,0.2784,2017-01-31,08:00:00,bef
2016-10-28 08:00:00,0.58,0.63,0.0825,2016-10-28,08:00:00,bef
2016-07-29 08:00:00,0.64,0.41,-0.3594,2016-07-29,08:00:00,bef
2016-04-29 08:00:00,0.31,0.43,0.39159999999999995,2016-04-29,08:00:00,bef
2016-02-02 08:00:00,0.63,0.67,0.0601,2016-02-02,08:00:00,bef
2015-10-30 08:00:00,0.89,1.01,0.14,2015-10-30,08:00:00,bef
2015-07-31 08:00:00,1.11,1.0,-0.0999,2015-07-31,08:00:00,bef
2015-04-30 08:00:00,0.83,1.17,0.41130000000000005,2015-04-30,08:00:00,bef
2015-02-02 08:00:00,1.34,1.32,-0.015700000000000002,2015-02-02,08:00:00,bef
2014-10-31 08:00:00,1.71,1.89,0.1033,2014-10-31,08:00:00,bef
2014-07-31 04:00:00,1.86,2.05,0.1018,2014-07-31,04:00:00,bef
2014-05-01 04:00:00,1.88,2.1,0.1173,2014-05-01,04:00:00,bef
2014-01-30 05:00:00,1.92,1.91,-0.0033000000000000004,2014-01-30,05:00:00,bef
2013-10-31 04:00:00,1.77,1.79,0.0088,2013-10-31,04:00:00,bef
2013-08-01 04:00:00,1.9,1.55,-0.1839,2013-08-01,04:00:00,bef
2013-04-25 04:00:00,2.05,2.12,0.0359,2013-04-25,04:00:00,bef
2013-02-01 05:00:00,2.0,2.2,0.102,2013-02-01,05:00:00,bef
2012-11-01 04:00:00,1.95,2.09,0.0699,2012-11-01,04:00:00,bef
2012-07-26 04:00:00,1.95,1.8,-0.0779,2012-07-26,04:00:00,bef
2012-04-26 04:00:00,2.09,2.0,-0.043,2012-04-26,04:00:00,bef
2012-01-31 05:00:00,1.96,1.97,0.0063,2012-01-31,05:00:00,bef
2011-10-27 04:00:00,2.12,2.13,0.005200000000000001,2011-10-27,04:00:00,bef
2011-07-28 04:00:00,2.32,2.18,-0.0596,2011-07-28,04:00:00,bef
2011-04-28 04:00:00,2.08,2.14,0.030600000000000002,2011-04-28,04:00:00,bef
2011-01-31 05:00:00,1.63,1.85,0.13820000000000002,2011-01-31,05:00:00,bef
2010-10-28 04:00:00,1.39,1.44,0.035,2010-10-28,04:00:00,bef
2010-07-29 04:00:00,1.46,1.6,0.09720000000000001,2010-07-29,04:00:00,bef
2010-04-29 04:00:00,1.41,1.33,-0.0571,2010-04-29,04:00:00,bef
2010-02-01 05:00:00,1.19,1.27,0.0678,2010-02-01,05:00:00,bef
2009-10-29 04:00:00,1.03,0.98,-0.050800000000000005,2009-10-29,04:00:00,bef
2009-07-30 04:00:00,1.02,0.84,-0.1775,2009-07-30,04:00:00,bef
2009-04-30 04:00:00,0.95,0.92,-0.027999999999999997,2009-04-30,04:00:00,bef
2009-01-30 05:00:00,1.45,1.55,0.06910000000000001,2009-01-30,05:00:00,bef
2008-10-30 04:00:00,2.38,2.59,0.0861,2008-10-30,04:00:00,bef
2008-07-31 04:00:00,2.52,2.27,-0.0976,2008-07-31,04:00:00,bef
2008-05-01 04:00:00,2.14,2.03,-0.0514,2008-05-01,04:00:00,bef
2008-02-01 05:00:00,1.95,2.13,0.091,2008-02-01,05:00:00,bef
2007-11-01 04:00:00,1.75,1.7,-0.0292,2007-11-01,04:00:00,bef
2007-07-26 04:00:00,1.96,1.83,-0.0653,2007-07-26,04:00:00,bef
2007-04-26 04:00:00,1.52,1.62,0.0636,2007-04-26,04:00:00,bef
2007-02-01 05:00:00,1.51,1.69,0.122,2007-02-01,05:00:00,bef
2006-10-26 04:00:00,1.59,1.77,0.1164,2006-10-26,04:00:00,bef
2006-07-27 04:00:00,1.64,1.72,0.046,2006-07-27,04:00:00,bef
2006-04-27 04:00:00,1.47,1.37,-0.06480000000000001,2006-04-27,04:00:00,bef
2006-01-30 05:00:00,1.44,1.65,0.1451,2006-01-30,05:00:00,bef
2005-10-27 04:00:00,1.38,1.32,-0.0463,2005-10-27,04:00:00,bef
2005-07-28 04:00:00,1.24,1.23,-0.0058,2005-07-28,04:00:00,bef
2005-04-28 04:00:00,1.2,1.15,-0.0403,2005-04-28,04:00:00,bef
2005-01-31 05:00:00,1.07,1.3,0.2189,2005-01-31,05:00:00,bef
2004-10-28 04:00:00,0.87,0.96,0.1041,2004-10-28,04:00:00,bef
2004-07-29 04:00:00,0.88,0.88,0.0017000000000000001,2004-07-29,04:00:00,bef
2004-04-29 04:00:00,0.75,0.83,0.1129,2004-04-29,04:00:00,bef
2004-01-29 05:00:00,0.58,0.68,0.1668,2004-01-29,05:00:00,bef
2003-10-30 05:00:00,0.62,0.55,-0.1084,2003-10-30,05:00:00,bef
2003-07-31 04:00:00,0.56,0.62,0.1103,2003-07-31,04:00:00,bef
2003-05-01 04:00:00,0.7,0.71,0.012,2003-05-01,04:00:00,bef
2003-01-30 05:00:00,0.5,0.56,0.12539999999999998,2003-01-30,05:00:00,bef
2002-10-31 05:00:00,0.43,0.44,0.0347,2002-10-31,05:00:00,bef
2002-08-01 04:00:00,0.46,0.39,-0.15050000000000002,2002-08-01,04:00:00,bef
2002-04-23 04:00:00,0.4,0.31,-0.2161,2002-04-23,04:00:00,bef
2002-01-23 05:00:00,0.39,0.42,0.0639,2002-01-23,05:00:00,bef
2001-10-23 04:00:00,0.51,0.48,-0.0499,2001-10-23,04:00:00,bef
2001-07-24 04:00:00,0.65,0.64,-0.0202,2001-07-24,04:00:00,bef
2001-04-23 04:00:00,0.67,0.37,-0.456,2001-04-23,04:00:00,bef
2001-01-24 05:00:00,0.62,0.73,0.17600000000000002,2001-01-24,05:00:00,bef
2000-10-24 04:00:00,0.45,0.61,0.36469999999999997,2000-10-24,04:00:00,bef
2000-07-25 04:00:00,0.53,0.59,0.12380000000000001,2000-07-25,04:00:00,bef
2000-04-25 04:00:00,0.44,0.48,0.07,2000-04-25,04:00:00,bef
2000-01-25 05:00:00,0.38,0.39,0.013700000000000002,2000-01-25,05:00:00,bef
1999-10-25 04:00:00,0.3,0.31,0.0151,1999-10-25,04:00:00,bef
1999-07-21 04:00:00,0.27,0.25,-0.0908,1999-07-21,04:00:00,bef
1999-04-21 04:00:00,0.23,0.24,0.0079,1999-04-21,04:00:00,bef
1999-01-21 05:00:00,0.3,0.31,0.0452,1999-01-21,05:00:00,bef
1998-10-21 04:00:00,0.29,0.29,-0.0128,1998-10-21,04:00:00,bef
1998-07-21 04:00:00,0.32,0.33,0.047599999999999996,1998-07-21,04:00:00,bef
1998-04-21 04:00:00,0.34,0.38,0.1318,1998-04-21,04:00:00,bef
1998-01-21 05:00:00,0.37,0.5,0.33649999999999997,1998-01-21,05:00:00,bef
1997-10-21 04:00:00,0.35,0.37,0.0579,1997-10-21,04:00:00,bef
1997-07-21 04:00:00,0.35,0.4,0.11720000000000001,1997-07-21,04:00:00,bef
1997-04-21 04:00:00,0.41,0.44,0.0664,1997-04-21,04:00:00,bef
1997-01-21 05:00:00,0.38,0.42,0.1035,1997-01-21,05:00:00,bef
1996-10-21 04:00:00,0.3,0.31,0.0339,1996-10-21,04:00:00,bef
1996-07-22 04:00:00,0.33,0.32,-0.0478,1996-07-22,04:00:00,bef
1996-04-22 04:00:00,0.33,0.35,0.0581,1996-04-22,04:00:00,bef
1996-01-22 05:00:00,0.31,0.32,0.0346,1996-01-22,05:00:00,bef
1995-10-23 04:00:00,0.29,0.3,0.0517,1995-10-23,04:00:00,bef
1995-07-20 04:00:00,0.29,0.33,0.1297,1995-07-20,04:00:00,bef
1995-04-24 04:00:00,0.27,0.33,0.2451,1995-04-24,04:00:00,bef
1995-01-23 05:00:00,0.27,0.3,0.10529999999999999,1995-01-23,05:00:00,bef
1994-10-24 04:00:00,0.2,0.23,0.1294,1994-10-24,04:00:00,bef
1994-07-25 04:00:00,0.18,0.18,-0.0405,1994-07-25,04:00:00,bef
1994-04-22 04:00:00,0.21,0.22,0.0507,1994-04-22,04:00:00,bef
1994-01-25 05:00:00,0.23,0.3,0.2997,1994-01-25,05:00:00,bef
1993-10-25 04:00:00,0.19,0.21,0.09480000000000001,1993-10-25,04:00:00,bef
