Earnings Date,EPS Estimate,Reported EPS,Surprise(%),Date,Time,BefAft
2022-08-02 06:00:00,0.54,0.66,0.2245,2022-08-02,06:00:00,bef
2022-05-04 06:00:00,0.41,0.47,0.1436,2022-05-04,06:00:00,bef
2022-02-03 06:00:00,0.62,0.63,0.0244,2022-02-03,06:00:00,bef
2021-11-02 06:00:00,0.59,0.63,0.066,2021-11-02,06:00:00,bef
2021-08-03 06:00:00,0.62,0.66,0.057699999999999994,2021-08-03,06:00:00,bef
2021-05-04 06:00:00,0.38,0.56,0.4894,2021-05-04,06:00:00,bef
2021-02-04 06:00:00,0.68,0.81,0.19649999999999998,2021-02-04,06:00:00,bef
2020-10-29 06:00:00,0.51,0.62,0.22530000000000003,2020-10-29,06:00:00,bef
2020-07-30 06:00:00,0.39,0.4,0.0363,2020-07-30,06:00:00,bef
2020-05-05 06:00:00,0.37,0.23,-0.3716,2020-05-05,06:00:00,bef
2019-08-01 06:00:00,0.79,0.79,-0.0013000000000000002,2019-08-01,06:00:00,bef
2019-05-02 06:00:00,0.56,0.52,-0.0764,2019-05-02,06:00:00,bef
2019-01-31 06:00:00,0.88,0.88,0.0011,2019-01-31,06:00:00,bef
2018-10-30 06:00:00,0.77,0.77,0.0013000000000000002,2018-10-30,06:00:00,bef
2018-07-31 06:00:00,0.71,0.73,0.034,2018-07-31,06:00:00,bef
2018-05-01 07:00:00,0.52,0.51,-0.0097,2018-05-01,07:00:00,bef
2018-02-01 07:00:00,0.76,0.76,-0.0013000000000000002,2018-02-01,07:00:00,bef
2017-10-31 07:00:00,0.64,0.65,0.0236,2017-10-31,07:00:00,bef
2017-08-01 06:00:00,0.57,0.59,0.0369,2017-08-01,06:00:00,bef
2017-05-02 06:00:00,0.38,0.39,0.0263,2017-05-02,06:00:00,bef
2017-02-02 07:00:00,0.65,0.66,0.018500000000000003,2017-02-02,07:00:00,bef
2016-11-01 06:00:00,0.53,0.54,0.0131,2016-11-01,06:00:00,bef
2016-08-02 07:00:00,0.47,0.48,0.012700000000000001,2016-08-02,07:00:00,bef
2016-05-03 06:00:00,0.34,0.35,0.0204,2016-05-03,06:00:00,bef
2016-02-04 06:00:00,0.6,0.6,0.0017000000000000001,2016-02-04,06:00:00,bef
2015-10-29 08:00:00,0.48,0.49,0.023,2015-10-29,08:00:00,bef
2015-07-30 07:00:00,0.43,0.43,-0.0069,2015-07-30,07:00:00,bef
2015-04-30 07:00:00,0.31,0.33,0.0543,2015-04-30,07:00:00,bef
2015-02-05 07:00:00,0.6,0.62,0.0351,2015-02-05,07:00:00,bef
2014-10-28 07:00:00,0.52,0.53,0.0192,2014-10-28,07:00:00,bef
2014-07-29 04:00:00,0.44,0.48,0.0926,2014-07-29,04:00:00,bef
2014-04-29 04:00:00,0.32,0.34,0.0581,2014-04-29,04:00:00,bef
2014-02-04 05:00:00,0.52,0.56,0.0821,2014-02-04,05:00:00,bef
2013-10-29 04:00:00,0.35,0.49,0.39640000000000003,2013-10-29,04:00:00,bef
2013-07-30 04:00:00,0.45,0.36,-0.1931,2013-07-30,04:00:00,bef
2013-04-30 04:00:00,0.27,0.27,0.0102,2013-04-30,04:00:00,bef
2013-02-07 05:00:00,0.46,0.47,0.0258,2013-02-07,05:00:00,bef
2012-11-01 04:00:00,0.43,0.44,0.0189,2012-11-01,04:00:00,bef
2012-08-02 04:00:00,0.48,0.49,0.0161,2012-08-02,04:00:00,bef
2012-05-03 04:00:00,0.36,0.36,-0.0092,2012-05-03,04:00:00,bef
2012-02-28 05:00:00,0.46,0.4,-0.122,2012-02-28,05:00:00,bef
2011-11-21 05:00:00,0.42,0.55,0.3095,2011-11-21,05:00:00,bef
