Earnings Date,EPS Estimate,Reported EPS,Surprise(%),Date,Time,BefAft
2022-08-02 06:00:00,1.65,1.82,0.10640000000000001,2022-08-02,06:00:00,bef
2022-05-03 06:00:00,1.41,1.61,0.1435,2022-05-03,06:00:00,bef
2022-02-07 06:00:00,1.98,1.95,-0.014199999999999999,2022-02-07,06:00:00,bef
2021-11-04 06:00:00,1.76,1.81,0.0302,2021-11-04,06:00:00,bef
2021-08-03 06:00:00,1.87,1.9,0.0171,2021-08-03,06:00:00,bef
2021-05-04 06:00:00,1.53,1.71,0.1184,2021-05-04,06:00:00,bef
2021-02-05 06:00:00,2.06,2.11,0.0258,2021-02-05,06:00:00,bef
2020-11-06 06:00:00,1.07,1.81,0.6962999999999999,2020-11-06,06:00:00,bef
2020-08-04 06:00:00,-0.73,0.05,1.0684,2020-08-04,06:00:00,bef
2020-05-11 06:00:00,1.38,1.7,0.22920000000000001,2020-05-11,06:00:00,bef
2020-02-04 06:00:00,2.27,2.3,0.0146,2020-02-04,06:00:00,bef
2019-11-05 06:00:00,1.75,1.77,0.0103,2019-11-05,06:00:00,bef
2019-07-26 06:00:00,1.91,1.93,0.0084,2019-07-26,06:00:00,bef
2019-04-26 06:00:00,1.86,1.87,0.0038,2019-04-26,06:00:00,bef
2019-02-01 06:00:00,2.17,2.18,0.0032,2019-02-01,06:00:00,bef
2018-10-26 06:00:00,1.61,1.63,0.015600000000000001,2018-10-26,06:00:00,bef
2018-07-27 06:00:00,1.88,1.92,0.0213,2018-07-27,06:00:00,bef
2018-04-26 06:00:00,1.89,1.91,0.012700000000000001,2018-04-26,06:00:00,bef
2018-01-30 10:00:00,2.1,2.1,0.001,2018-01-30,10:00:00,bef
2017-11-01 07:00:00,1.74,1.72,-0.0115,2017-11-01,07:00:00,bef
2017-07-27 07:00:00,2.1,2.08,-0.0076,2017-07-27,07:00:00,bef
2017-04-27 07:00:00,2.11,2.13,0.0095,2017-04-27,07:00:00,bef
2017-01-31 07:00:00,2.11,2.14,0.013700000000000002,2017-01-31,07:00:00,bef
2016-10-31 07:00:00,1.79,1.79,-0.0006,2016-10-31,07:00:00,bef
2016-07-28 07:00:00,1.97,2.02,0.0269,2016-07-28,07:00:00,bef
2016-04-28 07:00:00,1.93,2.0,0.0357,2016-04-28,07:00:00,bef
2016-01-28 07:00:00,2.04,2.09,0.024,2016-01-28,07:00:00,bef
2015-10-29 07:00:00,1.56,1.64,0.0513,2015-10-29,07:00:00,bef
2015-07-30 07:00:00,1.55,1.59,0.0271,2015-07-30,07:00:00,bef
2015-04-30 07:00:00,1.51,1.58,0.04360000000000001,2015-04-30,07:00:00,bef
2015-01-29 07:00:00,1.71,1.71,0.0029,2015-01-29,07:00:00,bef
2014-10-23 07:00:00,1.3,1.35,0.0369,2014-10-23,07:00:00,bef
2014-07-24 04:00:00,1.49,1.49,0.0011,2014-07-24,04:00:00,bef
2014-04-24 04:00:00,1.47,1.5,0.0225,2014-04-24,04:00:00,bef
2014-01-30 05:00:00,1.62,1.66,0.0265,2014-01-30,05:00:00,bef
2013-10-24 04:00:00,1.24,1.25,0.005600000000000001,2013-10-24,04:00:00,bef
2013-07-25 04:00:00,1.44,1.43,-0.0087,2013-07-25,04:00:00,bef
2013-04-25 04:00:00,1.4,1.41,0.0048,2013-04-25,04:00:00,bef
2013-01-31 05:00:00,1.49,1.51,0.011399999999999999,2013-01-31,05:00:00,bef
2012-10-25 04:00:00,1.13,1.15,0.021400000000000002,2012-10-25,04:00:00,bef
2012-07-26 04:00:00,1.32,1.34,0.0178,2012-07-26,04:00:00,bef
2012-04-26 04:00:00,1.3,1.3,-0.0012,2012-04-26,04:00:00,bef
2012-01-26 05:00:00,1.34,1.36,0.015500000000000002,2012-01-26,05:00:00,bef
2011-10-27 04:00:00,1.03,1.04,0.0097,2011-10-27,04:00:00,bef
2011-07-27 04:00:00,1.19,1.21,0.0179,2011-07-27,04:00:00,bef
2011-04-28 04:00:00,1.12,1.19,0.0587,2011-04-28,04:00:00,bef
2011-01-27 05:00:00,1.19,1.27,0.0681,2011-01-27,05:00:00,bef
2010-10-28 04:00:00,0.95,0.96,0.0062,2010-10-28,04:00:00,bef
2010-07-22 04:00:00,1.05,1.09,0.036000000000000004,2010-07-22,04:00:00,bef
2010-04-22 04:00:00,1.01,1.02,0.0055000000000000005,2010-04-22,04:00:00,bef
2010-01-28 05:00:00,1.08,1.12,0.0382,2010-01-28,05:00:00,bef
2009-10-22 04:00:00,0.86,0.88,0.0292,2009-10-22,04:00:00,bef
2009-07-23 04:00:00,0.96,1.0,0.039,2009-07-23,04:00:00,bef
2009-04-23 04:00:00,0.94,0.95,0.0144,2009-04-23,04:00:00,bef
2009-01-29 05:00:00,1.0,1.0,0.0006,2009-01-29,05:00:00,bef
2008-10-23 04:00:00,0.89,0.97,0.09380000000000001,2008-10-23,04:00:00,bef
2008-07-22 04:00:00,1.03,1.03,0.0011,2008-07-22,04:00:00,bef
2008-04-24 04:00:00,1.04,1.04,0.0034000000000000002,2008-04-24,04:00:00,bef
2008-01-29 05:00:00,1.04,1.18,0.1335,2008-01-29,05:00:00,bef
2007-10-24 04:00:00,0.91,0.91,0.0013000000000000002,2007-10-24,04:00:00,bef
2007-07-25 04:00:00,0.98,0.98,0.0046,2007-07-25,04:00:00,bef
2007-04-25 04:00:00,0.93,0.98,0.05,2007-04-25,04:00:00,bef
2007-01-29 05:00:00,0.99,1.02,0.0318,2007-01-29,05:00:00,bef
2006-10-25 04:00:00,0.75,0.77,0.023100000000000002,2006-10-25,04:00:00,bef
2006-07-26 04:00:00,0.82,0.83,0.0122,2006-07-26,04:00:00,bef
2006-04-26 04:00:00,0.81,0.82,0.0147,2006-04-26,04:00:00,bef
