Earnings Date,EPS Estimate,Reported EPS,Surprise(%),Date,Time,BefAft
2022-07-26 16:00:00,1.35,1.29,-0.043,2022-07-26,16:00:00,aft
2022-04-25 16:00:00,1.15,1.27,0.1015,2022-04-25,16:00:00,aft
2022-01-24 16:00:00,1.31,1.34,0.0229,2022-01-24,16:00:00,aft
2021-10-18 16:00:00,1.35,1.45,0.0781,2021-10-18,16:00:00,aft
2021-07-19 16:00:00,1.29,2.08,0.6124,2021-07-19,16:00:00,aft
2021-04-19 16:00:00,1.16,1.9,0.6379,2021-04-19,16:00:00,aft
2021-01-19 16:00:00,1.02,1.66,0.6227,2021-01-19,16:00:00,aft
2020-10-19 16:00:00,0.88,1.01,0.14250000000000002,2020-10-19,16:00:00,aft
2020-07-20 16:00:00,0.38,0.34,-0.09570000000000001,2020-07-20,16:00:00,aft
2020-04-20 16:00:00,0.56,0.04,-0.9287000000000001,2020-04-20,16:00:00,aft
2020-01-21 16:00:00,1.07,0.97,-0.0951,2020-01-21,16:00:00,aft
2019-10-21 16:00:00,1.08,1.17,0.08130000000000001,2019-10-21,16:00:00,aft
2019-07-22 16:00:00,1.1,0.99,-0.09670000000000001,2019-07-22,16:00:00,aft
2019-04-22 16:00:00,1.05,1.04,-0.0095,2019-04-22,16:00:00,aft
2019-01-22 16:00:00,1.05,1.08,0.026600000000000002,2019-01-22,16:00:00,aft
2018-10-22 16:00:00,0.96,1.04,0.08220000000000001,2018-10-22,16:00:00,aft
2018-07-23 16:00:00,0.92,0.89,-0.0337,2018-07-23,16:00:00,aft
2018-04-23 16:00:00,0.82,1.09,0.3325,2018-04-23,16:00:00,aft
2018-01-22 16:00:00,0.73,0.8,0.0929,2018-01-22,16:00:00,aft
2017-10-23 16:00:00,0.73,0.72,-0.011000000000000001,2017-10-23,16:00:00,aft
2017-07-25 16:00:00,0.62,0.73,0.17739999999999997,2017-07-25,16:00:00,aft
2017-04-24 16:00:00,0.54,0.61,0.12960000000000002,2017-04-24,16:00:00,aft
2017-01-23 16:00:00,0.52,0.6,0.1494,2017-01-23,16:00:00,aft
2016-10-24 16:00:00,0.5,0.57,0.131,2016-10-24,16:00:00,aft
2016-07-26 16:00:00,0.41,0.44,0.0706,2016-07-26,16:00:00,aft
2016-04-25 16:00:00,0.39,0.38,-0.0281,2016-04-25,16:00:00,aft
2016-01-25 16:00:00,0.41,0.43,0.0488,2016-01-25,16:00:00,aft
2015-10-19 16:00:00,0.42,0.41,-0.023799999999999998,2015-10-19,16:00:00,aft
2015-07-20 16:00:00,0.38,-0.01,-1.0265,2015-07-20,16:00:00,aft
2015-04-20 16:00:00,0.36,0.37,0.0335,2015-04-20,16:00:00,aft
2015-01-26 16:00:00,0.42,0.36,-0.1509,2015-01-26,16:00:00,aft
2014-10-20 16:00:00,0.44,0.4,-0.0805,2014-10-20,16:00:00,aft
2014-07-21 04:00:00,0.45,0.56,0.2434,2014-07-21,04:00:00,bef
2014-04-21 04:00:00,0.42,0.41,-0.0175,2014-04-21,04:00:00,bef
2014-01-27 05:00:00,0.43,0.45,0.055999999999999994,2014-01-27,05:00:00,bef
2013-10-21 04:00:00,0.42,0.44,0.0392,2013-10-21,04:00:00,bef
2013-07-22 04:00:00,0.42,0.44,0.0582,2013-07-22,04:00:00,bef
2013-04-22 04:00:00,0.39,0.51,0.30010000000000003,2013-04-22,04:00:00,bef
2013-01-28 05:00:00,0.41,0.44,0.075,2013-01-28,05:00:00,bef
2012-10-22 04:00:00,0.3,0.34,0.1335,2012-10-22,04:00:00,bef
2012-07-23 04:00:00,0.33,0.3,-0.0956,2012-07-23,04:00:00,bef
2012-04-23 04:00:00,0.27,0.25,-0.0851,2012-04-23,04:00:00,bef
2012-01-23 05:00:00,0.33,0.26,-0.2104,2012-01-23,05:00:00,bef
2011-10-24 04:00:00,0.34,0.35,0.0376,2011-10-24,04:00:00,bef
2011-07-18 04:00:00,-0.02,0.16,10.644400000000001,2011-07-18,04:00:00,bef
2011-04-18 04:00:00,-0.18,0.08,1.4466999999999999,2011-04-18,04:00:00,bef
2011-01-24 05:00:00,-0.37,-0.62,-0.6868000000000001,2011-01-24,05:00:00,bef
2010-10-18 04:00:00,-0.51,-0.47,0.0789,2010-10-18,04:00:00,bef
2010-07-19 04:00:00,-0.54,-0.84,-0.5426,2010-07-19,04:00:00,bef
2010-04-19 04:00:00,-0.94,-0.57,0.3968,2010-04-19,04:00:00,bef
2010-01-25 05:00:00,-1.64,-1.26,0.2306,2010-01-25,05:00:00,bef
2009-10-19 04:00:00,-1.24,-1.41,-0.1335,2009-10-19,04:00:00,bef
2009-07-20 04:00:00,-1.02,-0.35,0.6554000000000001,2009-07-20,04:00:00,bef
2009-04-20 04:00:00,-1.77,-7.29,-3.12,2009-04-20,04:00:00,bef
2009-01-26 05:00:00,-0.3,-4.37,-13.4224,2009-01-26,05:00:00,bef
2008-10-16 04:00:00,0.59,0.31,-0.4754,2008-10-16,04:00:00,bef
2008-07-17 04:00:00,0.74,0.65,-0.1252,2008-07-17,04:00:00,bef
2008-04-17 04:00:00,1.01,0.98,-0.028300000000000002,2008-04-17,04:00:00,bef
2008-01-24 05:00:00,0.48,0.39,-0.1875,2008-01-24,05:00:00,bef
2007-10-18 04:00:00,1.24,1.22,-0.0149,2007-10-18,04:00:00,bef
2007-07-19 04:00:00,1.43,1.43,-0.0031,2007-07-19,04:00:00,bef
2007-04-19 04:00:00,1.42,1.36,-0.0415,2007-04-19,04:00:00,bef
2007-01-23 05:00:00,1.38,1.32,-0.0417,2007-01-23,05:00:00,bef
2006-10-19 04:00:00,1.43,1.42,-0.0077,2006-10-19,04:00:00,bef
2006-07-20 04:00:00,1.37,1.4,0.0227,2006-07-20,04:00:00,bef
2006-04-20 04:00:00,1.32,1.32,-0.0005,2006-04-20,04:00:00,bef
2006-01-24 05:00:00,1.34,1.32,-0.016200000000000003,2006-01-24,05:00:00,bef
2005-10-20 04:00:00,1.33,1.34,0.0061,2005-10-20,04:00:00,bef
2005-07-21 04:00:00,1.26,1.3,0.03,2005-07-21,04:00:00,bef
2005-04-21 04:00:00,1.17,1.2,0.026600000000000002,2005-04-21,04:00:00,bef
2005-01-25 05:00:00,1.16,1.06,-0.08230000000000001,2005-01-25,05:00:00,bef
2004-10-19 04:00:00,1.12,1.49,0.3325,2004-10-19,04:00:00,bef
2004-07-21 04:00:00,1.11,1.31,0.18489999999999998,2004-07-21,04:00:00,bef
2004-04-20 04:00:00,1.07,1.35,0.2669,2004-04-20,04:00:00,bef
2004-01-27 05:00:00,1.07,1.05,-0.016200000000000003,2004-01-27,05:00:00,bef
2003-10-16 04:00:00,1.04,1.05,0.013300000000000001,2003-10-16,04:00:00,bef
2003-07-17 04:00:00,0.98,1.02,0.041600000000000005,2003-07-17,04:00:00,bef
2003-04-17 04:00:00,0.93,0.96,0.0323,2003-04-17,04:00:00,bef
2003-01-23 05:00:00,0.94,0.92,-0.026099999999999998,2003-01-23,05:00:00,bef
2002-10-17 04:00:00,0.93,0.94,0.0099,2002-10-17,04:00:00,bef
2002-07-17 04:00:00,0.9,0.89,-0.0148,2002-07-17,04:00:00,bef
2002-04-18 04:00:00,0.89,0.86,-0.032799999999999996,2002-04-18,04:00:00,bef
2002-01-24 05:00:00,0.83,0.78,-0.0636,2002-01-24,05:00:00,bef
2001-10-18 04:00:00,0.82,0.81,-0.0067,2001-10-18,04:00:00,bef
2001-07-19 04:00:00,0.79,0.79,-0.001,2001-07-19,04:00:00,bef
2001-04-19 04:00:00,0.78,0.82,0.0581,2001-04-19,04:00:00,bef
2001-01-24 05:00:00,0.76,0.76,0.006,2001-01-24,05:00:00,bef
2000-10-19 04:00:00,0.73,0.74,0.012,2000-10-19,04:00:00,bef
2000-07-27 04:00:00,0.69,0.7,0.014499999999999999,2000-07-27,04:00:00,bef
2000-04-20 04:00:00,0.66,0.66,0.003,2000-04-20,04:00:00,bef
2000-02-07 05:00:00,0.69,0.67,-0.0325,2000-02-07,05:00:00,bef
1999-10-21 04:00:00,0.69,0.7,0.0105,1999-10-21,04:00:00,bef
1999-07-22 04:00:00,0.66,0.67,0.0134,1999-07-22,04:00:00,bef
1999-04-22 04:00:00,0.62,0.62,0.002,1999-04-22,04:00:00,bef
1999-01-26 05:00:00,0.6,0.6,0.0033000000000000004,1999-01-26,05:00:00,bef
1998-10-22 04:00:00,0.57,0.57,-0.0044,1998-10-22,04:00:00,bef
1998-07-24 04:00:00,0.55,0.56,0.0256,1998-07-24,04:00:00,bef
1998-04-24 04:00:00,0.52,0.52,-0.0064,1998-04-24,04:00:00,bef
1998-01-26 05:00:00,0.5,0.51,0.0187,1998-01-26,05:00:00,bef
1997-10-17 04:00:00,0.48,0.49,0.015500000000000002,1997-10-17,04:00:00,bef
1997-07-18 04:00:00,0.46,0.47,0.0148,1997-07-18,04:00:00,bef
1997-04-17 04:00:00,0.45,0.45,0.0040999999999999995,1997-04-17,04:00:00,bef
1997-01-17 05:00:00,0.44,0.45,0.0158,1997-01-17,05:00:00,bef
